year,fallait_VERB écrire_VERB,fallait_VERB décrire_VERB
1800,3.458580977167003e-08,3.144164484325529e-09
1801,3.095537337571841e-08,2.3811825844433088e-09
1802,2.0140561218795483e-08,4.475680270843441e-09
1803,2.9255089017965474e-08,0.0
1804,7.909923027682453e-08,0.0
1805,6.254330742194725e-08,0.0
1806,4.610670600868616e-08,5.76333825108577e-09
1807,5.693910054560547e-08,1.1387820464392462e-08
1808,4.985362878073829e-08,4.5321479902327155e-09
1809,5.6475762733043666e-08,2.25903047379461e-08
1810,4.44624070894406e-08,4.680253518074551e-09
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,2.1337665856435706e-08,0.0
1813,2.8757416004054903e-08,2.0130190847567064e-08
1814,7.237357380063258e-08,0.0
1815,2.6972236000233352e-08,2.697223555614414e-09
1816,3.244645441213834e-08,9.270415546325239e-09
1817,1.0431051578052575e-07,7.784366928831332e-09
1818,9.536941547594324e-08,1.3113295338484932e-08
1819,5.072014630513877e-08,6.210630232317271e-09
1820,8.662531314485022e-08,7.119888678630559e-09
1821,9.664258726616026e-08,1.577838126820552e-08
1822,6.51665033046811e-08,7.017931125119503e-09
1823,7.115534828017189e-08,1.9765373782121287e-09
1824,9.179012749882531e-08,4.210556348027694e-09
1825,9.950150570148253e-08,7.924898959288385e-09
1826,7.310627125889368e-08,2.4662355713189754e-08
1827,1.0968555130830282e-07,9.217273055917019e-10
1828,7.246117661452445e-08,5.503380862137419e-09
1829,1.2688300898844318e-07,1.714635211591542e-09
1830,1.586399065445221e-07,2.0873671680021744e-09
1831,1.637076678662197e-07,0.0
1832,6.494385473843067e-08,1.2176972319366541e-08
1833,7.52935847003755e-08,1.0425265983826648e-08
1834,8.494423298088805e-08,7.467624740797874e-09
1835,5.7479468296151026e-08,2.0420337421001022e-08
1836,1.0215540413582858e-07,1.8146025126952736e-08
1837,8.975679577361007e-08,1.461157062010443e-08
1838,8.39517539930057e-08,5.680945491803868e-09
1839,8.249940464111205e-08,2.0974426639952526e-09
1840,1.0191502042289358e-07,1.592422194107712e-08
1841,8.410918894696806e-08,5.778493683550323e-09
1842,1.0196562527653441e-07,1.2074877098200432e-08
1843,9.51012708583221e-08,9.451057714215949e-09
1844,9.111011678442082e-08,2.140538946093784e-08
1845,1.2499710067004344e-07,1.674068350610014e-08
1846,1.369953253060885e-07,1.0538101946622191e-08
1847,7.388716483092139e-08,7.011190739092399e-09
1848,5.148941895072312e-08,8.045221711050488e-10
1849,5.1952373070207614e-08,1.508294644736452e-08
1850,7.467895812851566e-08,1.4935791270431764e-08
1851,9.287191460316535e-08,9.674158363282004e-09
1852,9.114763344086896e-08,7.812654523320361e-09
1853,7.823230419035099e-08,5.3747388761848924e-09
1854,8.676759932768618e-08,5.7152309551611324e-09
1855,6.315255518529739e-08,2.2819829581521844e-08
1856,6.523258377910679e-08,6.212626857404757e-09
1857,7.859229356199648e-08,2.9289055625270066e-09
1858,6.312841804856362e-08,7.34051397444091e-09
1859,7.841946825237756e-08,2.1387128512628806e-08
1860,8.330474798867726e-08,9.15436793036406e-09
1861,9.90352404528494e-08,1.2733101684148096e-08
1862,7.499857446191527e-08,3.162590411776023e-09
1863,8.390963301962984e-08,1.2986014041871385e-08
1864,8.678457419364349e-08,9.589456340108882e-09
1865,8.943004559114343e-08,6.589582213223366e-09
1866,7.20110691077025e-08,2.1895258939252926e-08
1867,7.376273458703508e-08,1.0190904120577216e-08
1868,6.767627525050557e-08,8.397785578040384e-09
1869,9.620532637200085e-08,1.5627261262807224e-08
1870,7.855646799725946e-08,1.1468097582678638e-08
1871,6.478918379571041e-08,7.434824311758348e-09
1872,7.861540751719076e-08,9.071008832961525e-09
1873,7.063485440994555e-08,4.788803575905831e-09
1874,8.244960270076263e-08,3.5847653734322193e-09
1875,8.868367018521894e-08,1.3731664694205392e-08
1876,1.2575711139106716e-07,1.0882827083946722e-08
1877,9.648312726540098e-08,8.658742167710898e-09
1878,6.703388777395958e-08,6.039088784604019e-09
1879,8.675242213485035e-08,1.221865097988939e-08
1880,9.819304835900766e-08,3.8507077526617195e-09
1881,6.48443219120054e-08,1.045876096839038e-08
1882,7.853354588860384e-08,2.6621540527571597e-09
1883,7.772786858595282e-08,9.479008689083912e-09
1884,5.3473744543452995e-08,1.1222884843675729e-08
1885,8.443782917311182e-08,7.7347630522695e-09
1886,8.970314979706018e-08,9.680196200179125e-09
1887,5.6801642500659e-08,9.793386546164129e-09
1888,4.375024076352929e-08,1.014498351992188e-08
1889,6.01453109538852e-08,4.385595886446936e-09
1890,7.865263995654459e-08,3.2771931834929546e-09
1891,4.9081492647928826e-08,5.736798147637501e-09
1892,4.764069316820496e-08,3.761107425503951e-09
1893,9.668713829569242e-08,7.390100087434348e-09
1894,5.4823392048319874e-08,5.671385139294216e-09
1895,6.379731587458082e-08,1.023164486468886e-08
1896,8.845543675306544e-08,9.435246361988447e-09
1897,7.574727334258569e-08,1.3401440845939305e-08
1898,6.620275172508627e-08,3.3950129374460403e-09
1899,5.03009616181771e-08,6.633094074004475e-09
1900,4.983411017178696e-08,1.86877908703309e-08
1901,7.712459648701042e-08,3.912117296778206e-09
1902,3.633610035080892e-08,8.347482705062248e-09
1903,5.130209146386733e-08,4.860198465905796e-09
1904,8.1694302878077e-08,2.6873125946735854e-09
1905,7.741138574601791e-08,9.28936660926638e-09
1906,6.430230570231288e-08,1.18316245689698e-08
1907,6.942838837176168e-08,1.131425531042396e-08
1908,7.268855739539504e-08,1.0313916831705683e-08
1909,8.361494963082805e-08,7.151278680339601e-09
1910,6.840512867256621e-08,8.01622590529405e-09
1911,5.213966502992662e-08,3.1922244847493175e-09
1912,6.876435776348444e-08,9.897900277167082e-09
1913,5.46207949980726e-08,7.42418571064718e-09
1914,6.29493897008615e-08,1.1384464038144415e-08
1915,5.183535378705528e-08,5.890381071793627e-09
1916,7.91097249930317e-08,9.888715624128963e-09
1917,7.128176093829097e-08,5.483212106582869e-09
1918,4.5945505178224266e-08,1.4932290071101306e-08
1919,6.997964874244644e-08,1.1970202606903513e-08
1920,8.935233353213334e-08,9.843901693784574e-09
1921,7.345565222749428e-08,4.543648568500203e-09
1922,5.4596721810185045e-08,1.2542490601674672e-08
1923,8.174279741979262e-08,1.6985516992917837e-08
1924,4.512068585427187e-08,1.4180787211159895e-08
1925,8.798542694421485e-08,8.798542339150117e-09
1926,7.467912865877224e-08,1.3375366592072169e-08
1927,8.696395070728613e-08,1.1149224654616319e-08
1928,6.969884935870141e-08,1.1426041446327417e-08
1929,5.013182757807044e-08,1.893869061575515e-08
1930,6.302162347537887e-08,1.3654684494213143e-08
1931,5.816731984964463e-08,5.7026783295555106e-09
1932,5.698959171240858e-08,3.287861094491973e-09
1933,7.570636739728798e-08,6.882397318719313e-09
1934,8.506921744810825e-08,8.38710612072191e-09
1935,6.103825000991492e-08,2.393656828303392e-09
1936,8.00231134689966e-08,1.2124714565686645e-08
1937,5.288269733227935e-08,6.295559185076627e-09
1938,4.019216603978748e-08,1.0372171566075394e-08
1939,2.5999884911698246e-08,7.647025235257843e-09
1940,5.5787225505810056e-08,1.7750480196809804e-08
1941,6.198155233505531e-08,8.854508237732261e-09
1942,6.371844563091145e-08,9.102635090130207e-09
1943,6.096794180621146e-08,8.709705845433291e-09
1944,1.0603514510876266e-07,1.2852744646352221e-08
1945,4.1391576388605245e-08,1.5249527862692958e-08
1946,9.187928640130849e-08,4.1763312808029696e-09
1947,6.914105199484766e-08,7.152522574216391e-09
1948,7.827759418432834e-08,8.697510267552389e-09
1949,4.613993809243766e-08,6.8719057111366055e-09
1950,6.7002780212988e-08,6.381216888229346e-09
1951,8.102665560727473e-08,6.396841278899501e-09
1952,6.643226413416414e-08,8.435843135146115e-09
1953,5.602390373837807e-08,3.232148326759443e-09
1954,7.915754451914836e-08,7.818028890937967e-09
1955,8.07162265914485e-08,9.385607846468247e-09
1956,7.151336234301198e-08,1.744228317335228e-09
1957,6.537928243233182e-08,5.301022731885041e-09
1958,6.86596237642334e-08,6.617794756635931e-09
1959,5.503030919840057e-08,1.1626121398933265e-08
1960,5.882708364879363e-08,6.2287499602575735e-09
1961,8.893643865803824e-08,1.042223907177231e-08
1962,7.229830600863352e-08,1.0781326054143392e-08
1963,4.78487933719407e-08,1.1638896069143811e-08
1964,7.604960217122425e-08,6.6923653285755336e-09
1965,7.770301380105593e-08,1.1491291473930687e-08
1966,6.702280330728172e-08,7.754704434148607e-09
1967,7.444806726653042e-08,3.451234853457663e-09
1968,8.39894767068472e-08,1.0779397818794223e-08
1969,5.7226149152711514e-08,1.090021850558287e-08
1970,7.863819462272659e-08,8.7375777724219e-09
1971,7.193756346168811e-08,1.4387513402880359e-08
1972,7.13090386739168e-08,1.539044092169206e-08
1973,5.733732066914854e-08,8.269805285010534e-09
1974,4.6692246513657665e-08,6.1881286761433785e-09
1975,5.8257096924307916e-08,7.4249242310031605e-09
1976,5.88493271891366e-08,9.141642998145016e-09
1977,4.58388988988645e-08,1.4104276857551667e-08
1978,4.6930672681355645e-08,1.0099005187669263e-08
1979,7.666085366508923e-08,6.437170796402825e-09
1980,8.470874490740243e-08,1.0233271119375331e-08
1981,4.7441620409927054e-08,8.855769451088236e-09
1982,6.76617730732687e-08,6.2075020679230875e-09
1983,9.094055286595903e-08,8.209910973278056e-09
1984,7.654691103198275e-08,9.278413592994639e-09
1985,6.135869057288801e-08,1.3234227935754461e-08
1986,6.833713683818132e-08,1.7384007122700496e-08
1987,6.538574126579988e-08,1.2221633483022742e-08
1988,7.735554419241453e-08,1.3792074149421296e-08
1989,6.475983838072352e-08,2.030605195102453e-08
1990,6.756327053381028e-08,1.5256222951620657e-08
1991,8.088822056606659e-08,1.4653663171770859e-08
1992,5.56504353710352e-08,1.3774860363469088e-08
1993,6.037736000052973e-08,8.308811416668505e-09
1994,7.701392945591579e-08,1.3714808844156323e-08
1995,4.825981392286849e-08,1.1929391696696712e-08
1996,5.658377588702024e-08,1.92171327739743e-08
1997,6.041567246484192e-08,1.054876808126437e-08
1998,6.24624902911819e-08,9.059445638115449e-09
1999,6.078367675854679e-08,2.0108885223635298e-08
2000,6.317785050669045e-08,2.0322945104567225e-08
2001,6.352757253580421e-08,1.270551397425379e-08
2002,5.827024551763316e-08,1.270554239596322e-08
2003,7.500461407516923e-08,1.0833999475323708e-08
2004,7.003617952250352e-08,1.3654853248112886e-08
2005,6.125099361042885e-08,1.8014997493764895e-08
2006,8.112242966262784e-08,1.070651389767363e-08
2007,7.869124374337844e-08,1.9572949483404045e-08
2008,7.70596599863893e-08,1.4049550856043425e-08
2009,6.675469421679736e-08,1.2874119548200724e-08
2010,7.227403386877995e-08,1.1337103700270745e-08
2011,6.233074145711726e-08,1.2236710311697152e-08
2012,6.502122573692759e-08,1.2255309655984092e-08
2013,7.92111478631341e-08,9.204113027294625e-09
2014,9.809466661181432e-08,1.3209215943277286e-08
2015,7.093041176631232e-08,1.2856137487915476e-08
2016,7.85037883588302e-08,1.4085112631789798e-08
2017,6.792150486489845e-08,6.792150397672003e-09
2018,7.537882851238464e-08,1.5746946857575495e-08
2019,7.652963063264906e-08,1.0459049626376782e-08
