year,petit_ADJ égout_NOUN,petit_ADJ dégoût_NOUN
1800,3.144164484325529e-09,6.288328968651058e-09
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,4.8328921309348516e-08
1806,0.0,0.0
1807,0.0,0.0
1808,2.4926814390369145e-08,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,7.020380277111826e-09
1811,0.0,2.5070767684098882e-09
1812,0.0,3.200649700829672e-08
1813,0.0,0.0
1814,6.293354282149721e-09,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.401186100480345e-08
1818,0.0,9.536941902865692e-09
1819,0.0,2.070210003424222e-09
1820,0.0,1.898636980968149e-08
1821,0.0,3.4515210245444905e-08
1822,0.0,4.3110148340019805e-08
1823,2.9648061783404955e-09,2.075364236020505e-08
1824,7.57900142644985e-09,3.3684450784221553e-09
1825,1.937197424695114e-08,0.0
1826,2.642395191543301e-09,7.927186018719112e-09
1827,2.7651818612639545e-09,7.373818444733615e-09
1828,2.7516904310687096e-09,1.1923991571904935e-08
1829,0.0,1.2002446148073886e-08
1830,4.174734336004349e-09,2.7135772739939057e-08
1831,1.2472964883158966e-08,2.182768810143898e-08
1832,1.352996914505411e-08,2.705993873419743e-09
1833,0.0,0.0
1834,3.733812370398937e-09,1.120143711119681e-08
1835,0.0,6.050470346963266e-09
1836,1.6129799718100912e-08,2.016224964762614e-09
1837,0.0,3.478945576063097e-09
1838,3.787297142565649e-09,6.312161904276081e-09
1839,6.292327547896548e-09,1.3982950353153e-09
1840,1.9109065441114126e-09,5.095750932326837e-09
1841,7.704658244733764e-09,1.926164561183441e-09
1842,0.0,0.0
1843,5.906911071384968e-10,1.7720733769266417e-09
1844,3.841992946007622e-09,2.195424508855126e-09
1845,5.022205318283568e-09,6.138250796539069e-09
1846,1.7563503984519002e-09,2.9272506640865004e-09
1847,5.393223645455691e-10,1.6179670936367074e-09
1848,1.6090443422100975e-09,1.6090443422100975e-09
1849,0.0,0.0
1850,0.0,0.0
1851,6.449438760824933e-10,1.9348316282474798e-09
1852,4.557382027314816e-09,6.510545436100301e-10
1853,2.388772735173461e-09,2.388772735173461e-09
1854,2.5978321716024766e-09,1.0910895298366086e-08
1855,0.0,3.1841622671890946e-09
1856,0.0,1.346069211649592e-08
1857,5.369659827891837e-09,7.322263684272912e-09
1858,4.893676019968041e-10,6.361778659424999e-09
1859,1.2730433596175317e-08,6.619825576592575e-09
1860,1.8308735638683515e-09,1.373155145145688e-09
1861,1.4147891747029462e-09,1.8863854922557266e-09
1862,6.325180823552046e-09,4.066187830886747e-09
1863,9.989241656072068e-10,0.0
1864,7.1920918109924514e-09,5.274200631788517e-09
1865,6.118897832863013e-09,9.88437331983505e-09
