year,grand_ADJ égout_NOUN,grand_ADJ egout_NOUN,grand_ADJ dégoût_NOUN
1800,3.144164484325529e-09,0.0,6.288328791015374e-08
1801,0.0,0.0,1.262026785298076e-07
1802,4.475680270843441e-09,0.0,1.1189200677108602e-07
1803,0.0,0.0,8.191424427650418e-08
1804,7.4155526164076946e-09,0.0,1.7550141251376772e-07
1805,0.0,0.0,1.194008660831969e-07
1806,0.0,0.0,1.0374009207225754e-07
1807,2.8469551160981155e-09,0.0,8.54086508184082e-08
1808,1.3596443970698147e-08,0.0,6.345007363961486e-08
1809,2.0331274441787173e-08,0.0,1.1521055398588942e-07
1810,4.680253518074551e-09,0.0,7.956430891908894e-08
1811,1.0028307073639553e-08,0.0,9.526891631139733e-08
1812,6.507988246085006e-07,0.0,9.335229123053068e-08
1813,5.463909147351842e-08,0.0,9.489947672136623e-08
1814,9.440030979135372e-09,0.0,1.1013369771717407e-07
1815,1.8880564667256294e-08,0.0,7.552225866902518e-08
1816,6.952811659743929e-09,0.0,3.244645441213834e-08
1817,6.22749374290521e-09,0.0,7.7843672841027e-08
1818,1.3113295338484932e-08,0.0,9.417730240102173e-08
1819,1.1386155129855524e-08,0.0,6.003609342997152e-08
1820,2.278364377161779e-07,0.0,9.01852530432734e-08
1821,2.465372084259343e-08,0.0,2.0807740952477616e-07
1822,3.8097340393505874e-08,1.0025615893027862e-09,1.45371430448904e-07
1823,3.063632902922109e-08,0.0,1.1068609495623605e-07
1824,2.442122708501415e-07,0.0,1.440010208852982e-07
1825,5.723537910284904e-08,8.805443041381977e-10,1.4793144487157406e-07
1826,2.025836387531399e-08,8.807984341885344e-10,7.04638765114396e-08
1827,3.6869092667757286e-08,0.0,8.756409641819118e-08
1828,3.210305266065916e-08,0.0,8.346793833879929e-08
1829,7.372931065674493e-08,0.0,9.687688873327716e-08
1830,3.444155893816969e-08,0.0,1.0645572245948642e-07
1831,4.053713631435585e-08,0.0,1.2317052267007966e-07
1832,5.0060886991332154e-08,0.0,6.3590853471851e-08
1833,3.4750886612755494e-08,0.0,6.139323005527331e-08
1834,5.974099792638299e-08,0.0,9.147840529522e-08
1835,3.1764969321557146e-08,7.563087933704082e-10,1.0588323107185715e-07
1836,4.44241587072014e-07,1.3441500135158435e-09,8.804182272115213e-08
1837,3.8268400781582557e-08,0.0,1.2385045522478322e-07
1838,6.185918977053007e-08,0.0,1.4896701827638026e-07
1839,7.550793412747225e-08,0.0,1.1186359927251033e-07
1840,2.738966137227905e-08,0.0,1.0127804728199408e-07
1841,2.1829865914924085e-08,0.0,5.97110982880622e-08
1842,3.152884531232303e-08,0.0,1.0733224087289273e-07
1843,3.567774342627672e-07,1.1813822142769936e-09,6.852016554148577e-08
1844,7.519328898419886e-08,5.488561272137815e-10,7.738871232731981e-08
1845,4.8547981634783355e-08,0.0,6.305657507255091e-08
1846,5.2690513285824636e-08,1.1709002656346001e-09,7.376671362635534e-08
1847,7.119055300819355e-08,0.0,7.011190916728083e-08
1848,3.218088551193432e-08,0.0,7.079795238951192e-08
1849,6.703531951757213e-09,0.0,6.200767188602185e-08
1850,3.6660580349234806e-08,6.788996032014438e-10,1.1201843364005981e-07
1851,1.1222023488244304e-07,1.2898877521649865e-09,7.223371767395292e-08
1852,5.078225262522551e-08,0.0,4.687592536356533e-08
1853,7.584353300948976e-08,0.0,7.524634071387482e-08
1854,6.390667417477403e-08,0.0,8.572846610377383e-08
1855,1.0136250239156652e-07,0.0,6.315255518529739e-08
1856,1.1182728987257917e-07,5.177189232874468e-10,9.215396801209863e-08
1857,9.421312796575876e-08,0.0,1.1569176194825559e-07
1858,7.09583005686909e-08,0.0,7.29157747514364e-08
1859,7.179964711667708e-08,5.092173349652285e-10,7.791025069536772e-08
1860,6.774232019779447e-08,0.0,8.833964670884598e-08
1861,1.1837068891740188e-07,0.0,9.85636390282707e-08
1862,2.828259373366393e-07,0.0,1.0797987215482863e-07
1863,1.1687413092875687e-07,4.994620828036034e-10,9.789457067199692e-08
1864,1.5391076846338336e-07,0.0,8.630509995555258e-08
1865,1.228486363746839e-07,4.706844358715045e-10,1.0402126093822517e-07
1866,1.897589023691637e-07,0.0,1.0217787149713331e-07
1867,8.783588967276046e-08,0.0,6.066014179850754e-08
1868,1.210269082729809e-07,0.0,7.903798859842937e-08
1869,1.1280928902124288e-07,4.883519144627257e-10,6.83692675806924e-08
1870,9.747883211730368e-08,0.0,4.4152177025580386e-08
1871,5.735435593123839e-08,0.0,7.222400455475508e-08
1872,8.345328095238358e-08,0.0,5.07976487540418e-08
1873,1.8796053780079092e-07,5.986004469882289e-10,4.908523720814628e-08
1874,1.1292011237173938e-07,0.0,6.930546447847519e-08
1875,1.8537748358582462e-07,0.0,5.492665877682157e-08
