year,tout_ADV écrit_VERB
1800,1.0375742931501009e-07
1801,8.096020742698329e-08
1802,4.699464284385613e-08
1803,7.606322682818245e-08
1804,1.730295728918918e-08
1805,4.8328921309348516e-08
1806,1.3543844712415876e-07
1807,9.679647172688988e-08
1808,8.384474003975129e-08
1809,7.680703761892005e-08
1810,1.2870697219113936e-07
1811,1.278609147448151e-07
1812,8.001624962616916e-08
1813,7.476928409744232e-08
1814,1.3530711839848664e-07
1815,1.0519171933509597e-07
1816,1.0429217489615894e-07
1817,2.3975849750002e-07
1818,9.060094541268882e-08
1819,1.1282644329924096e-07
1820,1.2934464965752568e-07
1821,1.1932400845182656e-07
1822,1.0526896687679255e-07
1823,1.2155704709471138e-07
1824,1.650538123953993e-07
1825,9.685987478746938e-08
1826,8.719904620591024e-08
1827,1.751281946127392e-07
1828,1.3208114069129806e-07
1829,1.1488055662312036e-07
1830,1.3567886725240896e-07
1831,8.575163512603012e-08
1832,1.3394669551303195e-07
1833,1.2741991639586558e-07
1834,5.3206827388407874e-08
1835,1.368918916000439e-07
1836,1.1694104973258845e-07
1837,9.323573735287027e-08
1838,5.1128509426234814e-08
1839,9.578320891989733e-08
1840,9.427138936146662e-08
1841,6.356342918678592e-08
1842,9.32448820378795e-08
1843,7.088293152435199e-08
1844,7.409557589710403e-08
1845,8.147132746216812e-08
1846,8.254847116972996e-08
1847,8.413429153364405e-08
1848,1.0297883967780308e-07
1849,1.2317740072376182e-07
1850,9.165144732037334e-08
1851,5.3530341048713126e-08
1852,6.83607241924733e-08
1853,7.285757064323661e-08
1854,8.936542705839656e-08
1855,6.04990830765928e-08
1856,8.697678133273712e-08
1857,8.737901602273723e-08
1858,6.753272874249205e-08
1859,4.4811124588761686e-08
1860,8.513561944312187e-08
1861,7.2154245245315e-08
1862,1.0391368565620951e-07
1863,1.0039187969823615e-07
1864,8.34282687378618e-08
1865,7.578019767251476e-08
1866,9.341976792143214e-08
1867,6.648351735805136e-08
1868,7.903798149300201e-08
1869,7.569455018341387e-08
1870,7.339582586141091e-08
1871,6.585130152281238e-08
1872,7.801067747337243e-08
1873,7.063485352176713e-08
1874,5.974609074144155e-08
1875,7.437985161118377e-08
1876,7.920279188056156e-08
1877,5.813727188552775e-08
1878,8.998241796120965e-08
1879,1.0019293661400752e-07
1880,5.51934773440621e-08
1881,8.088109026971324e-08
1882,6.85504684128091e-08
1883,6.698499621649034e-08
1884,7.723985362417807e-08
1885,4.963139499380986e-08
1886,6.77613698485402e-08
1887,6.52892468977484e-08
1888,6.150396103521416e-08
1889,6.453090684033214e-08
1890,5.833403982080654e-08
1891,5.481829035147712e-08
1892,5.0774951354526365e-08
1893,5.9120797590850316e-08
1894,6.049477652148028e-08
1895,6.319545153843364e-08
1896,5.838058725338158e-08
1897,5.2440420894583895e-08
1898,3.904264911369637e-08
1899,5.5275783950037294e-08
1900,4.360484595622438e-08
1901,4.973977585365219e-08
1902,4.861181124304892e-08
1903,5.34621804604285e-08
1904,6.23456530846056e-08
1905,5.160759197764264e-08
1906,3.7038126787791725e-08
1907,4.782844253981011e-08
1908,4.518477858539427e-08
1909,6.766209637021348e-08
1910,3.901230094527364e-08
1911,5.3735780269903444e-08
1912,4.7926675073028946e-08
1913,7.530245538234226e-08
1914,3.8841112548482215e-08
1915,5.4191506282386115e-08
1916,2.5271163162088328e-08
1917,3.070598708632133e-08
1918,4.9391419842947926e-08
1919,2.946511501455973e-08
1920,4.0890050012620804e-08
1921,5.831015559287778e-08
1922,6.197465918234002e-08
1923,7.218844411127634e-08
1924,6.187979861849158e-08
1925,6.928851936649494e-08
1926,5.3501462815574996e-08
1927,6.243565975339038e-08
1928,5.7130207675726297e-08
1929,6.350031744872808e-08
1930,6.932378227020308e-08
1931,6.044839029328841e-08
1932,5.150982085311284e-08
1933,3.326492059585462e-08
1934,3.71428985346256e-08
1935,3.949533944336281e-08
1936,2.5461900143852745e-08
1937,4.7846249406902075e-08
1938,4.537825182282518e-08
1939,4.7411557346777045e-08
1940,4.310830958864642e-08
1941,3.836953510472085e-08
1942,4.24789639019707e-08
1943,4.0645293575281016e-08
1944,3.534504600111177e-08
1945,6.535512087069151e-08
1946,5.150808579656996e-08
1947,4.5299309414659206e-08
1948,5.218506249349275e-08
1949,3.8286332770809395e-08
1950,6.593924295472675e-08
1951,5.010858661336215e-08
1952,4.428817756974013e-08
1953,6.356557991082923e-08
1954,5.863521668203475e-08
1955,6.100645011386518e-08
1956,5.4943192218104286e-08
1957,5.301022554249357e-08
1958,3.060730113801924e-08
1959,4.340418646719968e-08
1960,5.190624868811611e-08
1961,5.141637782202224e-08
1962,7.039571903177944e-08
1963,5.81944776811838e-08
1964,4.502136574657811e-08
1965,5.143720827049947e-08
1966,4.375868911665748e-08
1967,6.606649627372008e-08
1968,5.973583094842638e-08
1969,6.676384067816343e-08
1970,3.54101814536989e-08
1971,7.090988596303305e-08
1972,5.6944629012178893e-08
1973,5.8439960870515506e-08
1974,3.6566214944855346e-08
1975,5.88282453861666e-08
1976,5.484985754478089e-08
1977,4.9952645797546325e-08
1978,5.1683143098557593e-08
1979,6.495690474395133e-08
1980,5.571447614372005e-08
1981,5.692994564654441e-08
1982,6.39372723654219e-08
1983,6.252162787490079e-08
1984,6.610869629497529e-08
1985,7.579603256147038e-08
1986,8.572114484906024e-08
1987,7.027439163920235e-08
1988,6.356347181935007e-08
1989,7.079677288857056e-08
1990,5.9390296236472295e-08
1991,7.092373044415012e-08
1992,7.603722984583783e-08
1993,5.982343953547797e-08
1994,7.332147955452228e-08
1995,6.235818394983994e-08
1996,7.25980520144276e-08
1997,5.5141287091942104e-08
1998,9.345533058535693e-08
1999,9.414614421388023e-08
2000,8.217538294275073e-08
2001,8.499550840923575e-08
2002,7.79857400878825e-08
2003,6.917092232328059e-08
2004,6.122659712559653e-08
2005,6.530436724716537e-08
2006,7.906348375996686e-08
2007,7.030283999398534e-08
2008,6.684180098304182e-08
2009,7.104607036012567e-08
2010,6.849499900596356e-08
2011,6.003636121576506e-08
2012,6.195739787884236e-08
2013,6.610226366277061e-08
2014,7.925529299512846e-08
2015,6.383737138904166e-08
2016,7.498250731430289e-08
2017,6.842463129430598e-08
2018,6.453666556716087e-08
2019,6.556038689708998e-08
