year,sauvant_VERB en_ADP,sauvant_VERB dans_ADP
1800,6.288328791015374e-08,4.087413785214267e-08
1801,1.4287095950749062e-08,2.8574191901498125e-08
1802,1.3427040812530322e-08,1.7902721083373763e-08
1803,3.1205427575287104e-08,6.046051481689574e-08
1804,2.4718509461507665e-09,7.4155526164076946e-09
1805,3.1271653710973624e-08,1.7057265822018053e-08
1806,2.0171682990621775e-08,4.3225035994964855e-08
1807,1.7081731584767113e-08,3.701041606518629e-08
1808,0.0,4.985362878073829e-08
1809,9.036122072814123e-09,2.25903047379461e-08
1810,1.6380887757350138e-08,1.1700633351097167e-08
1811,0.0,2.5070767684098882e-09
1812,1.3336041604361526e-08,2.6672083208723052e-08
1813,5.751483289628823e-09,5.751483289628823e-09
1814,4.72001566720337e-08,3.4613449884091096e-08
1815,4.045835311217161e-08,4.5852800667489646e-08
1816,3.244645441213834e-08,2.0858434979231788e-08
1817,2.6466848268569265e-08,7.784366928831332e-09
1818,9.536941902865692e-09,2.6226590676969863e-08
1819,8.280840013696888e-09,4.5544620519422097e-08
1820,1.0679833017945839e-08,3.322614716694261e-08
1821,5.9168927535324656e-09,2.1695274909916407e-08
1822,9.023054303725075e-09,7.819980396561732e-08
1823,2.075364236020505e-08,5.6331316500290995e-08
1824,1.6842225392110777e-08,4.0421340941065864e-08
1825,8.805443485471187e-09,2.993850500843109e-08
1826,1.9377566218281572e-08,3.082794464148719e-08
1827,5.530363722527909e-09,1.935627302884768e-08
1828,1.3758452155343548e-08,1.559291185060374e-08
1829,2.914879893012312e-08,1.971830521085849e-08
1830,1.982998831806526e-08,1.6698937344017395e-08
1831,1.091384405071949e-08,0.0
1832,6.764984572527055e-09,3.3824925083081325e-08
1833,1.0425265983826648e-08,3.243415847009601e-08
1834,2.8003592333902816e-08,2.6136685704614138e-08
1835,1.1344631900556124e-08,4.159698363537245e-08
1836,6.048674894287842e-09,1.0753200108126748e-08
1837,3.061472142462662e-08,2.435261770017405e-08
1838,1.3255539776935166e-08,2.2723781967215473e-08
1839,6.292327547896548e-09,1.7478688718597368e-08
1840,7.64362617644565e-09,1.0191501864653674e-08
1841,1.8619591202195807e-08,1.1556987367100646e-08
1842,2.683306021822318e-08,1.8112315203211438e-08
1843,1.063243981747064e-08,2.4809025944705354e-08
1844,1.5916826967554698e-08,2.030767731753258e-08
1845,1.0044410636567136e-08,2.2320911341466854e-08
1846,7.025401593807601e-09,2.3418005312692003e-08
1847,1.0786447290911383e-08,1.1325769655456952e-08
1848,1.126331028444838e-08,2.172209789819135e-08
1849,2.513824481908955e-09,2.9327951622803994e-08
1850,2.647708541303473e-08,2.5119284430275002e-08
1851,1.4188765717904062e-08,1.3543821175687754e-08
1852,1.3021090872200602e-08,2.6042181744401205e-08
1853,8.360704129017904e-09,2.448492075757258e-08
1854,7.27393034694046e-09,1.3508727469968562e-08
1855,1.2205955357558196e-08,1.3798036491152743e-08
1856,2.847454005916461e-08,2.0708757375587084e-08
1857,3.4170564155999728e-09,1.9526035899275485e-08
1858,2.936205500958522e-09,1.9574704523961373e-08
1859,1.9350258284589472e-08,1.629495471888731e-08
1860,9.612086238064421e-09,1.4189270203246451e-08
1861,1.3204698667834691e-08,1.4147890858851042e-08
1862,4.517986429419807e-09,9.939570055905733e-09
1863,1.3485475847119233e-08,1.748117206545885e-08
1864,5.753673537611803e-09,3.2604148714199255e-08
1865,6.118897832863013e-09,1.3179164426446732e-08
1866,8.75810357570117e-09,1.897589108068587e-08
1867,1.164674756637396e-08,7.279217228983725e-09
1868,2.9639244392143382e-09,2.4699369660652337e-08
1869,1.8069020057964735e-08,1.5138908793232986e-08
1870,1.2614907340946502e-08,1.0321287824410774e-08
1871,1.4869648623516696e-08,1.805600113868877e-08
1872,9.675742873582749e-09,5.442605477412599e-09
1873,4.788803575905831e-09,3.591602570907071e-09
1874,1.1351757756017378e-08,1.7923827755339516e-08
1875,2.460256709468922e-08,1.5448122780981066e-08
1876,1.269663130187837e-08,1.5719638923883394e-08
1877,1.4843558382438005e-08,1.4843558382438005e-08
1878,2.536417298415472e-08,6.6429977074733415e-09
