year,auront_VERB écrit_VERB,auront_VERB décrit_VERB
1800,6.288328968651058e-09,0.0
1801,1.6668277424969347e-08,0.0
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,9.751696339321825e-09,0.0
1804,4.2021465418429216e-08,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0
1806,4.8988376022407465e-08,0.0
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,1.3596443970698147e-08,0.0
1809,3.388545621874073e-08,9.036122072814123e-09
1810,1.6380887757350138e-08,2.3401267590372754e-09
1811,2.757784400841956e-08,0.0
1812,4.000812481308458e-08,2.1337665856435706e-08
1813,7.189353823378042e-08,0.0
1814,2.2026739543434815e-08,6.293354282149721e-09
1815,3.236668177919455e-08,0.0
1816,2.3176038865813098e-08,2.3176038865813098e-09
1817,3.42512151974006e-08,4.670620334934483e-09
1818,4.768470951432846e-09,0.0
1819,2.173720581311045e-08,6.210630232317271e-09
1820,2.7292905713238724e-08,0.0
1821,2.6626018723163725e-08,0.0
1822,1.4035862250239006e-08,0.0
1823,7.906149512848515e-09,1.9765373338032077e-08
1824,2.6105450245950124e-08,6.736890156844311e-09
1825,2.641632912414593e-09,0.0
1826,2.025836387531399e-08,1.2331177856594877e-08
1827,1.8434546333878643e-08,8.295545583791863e-09
1828,1.9261833017480967e-08,3.668920500743411e-09
1829,4.4580517055692326e-08,0.0
1830,9.39315203396518e-09,1.5655253093882493e-08
1831,2.0268567268999504e-08,1.5591206103948707e-09
1832,1.6235963684607668e-08,0.0
1833,1.3900354645102198e-08,0.0
1834,7.187588835222414e-08,6.534171426153534e-09
1835,2.8739734148075513e-08,7.563087933704082e-09
1836,1.747394939854985e-08,2.016224964762614e-09
1837,1.948209416013924e-08,9.74104708006962e-09
1838,1.4517972601879592e-08,1.2624323808552163e-09
1839,3.2859933440931854e-08,0.0
1840,1.0828470564661075e-08,1.2739377330817092e-09
1841,1.6051371787284552e-08,5.778493683550323e-09
1842,7.379091560011375e-09,1.341653010911159e-09
1843,1.594865928211675e-08,1.1813822142769936e-09
1844,9.330554107123135e-09,5.488561272137815e-10
1845,2.511102614732863e-08,2.7901139176833567e-09
1846,2.3418005312692003e-08,4.6836010625384006e-09
1847,2.2651539310913904e-08,4.853901280910122e-09
1848,1.448139919091318e-08,2.413566457803995e-09
1849,1.005529792763582e-08,1.6758829879393033e-09
1850,9.504594444820214e-09,4.752297222410107e-09
1851,6.449438760824933e-09,1.3543821175687754e-08
1852,2.539112742283578e-08,6.510545436100301e-10
1853,1.0152284346531815e-08,9.555090940693844e-09
1854,2.909572138776184e-08,4.676098175337984e-09
1855,3.078023524949458e-08,0.0
1856,1.7084724746041502e-08,1.5531567143511893e-09
