year,observant_VERB en_ADP,observant_VERB dans_ADP
1800,6.917161599062638e-08,1.0690159513160324e-07
1801,4.286128785224719e-08,9.762848662830947e-08
1802,5.370816325012129e-08,6.489736392722989e-08
1803,9.166594594489652e-08,1.7553053055507917e-07
1804,3.460591457837836e-08,9.145848167690929e-08
1805,1.7057266266107263e-08,7.675770063997334e-08
1806,3.7461699520235925e-08,1.2679343797117326e-07
1807,3.131650672116848e-08,2.44838133767189e-07
1808,3.172503681980743e-08,6.571614363792833e-08
1809,7.228897835886983e-08,7.00299480627109e-08
1810,5.8503168531842675e-08,1.5678848797051614e-07
1811,2.0056614147279106e-08,7.52123057168319e-08
1812,3.200649878465356e-08,8.535066342574282e-08
1813,1.1215391992891455e-07,1.2078115219082974e-07
1814,5.664018853934749e-08,1.1642705288750221e-07
1815,2.9669459555847766e-08,3.506390555685357e-08
1816,9.270415546325239e-08,7.879853569647821e-08
1817,4.203558034987509e-08,1.1987924608547473e-07
1818,6.318224143875284e-08,1.0371424008503993e-07
1819,6.9352037890269e-08,7.556266723440785e-08
1820,1.6613073583471305e-08,9.137190204455692e-08
1821,6.015507891810046e-08,6.903042126804593e-08
1822,1.303330066093622e-08,8.521773509073682e-08
1823,2.7671523739059012e-08,6.720227219148e-08
1824,5.052667617633233e-08,7.410579172528742e-08
1825,1.6730341556581152e-08,7.220463360546603e-08
1826,4.315912149888135e-08,8.367585024871005e-08
1827,3.410390903013649e-08,5.438191053031005e-08
1828,6.328887991458032e-08,1.0364700386844561e-07
1829,5.3153692114449314e-08,5.486832677092934e-08
1830,2.5048406460115302e-08,6.470838087579978e-08
1831,2.8064171209152278e-08,6.392394169552063e-08
1832,4.600189662529175e-08,5.0060886991332154e-08
1833,4.9809603552830595e-08,8.456049016558609e-08
1834,3.733812325990016e-08,7.560969805808782e-08
1835,3.479020449503878e-08,5.8235777089521434e-08
1836,4.301280043250699e-08,6.85516496901073e-08
1837,3.3397876242347024e-08,3.75726116885744e-08
1838,3.724175656749651e-08,4.923486218721962e-08
1839,5.5232652673709026e-08,5.8728391483242603e-08
1840,3.3759348205819606e-08,4.267691550152719e-08
1841,3.9165345633307425e-08,9.566617453771187e-08
1842,2.1466448174578545e-08,7.379091471193533e-08
1843,3.0125246297529884e-08,4.6073907356003474e-08
1844,4.445734536062673e-08,3.787107255570632e-08
1845,3.571345796871128e-08,5.245414147481142e-08
1846,6.439951505399222e-08,4.9177810268474786e-08
1847,5.501087940729121e-08,6.148275133455172e-08
1848,4.585776280929821e-08,7.160247150750365e-08
1849,2.5976186535103807e-08,3.5193544078993e-08
1850,3.394498016007219e-08,5.70275675570997e-08
1851,3.418202609850596e-08,2.579775504329973e-08
1852,2.018269107395554e-08,6.119912754343204e-08
1853,1.4332636411040767e-08,5.6136158388397916e-08
1854,5.143707682009335e-08,4.1045748133683446e-08
1855,2.4411910715116392e-08,3.874064091746732e-08
