year,devait_VERB écrire_VERB,devait_VERB décrire_VERB
1800,6.60274537267469e-08,5.0306631749208464e-08
1801,3.5717739876872656e-08,0.0
1802,2.6854081625060644e-08,6.713520406265161e-09
1803,2.145373123596528e-08,0.0
1804,2.7190360185613827e-08,4.943701892301533e-09
1805,1.9900143755080535e-08,0.0
1806,3.7461699520235925e-08,0.0
1807,5.97860605466849e-08,0.0
1808,9.744118045773575e-08,0.0
1809,3.388545621874073e-08,2.259030518203531e-09
1810,5.8503168531842675e-08,0.0
1811,2.2563691359778204e-08,0.0
1812,8.268345652595599e-08,2.1337665856435706e-08
1813,1.7254450312975678e-07,3.163315653864629e-08
1814,7.552024783308298e-08,4.72001566720337e-08
1815,3.506390555685357e-08,0.0
1816,3.9399267848239106e-08,0.0
1817,7.7843672841027e-08,0.0
1818,3.337929754820834e-08,0.0
1819,5.072014630513877e-08,1.8631890696951814e-08
1820,7.475883023744245e-08,9.493184904840746e-09
1821,7.494730880353018e-08,1.577838126820552e-08
1822,3.408709403629473e-08,1.0025615893027862e-09
1823,3.063632902922109e-08,2.668325471688604e-08
1824,6.231623217445303e-08,1.6842225392110777e-08
1825,5.371320099811783e-08,4.4027217427355936e-09
1826,9.160303449107232e-08,7.927186018719112e-09
1827,6.267745789045875e-08,1.013900075008678e-08
1828,3.393751413227619e-08,1.1923991571904935e-08
1829,1.1659519572049248e-07,3.429270423183084e-09
1830,7.723258477199124e-08,2.5048406016026092e-08
1831,3.897801548191637e-08,1.5591206103948707e-09
1832,8.523880978827947e-08,1.2176972319366541e-08
1833,8.108539617524002e-08,1.1583628500844156e-09
1834,7.467625096069241e-08,5.600718555598405e-09
1835,9.378229037793062e-08,2.0420337421001022e-08
1836,8.535352691296794e-08,6.720750067579218e-10
1837,9.880205453782764e-08,1.1132625488130543e-08
1838,9.973215497893761e-08,1.830527018853445e-08
1839,6.152497888933794e-08,1.0487212875887053e-08
1840,1.0828470919932442e-07,7.0066574764382494e-09
1841,5.714288064950779e-08,1.0914932957462042e-08
1842,7.848669980603518e-08,3.3541326160957396e-08
1843,8.801297468608027e-08,1.063243981747064e-08
1844,1.2623691247881652e-07,1.3721403568922597e-08
1845,1.2667116777720366e-07,1.9530798311961917e-08
1846,1.0069742018004035e-07,1.7563503984519002e-09
1847,7.011190916728083e-08,1.4561703842730367e-08
1848,7.160247150750365e-08,1.850401076808339e-08
1849,4.273501730267526e-08,1.8434713311421547e-08
1850,7.943125268639051e-08,4.073397619208663e-09
1851,1.077056239751073e-07,1.5478653025979838e-08
1852,8.659025496626782e-08,1.4974254725075298e-08
1853,1.1048074100017402e-07,1.0152284346531815e-08
1854,8.832629561084104e-08,5.195664343204953e-09
1855,1.146298416188074e-07,3.714855978387277e-09
1856,1.0199062927540581e-07,1.1907535402144731e-08
1857,1.1227471219399376e-07,1.2203773103180993e-08
1858,8.368186144025458e-08,5.3830437884982985e-09
1859,1.059172092254812e-07,3.5645213447565993e-09
1860,1.5928600305414875e-07,1.2816115280145368e-08
1861,1.0563758934267753e-07,2.8295783494058924e-09
1862,1.4502735723453952e-07,1.445755604123633e-08
1863,1.393499218238503e-07,1.4983863039219614e-08
1864,1.3233449180916068e-07,1.342523781033833e-08
1865,1.1202289584844038e-07,6.118897832863013e-09
1866,1.260193727148362e-07,2.3841502994059738e-08
1867,1.252025327858064e-07,1.747012134956094e-08
1868,1.0867722721741302e-07,6.915823469455518e-09
1869,1.0939082528693689e-07,6.8369265804335555e-09
1870,1.4564483308276976e-07,9.747882501187632e-09
1871,5.947859449406678e-08,9.559059321873065e-09
1872,8.950062380108648e-08,1.9956219787786722e-08
1873,1.0295927665993077e-07,1.7958013742713774e-08
1874,1.1292011237173938e-07,2.0313670745508716e-08
1875,1.2244068159361632e-07,1.3159512590732447e-08
1876,1.2515251057720889e-07,1.9951848173604958e-08
1877,1.2184086983779707e-07,1.4225077116236662e-08
1878,1.1776222663684166e-07,1.3889904337816006e-08
1879,1.0691319118905085e-07,2.016077260691418e-08
1880,1.1295409763079078e-07,5.134277003548959e-09
1881,1.1574362446253872e-07,1.1853263259808955e-08
1882,1.4309078721908008e-07,1.5972924316542958e-08
1883,1.2069936872194376e-07,1.7694148368718743e-08
1884,1.3797546216665069e-07,7.2618666635548834e-09
1885,1.1795513188417317e-07,5.156508553483263e-09
1886,1.116449226401528e-07,1.613365974151293e-08
1887,1.1621485640489482e-07,1.3710741875172516e-08
1888,1.4583413587843097e-07,1.268122939990235e-09
1889,1.5286933319202944e-07,1.3783300722991498e-08
1890,1.4747369903034269e-07,7.209825181320184e-09
1891,1.4150768379295187e-07,9.561330394092238e-09
1892,1.366535684610426e-07,1.191017329205124e-08
1893,1.2316833419845352e-07,8.005941687372342e-09
1894,1.373735614151883e-07,1.071261657159539e-08
1895,1.396318509705452e-07,1.745398137131815e-08
1896,1.2501701007749944e-07,2.0639602027472392e-08
1897,1.3459708725349628e-07,4.078699600285063e-09
1898,1.6522396606433176e-07,2.26334195829736e-09
1899,1.2381775604808354e-07,1.492446166651007e-08
1900,1.3808201515530527e-07,4.15284251431558e-09
1901,1.2574662378028734e-07,1.0059729937950124e-08
1902,1.1981092029600404e-07,2.0623192042990013e-08
1903,1.2312501951328159e-07,1.83607493653426e-08
1904,1.644635290176666e-07,1.6123875568041512e-08
1905,1.5946746145800716e-07,8.773290538499623e-09
1906,1.4249391711018689e-07,1.2860461140462576e-08
1907,1.4708531637097622e-07,1.491424583832668e-08
1908,1.6944292724474508e-07,8.349361202419914e-09
1909,1.8593324568882963e-07,2.2003934674330594e-08
1910,1.688751609663086e-07,1.870452770447173e-08
1911,1.8302087312349613e-07,1.2236860413850081e-08
1912,1.651386583034764e-07,1.5628263128064646e-08
1913,1.4424132643853227e-07,7.42418571064718e-09
1914,1.6139152592131722e-07,1.5402511266415786e-08
1915,1.0131455496775743e-07,1.0602685840410686e-08
1916,1.5162697764026234e-07,1.9777431248257926e-08
1917,1.7655943906902394e-07,1.6449636319748606e-08
1918,2.0216022278418677e-07,1.722956355365568e-08
1919,1.6574126959767455e-07,9.207848705727883e-09
1920,1.4690130001326906e-07,1.8930579770426448e-08
1921,2.067360043156441e-07,3.7863738810983705e-09
1922,1.6821692838675517e-07,2.2871599725249325e-08
1923,2.08072577834173e-07,2.441668023323018e-08
1924,2.2689259537855833e-07,2.9650736976805092e-08
1925,2.2876210437061673e-07,1.0998178368026856e-08
1926,1.8056744011119008e-07,2.0063049888108253e-08
1927,2.3078895594608184e-07,2.0068604555945058e-08
1928,2.1480957457242766e-07,1.82816659588525e-08
1929,2.0609752482414478e-07,1.1140405931087116e-08
1930,1.9956846131208295e-07,9.453243521306831e-09
1931,1.8134517176804366e-07,2.167017854048936e-08
1932,1.6877686448424356e-07,8.767629289252454e-09
1933,2.3514857616646623e-07,2.1794258842078307e-08
1934,2.1686659579245315e-07,1.9170528275935794e-08
1935,2.3577520380513306e-07,1.555876849579363e-08
1936,1.7702083709991712e-07,1.091224355320719e-08
1937,2.203445745863064e-07,8.813782592653752e-09
1938,1.8669908286028658e-07,1.0372171566075394e-08
1939,1.819991979346014e-07,0.0
1940,1.9525528216490784e-07,0.0
1941,2.2726570136910595e-07,2.9515025090631752e-08
1942,3.39831728979334e-07,2.1239483061208375e-08
1943,3.3387203757229145e-07,1.7419411690866582e-08
1944,2.4741532911320974e-07,2.5705489292704442e-08
1945,2.7884851760973106e-07,2.178504132643866e-08
1946,2.839905164364609e-07,2.3665876369705074e-08
1947,2.3364907519862754e-07,1.6689218895749036e-08
1948,2.60925304473858e-07,1.0871888278529696e-08
1949,2.0419376767222275e-07,1.668891336237266e-08
1950,1.7867407109406486e-07,1.2762433776458693e-08
1951,2.40947684915227e-07,8.529121409139861e-09
1952,2.3725809228380967e-07,3.4797853487589236e-08
1953,2.2840514191102557e-07,2.693456835345387e-08
1954,2.4919967245295993e-07,1.6613311615287785e-08
1955,2.7218263198847126e-07,4.223523575319632e-08
1956,2.6076213544001803e-07,2.2674967681268754e-08
1957,2.7565317850530846e-07,1.9437083054185678e-08
1958,2.2335056826250366e-07,1.9853384713997002e-08
1959,2.7282632686365105e-07,2.9452841943111707e-08
1960,2.519183226468158e-07,2.0070416439921246e-08
1961,2.577767190814484e-07,2.709782087606527e-08
1962,3.367578926827264e-07,1.5220695814832652e-08
1963,2.670479943844839e-07,2.3277792138287623e-08
1964,3.102823882272787e-07,1.8251904876365188e-08
1965,3.190201312008867e-07,2.2435377999840966e-08
1966,2.769537275071343e-07,2.0494576702390077e-08
1967,2.657450863807753e-07,1.4791006641701188e-08
1968,3.121533893590822e-07,2.2906220920049236e-08
1969,2.2708789515490935e-07,2.5433843475752838e-08
1970,2.487910251147696e-07,1.9314645882673176e-08
1971,2.260894831351834e-07,2.7747345754391972e-08
1972,2.0828396429806162e-07,2.3598675014113724e-08
