year,causant_VERB en_ADP,causant_VERB dans_ADP
1800,1.2576657937302116e-08,1.8864987794131594e-08
1801,1.6668277424969347e-08,2.3811825844433088e-09
1802,6.713520406265161e-09,0.0
1803,5.851017448321727e-09,0.0
1804,4.943701892301533e-09,7.415552971679062e-08
1805,1.421438877713399e-08,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,1.9928686256776018e-08
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,1.4040760554223652e-08
1811,5.0141535368197765e-09,1.0028307073639553e-08
1812,5.3344164641089264e-09,2.9339290108509886e-08
1813,1.4378708002027452e-08,8.627225156487839e-09
1814,0.0,0.0
1815,0.0,2.966945977789237e-08
1816,1.3905623319487859e-08,0.0
1817,2.80237220096069e-08,2.0239355080775567e-08
1818,1.9073883805731384e-08,4.768470951432846e-09
1819,1.1386155129855524e-08,1.2421260464634543e-08
1820,7.119888678630559e-09,2.1359666035891678e-08
1821,2.1695274909916407e-08,2.859831660373402e-08
1822,8.02049271442229e-09,4.6117833107928163e-08
1823,7.90614973489312e-09,1.3835761869529506e-08
1824,1.431589158329416e-08,2.105278085196005e-08
1825,4.4027217427355936e-09,1.4969252504215547e-08
1826,8.80798456392995e-09,1.2331177856594877e-08
1827,1.1060727445055818e-08,1.1060727445055818e-08
1828,6.420610709767516e-09,8.255071293206129e-09
1829,4.286588028978855e-09,3.772197487705853e-08
1830,1.1480519646056564e-08,2.817945699007396e-08
1831,1.091384405071949e-08,2.0268567268999504e-08
1832,1.2176972319366541e-08,1.0823975493678972e-08
1833,1.1583628500844156e-09,1.853380560135065e-08
1834,1.213489042584115e-08,2.42697808516823e-08
1835,9.075705520444899e-09,1.2100940693926532e-08
1836,5.376600054063374e-09,1.6129799718100912e-08
1837,1.2524203452102256e-08,1.6698937344017395e-08
1838,1.1361890983607736e-08,2.209256599883247e-08
1839,1.8876983531868063e-08,1.3283802502428443e-08
1840,3.821813088222825e-09,3.3122379505812205e-08
1841,1.2841097074556274e-08,1.2841097074556274e-08
1842,1.408735705865638e-08,2.2137275124123335e-08
1843,6.4976020675011625e-09,1.6539351221922516e-08
1844,1.5367971784030487e-08,1.4270259640625227e-08
1845,1.674068350610014e-08,2.3436957263811564e-08
1846,1.4636253098387897e-08,1.6978054517835517e-08
1847,1.0786447290911383e-08,4.2067142658197554e-08
