year,aurait_VERB écrit_VERB,aurait_VERB ecrit_VERB,aurait_VERB décrit_VERB
1800,6.288328791015374e-08,0.0,2.2009151834367913e-08
1801,4.7623650800687756e-08,0.0,4.7623651688866175e-09
1802,3.5805442166747525e-08,0.0,2.4616241489638924e-08
1803,2.9255089017965474e-08,0.0,3.900678446910888e-09
1804,5.438072037122765e-08,0.0,4.943701892301533e-09
1805,3.980028751016107e-08,0.0,1.7057265822018053e-08
1806,6.627838899930794e-08,0.0,4.8988376022407465e-08
1807,6.832692633906845e-08,0.0,0.0
1808,7.704651494577774e-08,0.0,4.5321479902327155e-09
1809,9.262025457701384e-08,0.0,0.0
1810,7.488405628919281e-08,0.0,2.3401267590372754e-09
1811,1.0780430415024966e-07,0.0,3.5099073869560016e-08
1812,5.3344166417446104e-08,0.0,2.1337665856435706e-08
1813,6.039057609541487e-08,0.0,3.163315653864629e-08
1814,8.810695817373926e-08,0.0,6.293354282149721e-09
1815,8.631115377966125e-08,5.394447111228828e-09,1.0788894222457657e-08
1816,9.038654980031424e-08,0.0,2.3176038865813098e-09
1817,1.214361304846534e-07,1.556873407970727e-09,1.556873407970727e-09
1818,1.418620172444207e-07,0.0,2.384235475716423e-09
1819,1.376689624521532e-07,0.0,3.519356894798875e-08
1820,1.1510486785937246e-07,0.0,4.746592452420373e-09
1821,2.199111861500569e-07,0.0,1.577838126820552e-08
1822,2.7269675229035784e-07,0.0,2.8071724500478012e-08
1823,1.4428722749926237e-07,9.882686891060644e-10,7.906149512848515e-09
1824,1.5410635967327835e-07,0.0,8.421112696055388e-10
1825,1.2944001070991362e-07,0.0,1.2327619813845558e-08
1826,1.6118610801640898e-07,8.807984341885344e-10,1.4092774947016551e-08
1827,1.7420646258869965e-07,2.7651818612639545e-09,1.474763688946723e-08
1828,1.2841221064263664e-07,6.420610709767516e-09,1.0089530988466322e-08
1829,2.1690135554308654e-07,8.57317605795771e-10,1.971830521085849e-08
1830,1.5655253093882493e-07,3.1310507520032616e-09,6.262101504006523e-09
1831,2.2763160245631298e-07,3.1182412207897414e-09,1.5591206103948707e-09
1832,2.3136247762067796e-07,0.0,4.058990921151917e-09
1833,1.054110185805257e-07,1.1583628500844156e-09,2.20088942626262e-08
1834,1.297499778729616e-07,0.0,1.5868701908061666e-08
1835,1.6336269936800818e-07,0.0,1.0588323107185715e-08
1836,1.5995385638234438e-07,0.0,2.2178475944656384e-08
1837,1.788177996786544e-07,0.0,2.0177884252348122e-08
1838,1.1993107307262107e-07,0.0,2.9667161172142187e-08
1839,1.0906700964596894e-07,0.0,1.3283802502428443e-08
1840,2.5606149733903294e-07,0.0,1.9746034141121527e-08
