year,maintenant_VERB en_ADP,maintenant_VERB dans_ADP
1800,1.8864987794131594e-08,1.8864986373046122e-07
1801,8.334139067756041e-08,1.381085894536227e-07
1802,1.1189200677108602e-07,1.7455153056289419e-07
1803,7.411289004721766e-08,8.776526527753958e-08
1804,8.157108055684148e-08,1.2112069214254007e-07
1805,4.5486043376286034e-08,1.5351540127994667e-07
1806,5.187004603612877e-08,1.7001848107156547e-07
1807,4.839823830593559e-08,2.619198653519561e-07
1808,2.039466551195801e-08,1.5635910699529632e-07
1809,4.292158095609011e-08,1.8975856619363185e-07
1810,4.212228077449254e-08,2.0125089861267043e-07
1811,5.0141537144554604e-08,2.4569351353420643e-07
1812,5.3344166417446104e-08,2.74722452786591e-07
1813,6.614205716459765e-08,2.0705340375570813e-07
1814,5.97868634599763e-08,1.7621391634747852e-07
1815,1.0249449644561537e-07,2.88602933551374e-07
1816,1.1819779643928996e-07,1.321034233114915e-07
1817,8.251429051142622e-08,2.615547316509037e-07
1818,8.702459552978326e-08,1.7881765757010726e-07
1819,4.0369094733705424e-08,2.0081037632735388e-07
1820,8.543866414356671e-08,1.9223699609938194e-07
1821,7.691961201317099e-08,2.2582808867355197e-07
1822,1.3634837614517892e-07,1.804610860745015e-07
1823,9.487379770689586e-08,2.1247777226562903e-07
1824,1.1621135342920752e-07,2.484228218690987e-07
1825,1.2415674177645997e-07,2.447913232117571e-07
1826,9.424542923852641e-08,2.193188066712537e-07
1827,1.1060727445055818e-07,2.3504045998379297e-07
1828,8.346793833879929e-08,2.559071958785353e-07
1829,7.973054039212002e-08,2.006123196451881e-07
1830,8.871310797076148e-08,2.0143093593105732e-07
1831,1.387617345471881e-07,2.1983601072861347e-07
1832,1.1906372776593344e-07,2.54363413887404e-07
1833,1.054110185805257e-07,3.2086651913232345e-07
1834,1.3348379468425264e-07,2.42697808516823e-07
1835,1.2554725969948777e-07,2.5790129143388185e-07
1836,9.073012563476368e-08,2.419469922188e-07
1837,1.1758835682940116e-07,2.630082747145934e-07
1838,9.278878110308142e-08,1.9693945318977057e-07
1839,1.5241415951550152e-07,2.9853597993678704e-07
1840,8.853866972913238e-08,3.076559664805245e-07
1841,1.2841097429827641e-07,2.8635645321628544e-07
1842,1.1001554867107188e-07,2.891262340654066e-07
1843,1.5771452410717757e-07,3.3610322702770645e-07
1844,1.0592923160857026e-07,3.0516400784108555e-07
1845,9.542189616240648e-08,3.0579650456274976e-07
1846,1.33482629394166e-07,3.6063727293367265e-07
1847,1.1865091664731153e-07,3.68357177649159e-07
1848,1.3033259449457546e-07,3.443354898990947e-07
1849,1.0641856817983353e-07,2.8992775469305343e-07
1850,9.911934029105396e-08,2.837800252564193e-07
1851,9.093708541740853e-08,3.147326026464725e-07
1852,9.570501902089745e-08,3.9063272083694756e-07
1853,1.8632427156717313e-07,3.18901157925211e-07
1854,1.4236120193800161e-07,3.4810952342922974e-07
1855,1.2630511037059478e-07,3.507885537601396e-07
1856,1.439258596747095e-07,3.981258487328887e-07
1857,1.0348799150960986e-07,3.7099468386259105e-07
1858,1.2772494528690004e-07,3.2347199407922744e-07
1859,1.0795407234809318e-07,3.620535267145897e-07
1860,1.7118668438342866e-07,3.455773764926562e-07
1861,1.4949604576486308e-07,3.466233238214045e-07
1862,1.4141296844627504e-07,3.2303600505656505e-07
1863,1.433456162658331e-07,3.42131528441314e-07
1864,1.6302074357099627e-07,4.133055426791543e-07
1865,1.6803434732537426e-07,4.142023044551024e-07
1866,1.7954111797280348e-07,3.5664942288349266e-07
1867,1.412168160186411e-07,4.1879764012264786e-07
1868,1.0521931415041763e-07,3.734544691269548e-07
1869,1.450405164860058e-07,3.9361165704576706e-07
1870,1.5309910850191955e-07,3.864748805426643e-07
1871,1.327647112248087e-07,4.4077884808757517e-07
1872,1.348556679658941e-07,3.9065812984517834e-07
1873,1.2750189171129023e-07,3.9148468999883335e-07
1874,1.69678898487291e-07,4.014937360352633e-07
1875,1.4017741989391652e-07,3.5645115303850616e-07
1876,1.451043516453865e-07,3.9601397361366253e-07
1877,1.292626592430679e-07,4.0757936403679196e-07
1878,1.6124366197800555e-07,3.5268277542854776e-07
1879,1.4418007765470975e-07,3.671704575936019e-07
1880,1.559536570994169e-07,3.715933019066142e-07
1881,1.3178039637296024e-07,3.514143713800877e-07
1882,1.3377324137309188e-07,3.4940771342917287e-07
1883,1.6493474674916797e-07,3.3745268979146203e-07
1884,1.333542769543783e-07,4.337314862823405e-07
1885,1.3858117142717674e-07,4.1316525312140584e-07
1886,2.084468775365167e-07,3.51713794088937e-07
1887,1.7040493105469068e-07,3.303635764950741e-07
1888,1.5154068933043163e-07,3.436613269514055e-07
1889,1.5850795875849144e-07,3.45835559301122e-07
1890,1.4616281873713888e-07,3.873642526741605e-07
1891,1.7274136610012647e-07,3.244477966291015e-07
1892,1.498174526659568e-07,3.9554313957523846e-07
1893,1.5334457259541523e-07,3.8182182038326573e-07
1894,1.4052432106836932e-07,3.049945007660426e-07
1895,1.2518718506271398e-07,3.4366289014542417e-07
1896,2.0403720668582537e-07,3.219777795493428e-07
1897,1.462505139215864e-07,3.507681469727686e-07
1898,1.0354789736766179e-07,3.8476812846965913e-07
1899,1.74118724771688e-07,3.8471944208140485e-07
1900,1.5625070659552875e-07,3.701220805396588e-07
1901,1.391595958466496e-07,3.9735934365126013e-07
1902,2.6662840468816285e-07,4.782616542797768e-07
1903,1.663267852336503e-07,3.682950193706347e-07
1904,1.7628769910515985e-07,3.4720079611361143e-07
1905,1.60499610046827e-07,3.246117330490961e-07
1906,1.6821483939111204e-07,3.647226947123272e-07
1907,1.517138770168458e-07,2.9057065376036917e-07
1908,1.5618216764323734e-07,3.7768580796182505e-07
1909,1.1937135013795341e-07,3.476621657227952e-07
1910,1.4108557877534622e-07,3.484386184027244e-07
1911,1.5375881901036337e-07,3.4103598522960965e-07
1912,1.4482191090792185e-07,3.261097560880444e-07
1913,1.5961998656166543e-07,3.075734014146292e-07
1914,1.6139152592131722e-07,3.1876498951532994e-07
