year,tout_ADV eu_VERB,tout_ADV dû_VERB
1800,2.829748035892976e-08,3.144164484325529e-09
1801,7.381665767525192e-08,2.3811825844433088e-09
1802,6.265952379180817e-08,2.2378401354217203e-09
1803,3.90067853572873e-08,3.900678446910888e-09
1804,4.9437020477327565e-08,0.0
1805,8.24434520652062e-08,0.0
1806,7.204172813857213e-08,0.0
1807,9.394952016350544e-08,0.0
1808,8.837688403318111e-08,0.0
1809,9.262025146838937e-08,0.0
1810,8.658469141664682e-08,2.3401267590372754e-09
1811,7.521230349638586e-08,0.0
1812,7.468183138570339e-08,8.00162425207418e-09
1813,1.5241430517676235e-07,0.0
1814,9.440031245588898e-08,0.0
1815,9.170560044680087e-08,8.091670444798638e-09
1816,8.111613780670268e-08,0.0
1817,1.1987925141454525e-07,0.0
1818,9.65615352122029e-08,2.384235475716423e-09
1819,1.0247539350416446e-07,1.035105001712111e-09
1820,1.079849791807419e-07,1.1866481131050932e-09
1821,9.17118416765561e-08,3.94459531705138e-09
1822,9.524335098376469e-08,2.0051231786055723e-09
1823,8.696764552951208e-08,5.929612356680991e-09
1824,1.1284290923896378e-07,2.5263338088166165e-09
1825,1.0038205200402217e-07,8.805443041381977e-10
1826,9.336463513420767e-08,1.0569580766173203e-08
1827,1.0231173064312316e-07,9.217273055917019e-10
1828,9.630916242286958e-08,1.2841221419535032e-08
1829,9.773420917014164e-08,4.115124596637543e-08
1830,1.0541203909752994e-07,1.0436835840010872e-09
1831,1.3252525299378703e-07,1.5591206103948707e-09
1832,1.244757150686837e-07,4.058990921151917e-09
1833,1.0656937909914177e-07,1.2741991461950875e-08
1834,1.092140120562135e-07,2.240287422239362e-08
1835,1.3916081087472776e-07,7.563087933704082e-10
1836,1.1694104973258845e-07,6.048674894287842e-09
1837,1.1897993701381893e-07,2.7831563720326358e-09
1838,1.2056229614643144e-07,8.2058102535143e-09
1839,1.0557127616550588e-07,2.7965900706306e-09
1840,1.1146955358753985e-07,1.7198159341091923e-08
1841,1.1364370866573381e-07,2.5682194149112547e-09
1842,1.495943084961482e-07,8.720745015011744e-09
1843,1.4885416543819474e-07,8.269675610961258e-09
1844,1.5367972050484013e-07,2.7442805805577564e-09
1845,1.5289823895869858e-07,4.464182357111213e-09
1846,1.586569808864624e-07,1.7563503984519002e-09
1847,1.5586416779456158e-07,4.314578916364553e-09
1848,1.198738033281188e-07,4.02261068899179e-09
1849,1.2904298873905873e-07,1.6758829879393033e-09
1850,1.5614690607179682e-07,5.431196825611551e-09
1851,1.896134946832717e-07,5.8044946626978344e-09
1852,1.5690415011704317e-07,1.1067927019325907e-08
1853,1.8453268779694554e-07,1.1943863675867306e-08
1854,1.8600479201325015e-07,4.1565315633818045e-09
1855,2.250141406534567e-07,9.021793090369101e-09
1856,2.0708756842680032e-07,1.9155599773057475e-08
1857,2.0355893148860105e-07,1.2691923956253959e-08
1858,1.575763679539932e-07,1.0276719919488642e-08
1859,1.751707632280386e-07,0.0
1860,1.6157458482268794e-07,4.577183909670879e-10
1861,1.9476930468442788e-07,1.8863854922557266e-09
1862,1.6671369174048323e-07,2.2589932147099034e-09
1863,2.002842993675813e-07,9.989241656072068e-10
1864,1.7117178341408135e-07,4.794727948009836e-10
1865,1.8921514310932253e-07,8.943004559114343e-09
1866,2.1797945670698482e-07,2.432806400776144e-09
1867,2.149795506056762e-07,9.7056229719783e-10
