year,attendant_VERB en_ADP,attendant_VERB dans_ADP
1800,2.2009151834367913e-08,9.432493897065797e-09
1801,1.1905912700171939e-08,1.4287095950749062e-08
1802,4.0281122437590966e-08,3.8043282302169246e-08
1803,1.950339267864365e-08,1.755305234496518e-08
1804,3.9549615138412264e-08,8.157108055684148e-08
1805,3.980028751016107e-08,1.9900143755080535e-08
1806,2.0171683878800195e-08,1.4408345627714425e-08
1807,2.562259560079383e-08,1.9928686256776018e-08
1808,1.8128591960930862e-08,2.945896149242344e-08
1809,7.454800510231507e-08,5.873479480555943e-08
1810,3.2761775514700275e-08,5.616304221689461e-08
1811,1.504245972228091e-08,3.259199843341776e-08
1812,2.6672082320544632e-09,5.067695596494559e-08
1813,1.1502966579257645e-08,1.7254450312975678e-08
1814,3.1466771410748606e-09,1.2586708564299443e-08
1815,1.3486118000116676e-08,8.091670622434322e-08
1816,7.184571870766376e-08,1.3905623319487859e-08
1817,1.71256075987003e-08,3.580808893843823e-08
1818,3.337929754820834e-08,2.98029441125891e-08
1819,1.8631889475706487e-08,1.449147024601416e-08
1820,4.390598107306687e-08,3.797273961936298e-08
1821,3.155676253641104e-08,2.9584464655840748e-08
1822,5.213320264374488e-08,5.213320264374488e-08
1823,5.929612001409623e-08,1.0475648082319822e-07
1824,2.5263338088166165e-08,3.9579230559638745e-08
1825,7.396572243578703e-08,2.1133063299316746e-08
1826,4.4039921931471326e-08,2.7304752237000685e-08
1827,6.359918103271411e-08,5.4381911140932715e-08
1828,4.677873732816806e-08,3.944089499441361e-08
1829,3.6864655328372464e-08,8.144517238406479e-08
1830,2.817945699007396e-08,5.4271545479878114e-08
1831,4.989185953263586e-08,4.365537620287796e-08
1832,3.6530916958099624e-08,3.7883913894809496e-08
1833,1.9692167896323554e-08,3.938433579264711e-08
1834,6.814207864636046e-08,3.4537765314368585e-08
1835,3.7059130875150004e-08,4.310960122211327e-08
1836,5.7126375796467954e-08,3.49478987970997e-08
1837,7.166627824517491e-08,2.6439986200443855e-08
1838,5.680945847075236e-08,4.102905393210676e-08
1839,3.5656523067473245e-08,3.915226187700682e-08
1840,7.388838979549561e-08,6.242294858793684e-08
1841,3.531301828729738e-08,8.025685360735224e-08
1842,4.628702754416736e-08,2.6162233268678392e-08
1843,5.316219997553162e-08,3.36693943836508e-08
1844,4.720162771754133e-08,3.402907822191992e-08
1845,3.906159662392383e-08,2.6785095030845696e-08
1846,2.4588905578326603e-08,5.327596142024049e-08
1847,6.849393852093044e-08,4.907833428546837e-08
1848,5.309846429213394e-08,2.654923214606697e-08
1849,5.446619866233959e-08,5.781796375003978e-08
1850,4.073397619208663e-08,4.3449573716713985e-08
1851,3.611685883697646e-08,3.740674614505224e-08
1852,4.8829090104618444e-08,3.711010876372711e-08
1853,7.703791737867505e-08,3.762316969080359e-08
1854,6.026970833516998e-08,4.052618152172727e-08
1855,5.996838581268094e-08,5.094659627502551e-08
1856,5.3842768188427925e-08,6.21262718492055e-08
1857,8.249750133026978e-08,4.8326938895115745e-08
1858,4.7468655617333155e-08,4.942612719105455e-08
1859,7.689181535930345e-08,4.43019090301533e-08
1860,4.714499435287678e-08,7.277722668952435e-08
1861,4.7159639082750004e-08,6.649509032286005e-08
1862,5.2860439581081664e-08,4.2920870635398956e-08
1863,4.04564275413577e-08,7.741662272353622e-08
1864,5.3221480555976086e-08,4.746780746245349e-08
1865,2.6829012567120003e-08,6.024760779155258e-08
1866,4.379051787850585e-08,5.984703871364516e-08
1867,3.4454963326879806e-08,3.88224918879132e-08
1868,5.680855252876427e-08,4.791677810089823e-08
1869,4.4928376907726886e-08,4.8346841197144386e-08
1870,3.7271316699616364e-08,4.185855617677703e-08
1871,3.292565042833928e-08,6.585130152281238e-08
1872,5.744972497723211e-08,3.38650991693612e-08
1873,3.71132280463371e-08,2.693702105815987e-08
1874,3.584765551067903e-08,4.6004491938145264e-08
1875,2.803548326824057e-08,2.460256709468922e-08
1876,4.050830049173726e-08,4.776351758550845e-08
1877,4.2675228684174726e-08,8.34950171224591e-08
1878,3.6838439854136595e-08,3.2611080058586595e-08
1879,5.498392852132383e-08,3.054662733870117e-08
1880,5.583526174746112e-08,2.3104245627791897e-08
1881,2.998178416646624e-08,3.834879080955034e-08
1882,3.0614771162618126e-08,4.7253235768707214e-08
1883,5.624211762977893e-08,4.802697617378726e-08
1884,5.413391335196138e-08,2.706695667598069e-08
1885,3.674012427623552e-08,3.8673812818856845e-08
1886,2.6459201052375647e-08,4.904632383562202e-08
1887,4.8314041434238675e-08,3.852065688647599e-08
1888,4.248211893376208e-08,3.994587216560319e-08
1889,4.573549983177827e-08,4.448246926358479e-08
1890,2.6217545745499393e-08,5.046877760150892e-08
1891,3.82453193559229e-08,3.824532157636895e-08
1892,4.2625884155711447e-08,2.6954603882245465e-08
1893,2.9560398628891704e-08,2.894455702895371e-08
1894,4.726154334555588e-08,5.797416235964192e-08
1895,3.97228554493978e-08,4.935263930860856e-08
1896,3.8920392630981127e-08,3.656158042986135e-08
