year,battant_VERB en_ADP,battant_VERB dans_ADP
1800,7.545995117652637e-08,1.8864987794131594e-08
1801,1.166779455274991e-07,5.476719877606229e-08
1802,5.594600338554301e-08,6.042168365638645e-08
1803,5.265916058760922e-08,1.755305234496518e-08
1804,7.168367943677367e-08,2.7190360185613827e-08
1805,7.675770063997334e-08,5.685755422035754e-09
1806,8.35684019762084e-08,6.627838899930794e-08
1807,1.395007984683616e-07,2.8469551160981155e-09
1808,1.0197332578343321e-07,5.6651849433819734e-08
1809,1.1069249694628525e-07,3.388545621874073e-08
1810,5.3822915901946544e-08,3.042164919975221e-08
1811,6.518399686683551e-08,4.011322829455821e-08
1812,4.5342541277193504e-08,3.7340914360584065e-08
1813,3.163315653864629e-08,5.751483289628823e-09
1814,7.237357380063258e-08,5.349351184236184e-08
1815,1.294667271167782e-07,1.0788894222457657e-08
1816,9.733936678912869e-08,2.3176038865813098e-09
1817,6.694555665376356e-08,4.0478710161551135e-08
1818,7.867976847819591e-08,3.695565098382758e-08
1819,1.1075623262968293e-07,3.415846450138815e-08
1820,1.2578469466006936e-07,6.170570543417853e-08
1821,7.790576006527772e-08,1.1833785507064931e-08
1822,7.519211919770896e-08,9.323822780515911e-08
1823,1.2056878517796576e-07,6.917881023582595e-08
1824,9.600068295867459e-08,2.947389532437228e-08
1825,8.453225319726698e-08,1.584979703039835e-08
1826,5.901349353631957e-08,7.0463874735082754e-09
1827,6.820781928151831e-08,2.3964910056406552e-08
1828,1.2382606939809193e-07,3.944089499441361e-08
1829,9.259030453456774e-08,3.1720752247110795e-08
1830,8.245100113768444e-08,4.4878394334091354e-08
1831,8.263339168479433e-08,4.5214498811674275e-08
1832,9.470978867831548e-08,4.6001897402447867e-08
1833,8.80355770505048e-08,2.89590715851773e-08
1834,1.1388127663103376e-07,3.733812548034621e-08
1835,8.24376584773745e-08,3.554651328840919e-08
1836,7.460032236394909e-08,3.427582484505365e-08
1837,8.349469204915749e-08,3.896418832027848e-08
1838,8.647661475791324e-08,6.312161815458239e-08
1839,8.94908822601792e-08,3.985140750728533e-08
1840,1.0255198645836572e-07,4.267691444681532e-08
1841,9.502412012807326e-08,2.247191943638427e-08
1842,1.0800306426972384e-07,3.219967226186782e-08
1843,7.02922405282358e-08,3.36693943836508e-08
1844,9.879410267643607e-08,1.5367971784030487e-08
1845,1.0267619643400394e-07,2.7343116215661212e-08
1846,7.142491398326456e-08,3.3956109035671034e-08
1847,7.172987182002544e-08,2.426950729272903e-08
1848,9.573813741781123e-08,4.183515400768556e-08
1849,1.0222886004385145e-07,5.446619866233959e-08
1850,9.436704573317911e-08,4.412847331991543e-08
1851,1.1351012574323249e-07,3.676180071465751e-08
1852,6.510545347282459e-08,3.906327350478023e-08
1853,8.957897534855874e-08,2.09017620989016e-08
1854,9.248282450968759e-08,2.3900057044556888e-08
