year,aurait_VERB eu_VERB,aurait_VERB dû_VERB
1800,3.53718496626243e-06,6.115400083217537e-06
1801,2.471667585268733e-06,4.783795702678617e-06
1802,2.9651382646989077e-06,4.095247277291492e-06
1803,2.5939511942851823e-06,4.639856797439279e-06
1804,4.884377631242387e-06,6.038731953594834e-06
1805,2.948064093288849e-06,6.194630714162486e-06
1806,2.6972422801918583e-06,5.3137978284212295e-06
1807,5.3892858886683825e-06,7.974321306392085e-06
1808,4.2171636778221e-06,6.687184395559598e-06
1809,3.969116733060218e-06,6.639290859311586e-06
1810,5.131897978571942e-06,6.4774708334880415e-06
1811,4.926405836158665e-06,8.413750038016587e-06
1812,5.355754183256067e-06,9.348565072286874e-06
1813,5.9154003793082666e-06,9.300148121837992e-06
1814,4.4399612306733616e-06,8.530641935067251e-06
1815,5.09775236423593e-06,8.930507647164632e-06
1816,4.4822459130955394e-06,8.39667882246431e-06
1817,5.403907380241435e-06,9.131062142841984e-06
1818,5.50519962416729e-06,9.629927262722049e-06
1819,5.575075647357153e-06,9.747584044816904e-06
1820,5.8976411310140975e-06,9.435038919036742e-06
1821,7.275806183315581e-06,1.0468956133991014e-05
1822,6.234930424398044e-06,1.0603091141092591e-05
1823,5.98890846958966e-06,9.832285286393017e-06
1824,6.224886419659015e-06,1.03040738395066e-05
1825,6.570621735590976e-06,1.2022951523249503e-05
1826,5.636229161609663e-06,1.0660303814802319e-05
1827,8.250381142715923e-06,1.2633194273803383e-05
1828,8.260574759333394e-06,1.3045763807895128e-05
1829,8.75321256899042e-06,1.374194380332483e-05
1830,7.963305506564211e-06,1.263065860257484e-05
1831,8.020116183615755e-06,1.2867422810813878e-05
1832,8.709241228643805e-06,1.2496279850893188e-05
1833,7.476073733414523e-06,1.0900194865826052e-05
1834,7.4246859185223e-06,1.053961841535056e-05
1835,7.616785751451971e-06,9.762434274307452e-06
1836,7.358549282798776e-06,9.649653293308802e-06
1837,7.2487309807911515e-06,9.590757144906092e-06
1838,7.16051636118209e-06,1.0112714335264172e-05
1839,7.069779712765012e-06,1.0950048817903735e-05
1840,7.965933036757633e-06,1.2414523553161416e-05
1841,8.280581823782995e-06,1.13258474812028e-05
1842,8.053943020058796e-06,1.080433139577508e-05
1843,7.586836545669939e-06,1.0439875040901825e-05
1844,7.66806897445349e-06,1.072684426617343e-05
1845,7.73810188547941e-06,1.1929969332413748e-05
1846,7.709207238804083e-06,1.130796954385005e-05
1847,8.27913754619658e-06,1.1755069863284007e-05
1848,7.916498361737467e-06,1.1840153092634864e-05
1849,8.578845154261217e-06,1.3293942174641415e-05
1850,7.881345482019242e-06,1.140415588452015e-05
1851,8.248187441495247e-06,1.1143984920636285e-05
1852,7.470850960089592e-06,1.1058812560804654e-05
1853,7.129292043828173e-06,9.885936378850602e-06
1854,7.1861236392578576e-06,1.0265074706694577e-05
1855,7.843122148187831e-06,1.0189850399910938e-05
1856,7.891071618360002e-06,1.0336258128518239e-05
1857,8.0046984294313e-06,1.1473986887722276e-05
1858,7.648815881111659e-06,1.0493999070604332e-05
1859,7.919857125671115e-06,1.0838181879080366e-05
1860,7.5230595939501654e-06,1.0711068171076477e-05
1861,7.613923571625492e-06,1.0470854249433614e-05
1862,7.51566994949826e-06,1.065702599589713e-05
1863,7.112339972081827e-06,1.0378822480561212e-05
1864,7.369496870524017e-06,1.0121671039087232e-05
1865,7.443403774232138e-06,1.0199260941590182e-05
1866,7.872561582189519e-06,1.0804579687828664e-05
1867,7.799438208166976e-06,1.0758682947198395e-05
1868,7.29224211681867e-06,1.0257648682454601e-05
1869,7.920579264464322e-06,1.0947873306577094e-05
1870,7.660115443286486e-06,1.071865699486807e-05
1871,7.939330316730775e-06,1.1461312169558369e-05
1872,7.604528946103528e-06,1.036453522829106e-05
1873,7.910504791652784e-06,1.0676038982637692e-05
1874,7.687529432587326e-06,1.0392832336947322e-05
1875,7.534679298260016e-06,9.86276882031234e-06
1876,7.784849003655836e-06,1.0011595804826356e-05
1877,7.122433999029454e-06,9.874676834442653e-06
1878,7.70164933783235e-06,1.0593165825412143e-05
1879,7.68553127272753e-06,1.010482355923159e-05
1880,6.998019671300426e-06,1.0361613021814264e-05
1881,7.058966730255634e-06,9.981841685657855e-06
1882,7.249710961332312e-06,9.316873729403596e-06
1883,7.363293661910575e-06,9.72799080045661e-06
1884,7.100785296643153e-06,9.60348825174151e-06
1885,6.989002940827049e-06,9.083189979719464e-06
1886,6.471533652074868e-06,9.456905900151469e-06
1887,7.072784228512319e-06,1.024257653625682e-05
1888,6.970237791392719e-06,9.47034186538076e-06
1889,6.842782568128314e-06,9.259245416615158e-06
1890,7.13641611582716e-06,9.844688065641094e-06
1891,6.896268587297527e-06,9.567066626914311e-06
1892,6.5618787630228326e-06,9.20844468055293e-06
1893,7.1259037213167176e-06,9.830680028244387e-06
1894,6.785497589589795e-06,9.768646123120561e-06
1895,7.204883331723977e-06,9.902426427288447e-06
1896,7.017464668024331e-06,9.536674951959867e-06
1897,6.821333499829052e-06,9.39615802053595e-06
1898,6.90036358719226e-06,9.662772754381876e-06
1899,6.875754934299039e-06,9.586478881828953e-06
1900,6.406278771464713e-06,9.244227840099484e-06
1901,6.6835727920988575e-06,9.626043720345479e-06
1902,6.115267296991078e-06,8.421136953984387e-06
1903,6.732454494340345e-06,9.387203135702293e-06
1904,6.660773124167463e-06,9.380333722219802e-06
1905,6.530940481752623e-06,9.575788681104314e-06
1906,6.702357950416626e-06,9.453468010178767e-06
1907,6.709353328915313e-06,9.22008985071443e-06
1908,6.6087650338886306e-06,9.347355444333516e-06
1909,6.6715929278871045e-06,9.523852895654272e-06
1910,6.6262123255000915e-06,9.647260412748437e-06
1911,6.437652700697072e-06,9.60433953878237e-06
1912,6.627425591432257e-06,9.644722013035789e-06
1913,6.22995230514789e-06,9.472199963056482e-06
1914,6.353200660669245e-06,9.589736691850703e-06
1915,6.8540471147571225e-06,9.864032108453102e-06
1916,6.512268555525225e-06,9.653584129409865e-06
1917,6.480060164903989e-06,1.0537637535890099e-05
1918,6.057915015844628e-06,9.70369092101464e-06
1919,6.525602202600567e-06,9.969337043003179e-06
1920,6.436397143261274e-06,1.0359570296714082e-05
1921,6.468641004175879e-06,9.638592928240541e-06
1922,6.283787570282584e-06,9.682064955995884e-06
1923,6.426895197364502e-06,9.677498383098282e-06
1924,6.448390649893554e-06,9.467608833801933e-06
1925,6.241466053324984e-06,9.114190106629394e-06
1926,6.00553948970628e-06,8.833314495859668e-06
1927,6.652742285950808e-06,9.733273145684507e-06
1928,6.122073045844445e-06,9.340788892586716e-06
1929,6.469233994721435e-06,9.539529855828732e-06
1930,6.096291599533288e-06,8.91755917109549e-06
1931,5.823575065733166e-06,8.625871487311088e-06
1932,5.829377641930478e-06,8.858592991600744e-06
1933,6.300834684225265e-06,9.446090189157985e-06
1934,6.077057605580194e-06,9.421116374142002e-06
1935,5.518576017493615e-06,8.301201887661591e-06
1936,5.694978426618036e-06,9.218420927936677e-06
1937,5.954339940217324e-06,9.241880434274208e-06
1938,5.8745386013470124e-06,9.185854651150294e-06
1939,5.940209121035878e-06,8.839961083140224e-06
1940,5.6218309509858955e-06,8.763665391597897e-06
1941,5.283189693727763e-06,9.33855426410446e-06
1942,5.692181275662733e-06,8.993403753265738e-06
1943,5.495824098034063e-06,9.02325518836733e-06
1944,6.0022316574759316e-06,9.427488294022623e-06
