year,charmant_VERB en_ADP,charmant_VERB dans_ADP
1800,3.144164484325529e-09,1.4777572943103223e-07
1801,5.000483449535409e-08,7.38166612279656e-08
1802,0.0,1.767893706983159e-07
1803,3.900678446910888e-09,1.7553052944485614e-07
1804,1.2359254952798437e-08,1.952762316292933e-07
1805,5.685755422035754e-09,1.5635827388393864e-07
1806,5.76333825108577e-09,1.4408345094807373e-07
1807,2.8469551160981155e-09,1.9928685723868966e-07
1808,1.3596443970698147e-08,7.931258982907252e-08
1809,6.7770917766551975e-09,9.939734613162443e-08
1810,2.106114083133548e-08,2.106114038724627e-07
1811,0.0,9.526891409095128e-08
1812,2.6672082320544632e-09,2.2404548793986123e-07
1813,0.0,1.9555043206942457e-07
1814,3.1466771410748606e-09,6.293354459785405e-08
1815,0.0,7.552226199969425e-08
1816,0.0,1.1124498655590287e-07
1817,1.5568733857662664e-08,1.619148348730448e-07
1818,7.152706427149269e-09,1.406698859618416e-07
1819,1.5526575580793178e-08,8.69488232524418e-08
1820,2.3732962262101864e-09,9.018525659598708e-08
1821,2.3667571014129862e-08,1.57783817011925e-07
1822,1.4035862250239006e-08,1.0326384369818697e-07
1823,1.9765373782121287e-09,1.0277994688667746e-07
1824,1.1789557774477544e-08,8.757957203897604e-08
1825,3.434122675116669e-08,1.3120110242681449e-07
1826,2.025836387531399e-08,6.958307607884961e-08
1827,2.2121454890111636e-08,1.0231173303010266e-07
1828,7.337841001486822e-09,7.613009955775851e-08
1829,2.4862210068476998e-08,1.3288422318069593e-07
1830,9.39315203396518e-09,1.1480519224171815e-07
1831,1.091384405071949e-08,1.0602019928640516e-07
1832,1.2176972319366541e-08,7.035583848846727e-08
1833,3.475088550253247e-09,1.3437009638295194e-07
1834,8.401078055442213e-09,1.1201437311036955e-07
1835,9.832014313815307e-09,6.201732105637348e-08
1836,4.704525213838906e-09,8.93859737338687e-08
1837,4.870523762079415e-09,8.627784786607862e-08
1838,3.787297142565649e-09,5.365337618634669e-08
1839,1.3982949909063791e-08,5.663094881924735e-08
1840,3.1848443882154243e-09,7.134051144275233e-08
1841,1.1556987367100646e-08,6.420548848140584e-08
1842,4.695785538189057e-09,6.574099842282521e-08
1843,0.0,7.206431829054338e-08
1844,8.781698035420504e-09,5.433675664967552e-08
1845,1.0044410636567136e-08,8.202935219969731e-08
1846,1.3465353276842507e-08,1.059664735958421e-07
1847,5.3932236454556914e-09,4.7999691332734074e-08
1848,8.045221711050488e-10,6.757986170669028e-08
1849,5.02764896381791e-09,4.1059134758825167e-08
1850,2.7155984128057753e-09,3.93761752093269e-08
1851,4.514607354622058e-09,7.094382525885123e-08
1852,7.812654523320361e-09,7.877760155317048e-08
1853,4.180352064508952e-09,7.405195723286795e-08
1854,9.871762074453727e-09,5.715230938507787e-08
1855,2.4411910715116392e-08,1.2471302568428655e-07
