year,eût_VERB étendu_VERB,eût_VERB détendu_VERB
1800,4.7162465932615305e-08,0.0
1801,2.8574191901498125e-08,0.0
1802,5.594600338554301e-08,0.0
1803,3.90067853572873e-08,1.950339223455444e-09
1804,2.2246657849223084e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,2.881669125542885e-09,0.0
1807,4.27043254092041e-08,0.0
1808,2.2660739062985158e-08,4.5321479902327155e-09
1809,5.873479480555943e-08,2.259030518203531e-09
1810,2.8081521108447305e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,3.467370746079723e-08,0.0
1813,7.476928232108548e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,2.1577788444915313e-08,0.0
1816,4.1716869958463576e-08,2.3176038865813098e-09
1817,2.1796227045456362e-08,0.0
1818,7.033494853203592e-08,0.0
1819,2.173720581311045e-08,0.0
1820,6.526564533260171e-08,0.0
1821,4.437669787193954e-08,0.0
1822,3.60922172149003e-08,0.0
1823,6.127265805844218e-08,0.0
1824,3.452656116564867e-08,0.0
1825,5.107157008410468e-08,0.0
1826,7.662946188702335e-08,0.0
1827,4.055600300034712e-08,0.0
1828,5.961995697134626e-08,0.0
1829,1.971830521085849e-08,0.0
1830,6.157733167810875e-08,1.0436835840010872e-09
1831,4.677361786775691e-08,0.0
1832,4.6001897402447867e-08,0.0
1833,3.4750886612755494e-08,3.4750886612755494e-09
1834,2.42697808516823e-08,0.0
1835,3.2521278114927554e-08,0.0
1836,3.36037508930076e-08,0.0
1837,3.896418832027848e-08,0.0
1838,3.7241754569095065e-08,0.0
1839,1.8876983531868063e-08,0.0
1840,3.630722389402763e-08,0.0
1841,4.8796167106957e-08,3.2102742686390684e-09
1842,3.152884531232303e-08,6.708265054555795e-10
1843,3.071593823733565e-08,0.0
1844,5.653217982626302e-08,7.683985892015244e-09
1845,5.412821124650691e-08,0.0
1846,3.33706573485415e-08,0.0
1847,4.6921044827286096e-08,0.0
1848,5.953464210506354e-08,0.0
1849,3.603148357456121e-08,0.0
1850,4.5486274302675156e-08,2.7155984128057753e-09
1851,1.805842941848823e-08,0.0
1852,1.3672145193766028e-08,0.0
1853,2.7470886010405593e-08,0.0
1854,2.6497888327980945e-08,0.0
1855,2.812676669350367e-08,5.306937111981824e-10
1856,5.1254172461767666e-08,2.5885946719483854e-09
1857,2.7336451324799782e-08,1.4644527812635033e-09
1858,4.404308384664546e-08,0.0
1859,3.360834455179429e-08,0.0
1860,1.785101666484934e-08,4.577183909670879e-10
1861,2.0750240636857598e-08,2.8295783494058924e-09
1862,2.1686334505943705e-08,1.3553959066214816e-09
1863,3.2465035104678464e-08,0.0
1864,2.0617330065419992e-08,4.794727948009836e-10
1865,3.0594488720225854e-08,4.706844358715045e-10
1866,2.6760870852626795e-08,0.0
1867,1.164674756637396e-08,4.85281148598915e-10
1868,3.309715523869272e-08,4.93987406535723e-10
1869,3.2231227464762924e-08,0.0
1870,3.096386436141074e-08,0.0
1871,2.8677177965619194e-08,0.0
1872,2.2979889990892843e-08,6.047339518033823e-09
1873,1.5563610844537834e-08,4.788803575905831e-09
1874,2.2106053876314036e-08,2.9873046258899194e-09
1875,2.5174719198162165e-08,0.0
1876,1.874264654588842e-08,0.0
1877,9.27722432209066e-09,0.0
1878,1.7513357875031943e-08,0.0
1879,2.6881030734671185e-08,3.0546627449723474e-09
1880,1.9895322722618403e-08,0.0
1881,1.324776466304911e-08,6.972507571312292e-10
1882,1.9966154951589488e-08,3.3276925659464496e-09
1883,2.5277355319985872e-08,2.5277355764075082e-09
1884,1.7824582698722224e-08,1.9805090900604227e-09
1885,1.9981470700258797e-08,1.933690763067375e-09
1886,2.968593371122097e-08,1.2906927748801422e-09
1887,2.0239665943222462e-08,0.0
1888,1.0779045211961602e-08,0.0
1889,1.8795409673089125e-08,0.0
1890,7.209825181320184e-09,6.554386366985909e-09
1891,1.5935549768641977e-08,0.0
1892,1.6924984080901595e-08,1.2537024751679837e-09
1893,1.1085149687062312e-08,1.2316833108982905e-09
1894,1.449354058991048e-08,6.301539290376468e-10
1895,2.768562623600701e-08,1.2037228991346183e-09
1896,7.076434549446731e-09,5.89702897624278e-10
1897,1.0488084178916779e-08,0.0
1898,1.0185038590293516e-08,5.6583548957434e-10
1899,8.291367592505594e-09,0.0
1900,1.557315876254961e-08,1.5573159428683425e-09
1901,8.38310842965484e-09,1.676621730339889e-09
1902,1.5221880644844532e-08,6.874397495693074e-09
1903,1.1340462791054051e-08,8.640352433531007e-09
1904,1.5586412160928376e-08,5.374625189347171e-10
1905,1.186974607492175e-08,1.0321518084666081e-09
1906,1.1317205839134203e-08,2.572092316910357e-09
1907,4.114274698707732e-09,1.028568674676933e-09
1908,8.840499887696751e-09,4.911389073214423e-10
1909,1.2102163715610459e-08,1.6502950117569526e-09
1910,1.0153886620400954e-08,0.0
1911,6.384448969498635e-09,5.320374141248863e-10
1912,1.2502610502451716e-08,0.0
1913,3.181793939432964e-09,5.30298971401777e-10
1914,1.2054139020278853e-08,0.0
1915,1.5314990164938536e-08,1.1780761921542648e-09
1916,2.6369908923129515e-08,1.0987462051303964e-09
1917,1.2063066989753679e-08,0.0
1918,1.9526840588923733e-08,0.0
1919,5.524709134618888e-09,0.0
1920,9.086678076641874e-09,7.572231730534895e-10
1921,9.844571380313027e-09,0.0
1922,1.3280283539529592e-08,8.853522359686394e-09
1923,2.1231896241147297e-08,1.0615948120573648e-09
1924,1.1602462102189293e-08,0.0
1925,8.798542339150117e-09,0.0
1926,6.687683296036084e-09,0.0
1927,1.4493992672726108e-08,0.0
1928,1.82816659588525e-08,0.0
1929,1.5596569369336066e-08,3.342121912552898e-09
1930,7.352522590764465e-09,0.0
1931,4.5621426636444085e-09,0.0
