year,puissent_VERB étendre_VERB,puissent_VERB détendre_VERB
1800,1.2576657937302116e-08,0.0
1801,7.143547975374531e-09,0.0
1802,8.951360541686881e-09,0.0
1803,1.950339223455444e-09,0.0
1804,2.4718509905596875e-08,0.0
1805,8.528632911009026e-09,0.0
1806,1.4408345627714425e-08,0.0
1807,5.693910232196231e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,3.162642769893864e-08,0.0
1810,7.020380277111826e-09,0.0
1811,1.7549536934780008e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.1577788444915313e-08,2.697223555614414e-09
1816,6.952811304472561e-08,0.0
1817,6.227493631882908e-09,0.0
1818,8.344824387052086e-09,0.0
1819,9.315945348475907e-09,1.035105001712111e-09
1820,4.746592452420373e-09,0.0
1821,3.94459531705138e-09,0.0
1822,2.0051231786055723e-08,0.0
1823,1.3835761869529506e-08,0.0
1824,1.0105335235266466e-08,0.0
1825,1.2327619813845558e-08,0.0
1826,6.1655889282974385e-09,0.0
1827,1.474763688946723e-08,9.217273055917019e-10
1828,4.586150570418113e-09,0.0
1829,6.858540846366168e-09,0.0
1830,5.218417697960831e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,2.4353944638733083e-08,0.0
1833,1.1583628500844156e-09,0.0
1834,8.401078055442213e-09,0.0
1835,1.5126175867408165e-09,1.5126175867408165e-09
1836,6.72075017860152e-09,6.720750067579218e-10
1837,4.87052354003481e-09,0.0
1838,1.3255539776935166e-08,0.0
1839,3.4957374772659477e-09,0.0
1840,3.821813088222825e-09,0.0
1841,6.420548537278137e-10,0.0
1842,1.341653010911159e-09,0.0
1843,9.451057714215949e-09,0.0
1844,6.037417232818143e-09,0.0
1845,4.464182357111213e-09,0.0
1846,7.025401593807601e-09,0.0
1847,1.833696039454935e-08,0.0
1848,2.252662056889676e-08,0.0
1849,1.6758829879393033e-09,0.0
1850,1.0183494048021657e-08,0.0
1851,5.8044946626978344e-09,0.0
1852,6.510545436100301e-09,0.0
1853,1.3138249599364826e-08,5.971931837933653e-10
1854,3.63696517347023e-09,0.0
1855,5.837630823180007e-09,0.0
1856,5.694908100650764e-09,5.177189232874468e-10
1857,1.4644527368545823e-08,0.0
1858,1.0276719919488642e-08,0.0
1859,4.582956236731661e-09,0.0
1860,1.0985241161165504e-08,0.0
1861,4.715963619617014e-09,0.0
1862,9.487771457372673e-09,0.0
1863,1.6482248454963155e-08,9.989241656072068e-10
1864,1.726102105692462e-08,9.589455896019672e-10
1865,2.3534221238463715e-09,0.0
1866,8.75810357570117e-09,2.432806400776144e-09
1867,6.308654931785895e-09,0.0
1868,0.0,9.87974813071446e-10
1869,1.4650557433881772e-09,0.0
1870,4.587239033071455e-09,0.0
1871,1.911811864374613e-08,0.0
1872,1.8142017887967654e-09,0.0
1873,1.3169209722718733e-08,5.986004469882289e-10
1874,5.377148060148329e-09,0.0
1875,0.0,0.0
1876,6.04601479992084e-10,0.0
1877,1.2369632429454214e-08,0.0
1878,1.8117265465633636e-09,0.0
1879,3.665595160740054e-09,0.0
1880,8.984985200299889e-09,0.0
1881,2.7890030285249168e-09,2.091752326904839e-09
1882,1.9966155395678697e-09,0.0
1883,6.319338829996468e-09,0.0
1884,2.6406787867472303e-09,0.0
1885,1.0313017106966527e-08,0.0
1886,1.1616235084943582e-08,0.0
1887,3.9173548849191775e-09,0.0
1888,1.268122939990235e-09,0.0
1889,1.3783300722991498e-08,1.8795409673089125e-09
1890,1.0487018364813139e-08,0.0
1891,0.0,0.0
1892,6.8953633913793055e-09,0.0
1893,3.695050043717174e-09,0.0
1894,1.2603078580752936e-09,0.0
1895,6.018614495673091e-09,6.018614495673091e-10
1896,1.47425724961181e-08,0.0
1897,1.1070755867592652e-08,0.0
1898,3.960848538042683e-09,0.0
1899,4.9748205555033564e-09,0.0
1900,1.5573159428683425e-09,0.0
1901,1.0059729937950124e-08,0.0
1902,7.856454153909453e-09,0.0
1903,5.400220270956879e-10,0.0
1904,5.374625189347171e-10,5.374625189347171e-10
1905,8.257214467732865e-09,5.160759042333041e-10
1906,3.600929110447737e-09,0.0
1907,8.228549397415463e-09,0.0
1908,2.9468334439286537e-09,0.0
1909,9.351672325408344e-09,0.0
1910,6.412980813053082e-09,0.0
1911,0.0,0.0
1912,3.125652625612929e-09,0.0
1913,2.6514948014977335e-09,0.0
1914,8.036092680185902e-09,4.68772043404897e-09
1915,0.0,0.0
1916,2.197492410260793e-09,0.0
1917,3.289927441585405e-09,0.0
1918,6.89182577673364e-09,1.1486376294556067e-09
1919,1.012863304339362e-08,2.762354567309444e-09
1920,6.057785384427916e-09,0.0
1921,4.543648568500203e-09,0.0
1922,4.426761179843197e-09,0.0
1923,6.369568872344189e-09,0.0
1924,3.867487219366694e-09,0.0
