year,gardant_VERB en_ADP,gardant_VERB dans_ADP
1800,2.829747991484055e-08,2.5153315874604232e-08
1801,1.4287095950749062e-08,1.1905912700171939e-08
1802,3.1329761895904085e-08,6.713520406265161e-09
1803,3.90067853572873e-08,2.9255089017965474e-08
1804,7.4155526164076946e-09,1.9774807569206132e-08
1805,2.55858996212055e-08,3.695740957709859e-08
1806,6.339671898558663e-08,5.76333825108577e-09
1807,4.839823830593559e-08,1.1387820464392462e-08
1808,2.039466551195801e-08,4.5321478125970316e-08
1809,2.25903047379461e-08,2.9367397402779716e-08
1810,1.6380887757350138e-08,7.020380277111826e-09
1811,7.521229861140455e-09,3.008491944456182e-08
1812,1.8670457180292033e-08,8.00162425207418e-09
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,2.1577788444915313e-08,5.394447111228828e-09
1816,3.476405652236281e-08,6.952811659743929e-09
1817,1.2454987263765815e-08,3.89218364205135e-08
1818,7.152706427149269e-09,1.1921177378582115e-09
1819,2.173720581311045e-08,1.5526575580793178e-08
1820,4.6279275522920216e-08,1.1866481131050932e-08
1821,2.761216755242657e-08,1.0847637454958203e-08
1822,1.7043547018147365e-08,2.8071724500478012e-08
1823,9.882686669016039e-09,4.941343334508019e-09
1824,1.6842225392110777e-08,1.6000115010683658e-08
1825,7.044354433105582e-09,2.905796137042671e-08
1826,2.4662355713189754e-08,2.1139161532346407e-08
1827,2.5808365222701468e-08,7.373818444733615e-09
1828,2.2013523448549677e-08,1.8344602503717056e-09
1829,7.715858174606183e-09,2.571952872898464e-09
1830,1.1480519646056564e-08,1.3567886369969528e-08
1831,2.8064171431196883e-08,2.9623292263636358e-08
1832,1.0823975493678972e-08,1.7588959622116818e-08
1833,2.6642345218874652e-08,2.20088942626262e-08
1834,4.480574844478724e-08,3.360431222176885e-08
1835,2.647080776796429e-08,9.075705520444899e-09
1836,3.49478987970997e-08,1.1425274948351216e-08
1837,3.061472142462662e-08,1.0436836284100082e-08
1838,3.787297231383491e-08,2.4617431648721322e-08
1839,2.4470162784950844e-08,1.3283802502428443e-08
1840,3.758116307039927e-08,1.4013314952876499e-08
1841,2.8250413564023802e-08,2.5682194149112547e-08
1842,2.4149754196400863e-08,1.2745703159566801e-08
1843,2.7171790151214736e-08,4.312045037702106e-08
