year,dont_PRON eux_PRON,dont_PRON deux_DET
1800,2.5153315164061496e-07,8.143385912262602e-07
1801,2.7859834972332465e-07,1.0048590866063023e-06
1802,1.5888664961494214e-07,5.616979024125612e-07
1803,1.794312112224361e-07,8.503478738930426e-07
1804,2.84262853256223e-07,6.179627121127851e-07
1805,3.240880630528409e-07,9.466782557865372e-07
1806,3.486819650788675e-07,8.616190712018579e-07
1807,2.0498076480635063e-07,8.284639534394955e-07
1808,3.2404858529844205e-07,9.540171959088184e-07
1809,3.862942321575247e-07,7.725884643150494e-07
1810,1.4976811257838563e-07,5.780112815045868e-07
1811,1.8301660986708157e-07,9.301255090576888e-07
1812,1.7603574065105931e-07,7.148117902033846e-07
1813,1.2078115219082974e-07,8.713496981727076e-07
1814,3.555745138328348e-07,8.968029874267813e-07
1815,2.6702514333010186e-07,7.579197927043424e-07
1816,2.943357060303242e-07,8.551958217140054e-07
1817,2.9891970143580693e-07,1.1520862699399004e-06
1818,2.5034472628249205e-07,8.773986337473616e-07
1819,2.3600394172262895e-07,6.91450168233132e-07
1820,3.393813585716998e-07,8.86426164470322e-07
1821,3.3134600130324543e-07,6.390244493559294e-07
1822,3.04778723148047e-07,7.709698479629878e-07
1823,2.3817275973669894e-07,7.263774932653178e-07
1824,2.896862838497327e-07,6.837943260507018e-07
1825,3.5485936678014696e-07,8.743804755795281e-07
1826,3.311802174721379e-07,7.152083298933576e-07
1827,2.3504045998379297e-07,7.447556527040433e-07
1828,3.155271599553089e-07,7.227773153317685e-07
1829,2.2375989772172034e-07,7.372931349891587e-07
1830,2.7970719429504243e-07,7.483211561520875e-07
1831,2.47900175054383e-07,7.764420502098801e-07
1832,2.963063252536813e-07,7.644432571396464e-07
1833,2.5599820219213143e-07,1.0425266054880922e-06
1834,2.380305375027092e-07,1.0295987067365786e-06
1835,2.0042182313773083e-07,8.031999527702283e-07
1836,2.3657040060243162e-07,7.93048513969552e-07
1837,2.6648723405742203e-07,8.864353162607586e-07
1838,2.2534418064878992e-07,8.313116950375843e-07
1839,2.4889652650017524e-07,7.522827445427538e-07
1840,2.4204817350437224e-07,8.299704177261447e-07
1841,1.695024849368565e-07,8.353133580385474e-07
1842,1.6435249960977671e-07,9.029324701259611e-07
1843,2.0496980823736521e-07,7.673077675462991e-07
1844,2.0966304248304368e-07,9.451302389607008e-07
1845,1.6684882098161324e-07,1.1411566447350197e-06
1846,1.7680594055491383e-07,7.294708552763041e-07
1847,2.1411098316548305e-07,8.467360999020457e-07
1848,1.5366373418146395e-07,8.254397698692628e-07
1849,1.4747770649137237e-07,1.041561290548998e-06
1850,1.8533958723310207e-07,7.943125410747598e-07
1851,2.1218653500909568e-07,6.888000712024223e-07
1852,1.6797207536001224e-07,8.274903393612476e-07
1853,1.475067108458461e-07,7.990444714778278e-07
1854,1.8860261263853317e-07,7.829866603970004e-07
1855,1.3798036491152743e-07,8.257594004135171e-07
1856,1.9776862814069318e-07,8.060883374128025e-07
1857,1.708528145627497e-07,1.1085907090091496e-06
1858,1.433847103271546e-07,9.24415417102864e-07
1859,1.7517076855710911e-07,9.293216294281592e-07
1860,1.3319605329797923e-07,1.1076784858232713e-06
1861,1.4666646563910035e-07,8.927319186113891e-07
1862,1.527079405150289e-07,1.0224202924291603e-06
1863,1.3435530377137184e-07,1.2336713552940637e-06
1864,1.639796920471781e-07,1.4863657042951672e-06
1865,1.4261738101595256e-07,1.1089325653301785e-06
1866,1.255328072602424e-07,2.1510875285457587e-06
1867,1.358787216076962e-07,1.557752511871513e-06
1868,1.6400382207848452e-07,1.0215659358436824e-06
1869,1.4308710660770885e-07,9.708436436994816e-07
1870,1.5080547655088594e-07,1.0820150464496692e-06
1871,1.2426777118434984e-07,1.1885097137565026e-06
1872,1.1006157762949442e-07,1.0250240620734985e-06
1873,1.3348790162126534e-07,1.0888542192333261e-06
1874,1.463779284449629e-07,9.338314157503191e-07
1875,1.5104831163625931e-07,9.72659563558409e-07
1876,1.608239870165562e-07,1.066517029357783e-06
1877,1.3111809948895825e-07,1.150375737779541e-06
1878,9.843714821045069e-08,1.037515403368161e-06
1879,1.9061094747030438e-07,1.07218659195496e-06
1880,1.2771513979714655e-07,1.2514800573626417e-06
1881,1.4293640049345413e-07,1.0744633982540108e-06
1882,9.517200538766701e-08,1.0894865454247338e-06
1883,1.1058843085720582e-07,1.188667624774098e-06
1884,1.2543223704142292e-07,1.0965418368868995e-06
1885,1.1795513188417317e-07,1.202111093334679e-06
1886,1.3616808303140715e-07,1.213896553053928e-06
1887,1.057685778960149e-07,1.1340741821186384e-06
1888,9.13048552320106e-08,1.1742818060156424e-06
1889,1.321943869925235e-07,1.130230657508946e-06
1890,1.0487018187177455e-07,1.2237039754836587e-06
1891,1.0581205600601606e-07,1.1664823205137509e-06
1892,1.002961980134387e-07,1.0863332136068493e-06
1893,1.1577822789377024e-07,1.1503922223710106e-06
1894,9.389293609274318e-08,1.4134352568362374e-06
1895,1.1676112166014718e-07,1.2976132666153717e-06
1896,1.1381266062926443e-07,1.2466318821680034e-06
1897,9.381008680975356e-08,1.2346805533525185e-06
1898,9.392869060320663e-08,1.2086245533282636e-06
1899,1.0004917072592434e-07,1.1895348279722384e-06
1900,1.1316495829305495e-07,1.170582436316181e-06
1901,9.947954993094754e-08,1.2066087720086216e-06
1902,8.052865752006255e-08,1.4819236184848705e-06
1903,1.0962447305473688e-07,1.2220698408782482e-06
1904,8.921877991951987e-08,1.4624355344494688e-06
1905,1.0218303003739493e-07,1.3686333204532275e-06
1906,1.0545578277287859e-07,1.2407773510858533e-06
1907,1.1931396670661343e-07,1.2121681720600463e-06
1908,9.380752885590482e-08,1.3727332088819821e-06
1909,1.2212183264637133e-07,1.3141849422027008e-06
1910,1.277252010822849e-07,1.325883772551606e-06
1911,1.1704823066338577e-07,1.331157591266674e-06
1912,9.741617645886436e-08,1.2226511216795188e-06
1913,8.909022852776616e-08,1.3246868775240728e-06
1914,8.705767129413289e-08,1.248942680831533e-06
1915,9.188994454234489e-08,1.3147330264473567e-06
1916,7.031975712834537e-08,1.4305675222203718e-06
1917,9.979446247143642e-08,1.47279081375018e-06
1918,1.4702561657031765e-07,1.4231620752980234e-06
1919,9.392005040353979e-08,1.6482048295074492e-06
1920,1.370573983194845e-07,1.3614873068945599e-06
1921,8.481477209443256e-08,1.1874068377437652e-06
1922,1.1140682687482695e-07,1.1531712971191155e-06
1923,1.1359064444604883e-07,1.153953576249478e-06
1924,8.508472149060253e-08,1.1924752243430703e-06
1925,9.128487477028102e-08,1.1185146604475449e-06
1926,8.916910587686289e-08,1.0711438562793774e-06
1927,7.692965198202728e-08,1.1461403346402221e-06
1928,8.226749770301467e-08,1.1837378224299755e-06
1929,8.132496986945625e-08,1.1207248462596908e-06
1930,7.982738736700412e-08,1.2289216329008923e-06
1931,8.325910272333203e-08,1.4119831348580192e-06
1932,6.904507898752854e-08,1.1584230605876655e-06
1933,8.25887696009886e-08,1.3718912441618158e-06
1934,6.709684896577528e-08,1.2568677902891068e-06
1935,8.377799076697556e-08,1.2542761851364048e-06
1936,8.608547119592913e-08,1.1203236454093712e-06
1937,9.695160940736969e-08,1.0954272511298768e-06
1938,7.390172385157712e-08,1.1124153616037802e-06
1939,7.799965828780842e-08,1.312229528593889e-06
1940,6.846613587185857e-08,1.065028868652007e-06
1941,5.312704587367989e-08,1.0654924835762358e-06
1942,7.282108072104165e-08,1.3836005336997914e-06
1943,1.0161323160673419e-07,9.783902896742802e-07
1944,9.318240046241044e-08,1.1535338444446097e-06
1945,1.4595977404496807e-07,1.3419585229712538e-06
1946,1.0301616981678308e-07,1.1345699704179424e-06
1947,9.179070303844128e-08,1.0478445346961962e-06
1948,8.371353743541476e-08,1.0034752904175548e-06
1949,6.381055328574803e-08,1.1328827440593159e-06
1950,7.12569203642488e-08,1.095442257792456e-06
1951,1.0448173526356186e-07,1.1023889783245977e-06
1952,9.068531170441929e-08,1.1093134162365459e-06
1953,8.080370861307529e-08,1.1183233254996594e-06
1954,8.111204863325838e-08,1.0632519433784182e-06
1955,5.7252208307545516e-08,1.058696511790913e-06
1956,8.023449993288523e-08,1.0317110081814462e-06
1957,6.184526313290917e-08,1.2174681387477904e-06
1958,6.535072571978162e-08,1.0836638466571458e-06
1959,7.595733109155844e-08,1.0618524584060651e-06
1960,5.329041741219953e-08,1.1350166460033506e-06
1961,5.975417138870398e-08,1.087386976905691e-06
1962,7.356669584623887e-08,1.12379461825185e-06
1963,7.62994289971175e-08,1.1975130291830283e-06
1964,9.795189015449068e-08,1.187590669360361e-06
1965,9.959119040559017e-08,1.0621236015140312e-06
1966,7.754704967055659e-08,1.0374686780778575e-06
1967,7.691323844483122e-08,1.05114759207936e-06
1968,9.072660134279431e-08,1.333950535808981e-06
1969,9.038097914526588e-08,1.0314331575500546e-06
1970,8.783564453551662e-08,9.625131269785925e-07
1971,8.221435621180717e-08,1.1160599342474598e-06
1972,9.336867634601731e-08,1.157361111836508e-06
1973,9.041654180919068e-08,1.1809282796093612e-06
1974,6.356896165016224e-08,1.7720550431477022e-06
1975,7.196464935077529e-08,1.041773998622375e-06
1976,5.770662170334617e-08,1.1255648360020132e-06
1977,9.755457597293571e-08,1.0066927416119142e-06
1978,1.0099005010033579e-07,1.186336135106103e-06
1979,9.18759823775872e-08,1.0515996109461412e-06
1980,7.33384410978033e-08,1.0966655281663407e-06
1981,6.388805218193738e-08,1.1639010608632816e-06
1982,6.517877437772768e-08,1.1508709576446563e-06
1983,7.641532562274733e-08,1.1626497098404798e-06
1984,7.53871134406836e-08,1.1882168564625317e-06
1985,8.842870613534615e-08,1.1327296078889049e-06
1986,7.553051517561471e-08,1.052631660058978e-06
1987,8.6773596308376e-08,1.1274456710452796e-06
1988,6.536243546406695e-08,1.1885169897141168e-06
1989,9.220045171787206e-08,1.1431758366597933e-06
1990,7.464652185262821e-08,1.0548587852099445e-06
1991,6.213153369571955e-08,1.0052413017547224e-06
1992,7.713921945651236e-08,1.1879440080519998e-06
1993,8.253419281345487e-08,1.2103167819077498e-06
1994,8.017888575295729e-08,1.1483515436339076e-06
1995,8.24212520456058e-08,1.148475121226511e-06
1996,6.245567618634595e-08,1.1140598417114234e-06
1997,7.815678060296705e-08,1.1867364264617208e-06
1998,8.821039187978386e-08,1.1824960211015423e-06
1999,8.226361813967742e-08,1.1082737501055817e-06
2000,8.615161561920104e-08,1.1248308737776824e-06
