year,étant_VERB en_ADP,étant_VERB dans_ADP,etant_VERB en_ADP,etant_VERB dans_ADP
1800,3.7321232291276374e-06,2.80459463120053e-06,6.602745550310374e-08,2.829748035892976e-08
1801,3.4741454344455747e-06,2.5716771592243504e-06,1.7858869938436328e-07,2.8574191013319705e-08
1802,3.844609238967678e-06,2.7122622725528345e-06,1.5217312920867698e-07,5.594600338554301e-08
1803,4.343405606732631e-06,2.287747902895987e-06,1.4042442231243513e-07,9.556662483589662e-08
1804,5.099428335597622e-06,2.7561139077647567e-06,1.581984623300059e-07,1.16176993358863e-07
1805,4.306959755062678e-06,2.7263197353022406e-06,1.5351539239816248e-07,3.980028839833949e-08
1806,5.521278126252582e-06,3.3312094629422973e-06,1.210301006082659e-07,1.1814843148272303e-07
1807,4.9423142129967346e-06,2.915282076187964e-06,1.1957211576429927e-07,7.686778857873833e-08
1808,4.976298363601472e-06,2.479084945772314e-06,2.356716954921012e-07,7.024829251633946e-08
1809,5.356161150160688e-06,2.367463967534178e-06,1.197286163545641e-07,1.5361406902059116e-07
1810,4.567927526011317e-06,2.688805558648255e-06,1.521082442224042e-07,7.020380143885063e-08
1811,5.074323180309648e-06,2.647472965744413e-06,1.2786091829752877e-07,8.774768911479214e-08
1812,4.899661725232818e-06,2.4885052880563308e-06,1.333604089381879e-07,3.200649878465356e-08
1813,4.2560978030792285e-06,2.4127471682788837e-06,9.202373263406116e-08,8.052076339026826e-08
1814,4.200813766175315e-06,2.5330751132202067e-06,1.321604372606089e-07,1.1013370304624459e-07
1815,4.016165856768339e-06,1.9770647554651077e-06,1.0249449866606142e-07,9.979726822706425e-08
1816,3.919068232605127e-06,2.306015925768179e-06,1.1124498655590287e-07,4.1716871734820415e-08
1817,3.8018847732246286e-06,2.108006500023407e-06,1.0742426859167153e-07,6.227493631882908e-08
1818,3.902993460869197e-06,2.3532403972126303e-06,1.5855165669265148e-07,9.179306559303768e-08
1819,3.986189266669271e-06,2.6467634590687794e-06,1.2214239220043055e-07,4.7614831188980133e-08
1820,4.051216883738107e-06,2.070700915624002e-06,6.763894067063347e-08,6.882559233645225e-08
1821,4.151686432862789e-06,2.2188347585938573e-06,1.0650407178403043e-07,6.903041871453297e-08
1822,4.951651646933897e-06,2.7670700006865445e-06,1.082766516447009e-07,4.3110148340019805e-08
1823,5.864386366738472e-06,2.4627655905717916e-06,1.0277994721974437e-07,5.237824129977753e-08
1824,4.448031553749843e-06,2.5802289105314458e-06,9.852701765566962e-08,2.4421225930382207e-08
1825,4.328755657923011e-06,2.366022567201753e-06,1.3384273311878303e-07,5.987701179321903e-08
1826,6.642100764508996e-06,2.4688779092230106e-06,5.460950169844381e-08,3.787433389135231e-08
1827,6.782991427201068e-06,2.755042803670449e-06,9.032927827945514e-08,4.2399456390285195e-08
1828,4.667784043732581e-06,2.310502672742132e-06,1.1281930173412391e-07,3.3020285172824515e-08
1829,5.137047132564021e-06,2.5573783588583865e-06,6.515613792945629e-08,3.857929264938775e-08
1830,5.750696530526511e-06,2.488141696233015e-06,9.080046936560393e-08,4.800944353178238e-08
1831,4.484030903029179e-06,2.256047483939483e-06,7.483778752259695e-08,2.962329181954715e-08
1832,4.569070640059181e-06,2.1999730464017375e-06,7.982681982099393e-08,2.3000948257134723e-08
1833,3.51099779649644e-06,1.9564748257039355e-06,6.718504652614143e-08,4.865123770514401e-08
1834,4.029716816233986e-06,2.1469421511710607e-06,7.747660424328728e-08,4.200539116538948e-08
1835,4.425919023276492e-06,2.125983989742508e-06,4.9160071569076536e-08,3.6302822081779595e-08
1836,5.279149373649261e-06,2.0296666072283642e-06,7.191202744394332e-08,4.704525169429985e-08
1837,4.517062697217966e-06,2.18408193397579e-06,7.166627469246123e-08,3.339787646439163e-08
1838,4.530238403077647e-06,2.254073123708622e-06,5.680945669439552e-08,3.6610539266845876e-08
1839,4.726237307295378e-06,2.282716678791985e-06,4.264799713382672e-08,3.146163773948274e-08
1840,4.2498562109472005e-06,2.034478473689205e-06,4.458782143501594e-08,2.4204817705708592e-08
1841,4.3024094438237626e-06,2.202890154734405e-06,5.585877094205216e-08,3.5955071808757566e-08
