year,tout_DET doute_NOUN
1800,2.389564972560265e-07
1801,3.7622685988836224e-07
1802,3.4686522099036665e-07
1803,3.120542828582984e-07
1804,2.5460063923787857e-07
1805,2.899735136452364e-07
1806,3.630903142592956e-07
1807,5.010641075386957e-07
1808,2.4473598791985296e-07
1809,3.1626426477693315e-07
1810,3.7442028633094537e-07
1811,2.6575013656326973e-07
1812,2.800568665861647e-07
1813,3.3071028315845297e-07
1814,1.4474714760126517e-07
1815,3.8300573335092736e-07
1816,3.56910984322667e-07
1817,2.4442911694677605e-07
1818,1.8954672253990168e-07
1819,3.157070356252234e-07
1820,2.586892833278398e-07
1821,2.741493866365019e-07
1822,3.1580690063037764e-07
1823,2.184073792932395e-07
1824,2.374753762524051e-07
1825,2.791325357520691e-07
1826,2.6600113756103383e-07
1827,3.290566374936077e-07
1828,2.8067241419904576e-07
1829,3.4292704942373575e-07
1830,2.4839669698906164e-07
1831,3.897801663654832e-07
1832,2.5436342454554506e-07
1833,2.3514765778998026e-07
1834,3.0243879223235126e-07
1835,2.405061962917898e-07
1836,4.5701099260497813e-07
1837,3.7850925638238664e-07
1838,2.960403975293957e-07
1839,3.866285869236208e-07
1840,3.19121388869803e-07
1841,3.0626017544221895e-07
1842,3.5017144561777513e-07
1843,3.851306002999877e-07
1844,2.8375862992646717e-07
1845,3.1639893727231083e-07
1846,3.553682237367184e-07
1847,3.386944484873311e-07
1848,3.057184381205502e-07
1849,4.0556368396948983e-07
1850,4.0598195649721447e-07
1851,3.676180213574298e-07
1852,5.429795155720285e-07
1853,4.0370258780342283e-07
1854,3.5278562648954903e-07
1855,3.2213109690815145e-07
1856,3.5670833398171453e-07
1857,3.207151433315403e-07
1858,2.936205545367443e-07
1859,4.6491543415072556e-07
1860,3.6068208686401704e-07
1861,3.466233331472779e-07
1862,2.981870972362799e-07
1863,3.880820313995059e-07
1864,3.605635470194102e-07
1865,3.332445879244972e-07
1866,4.033592997387814e-07
1867,3.5959333288815287e-07
1868,3.3541745025900127e-07
1869,3.862863566794772e-07
1870,3.8418127346062647e-07
1871,3.515609705573297e-07
1872,3.29579988189721e-07
1873,3.3820926503835835e-07
1874,3.0470507050850415e-07
1875,2.8722065970043786e-07
1876,2.7327988139091985e-07
1877,3.525345242394451e-07
1878,3.7865087243460493e-07
1879,3.0607720669095784e-07
1880,3.157580410473315e-07
1881,2.649552923728038e-07
1882,2.9949233848469703e-07
1883,3.1407115930193186e-07
1884,2.871738136178692e-07
1885,2.40422210140423e-07
1886,2.865337842550275e-07
1887,3.6823135785013505e-07
1888,2.460158565753545e-07
1889,3.1764244212695303e-07
1890,3.270638764263367e-07
1891,2.562436485220587e-07
1892,2.4948679566705323e-07
1893,3.2762776003281147e-07
1894,3.031040298751009e-07
1895,2.569948289732338e-07
1896,3.2315717923836473e-07
1897,2.913356915712484e-07
1898,3.010244800094597e-07
1899,2.9185613215076955e-07
1900,2.387884467935919e-07
1901,2.9229105713568515e-07
1902,2.347115710676917e-07
1903,2.7217109455079935e-07
1904,2.39708281668527e-07
1905,2.812613555391863e-07
1906,2.556659621788526e-07
1907,2.6845643130712915e-07
1908,2.93701071907293e-07
1909,2.5029474493010184e-07
1910,2.8698087994882826e-07
1911,2.9368464549150985e-07
1912,2.339030089615335e-07
1913,2.2484676032163975e-07
1914,2.745664993142327e-07
1915,2.7449174933025233e-07
1916,3.197351521322389e-07
1917,2.7745052477712306e-07
1918,2.549975599563936e-07
1919,2.716315288253668e-07
1920,2.559414382652392e-07
1921,3.082108159802033e-07
1922,2.4716082469566913e-07
1923,3.03616128238815e-07
1924,1.95952689630019e-07
1925,2.9805063306298507e-07
1926,2.2738123206522687e-07
1927,2.307889497288329e-07
1928,2.3651905411981033e-07
1929,1.9050094213213242e-07
1930,2.5733828934448866e-07
1931,2.657448066045731e-07
1932,2.641248331158863e-07
1933,2.902077440580797e-07
1934,2.755763368611497e-07
1935,2.8723881939640705e-07
1936,2.437067632143908e-07
1937,2.291583540703357e-07
1938,2.21705164449304e-07
