year,peut_VERB écrire_VERB,peut_VERB ecrire_VERB,peut_VERB décrire_VERB
1800,4.08741385626854e-07,3.144164484325529e-09,2.4524482000742864e-07
1801,5.5481552863057e-07,0.0,3.1907845254863787e-07
1802,3.737193026154273e-07,2.2378401354217203e-09,1.7007585029205075e-07
1803,4.05670562031446e-07,0.0,1.911332390136522e-07
1804,4.671798308208963e-07,7.4155526164076946e-09,1.2853624298259092e-07
1805,3.8663137047478813e-07,0.0,2.1321582721611776e-07
1806,7.866956934776681e-07,5.76333825108577e-09,2.4782355012575863e-07
1807,5.209927849136875e-07,0.0,2.306033621835013e-07
1808,5.166648975318822e-07,0.0,2.6513066586630885e-07
1809,4.585832016346103e-07,2.259030518203531e-09,3.433726476487209e-07
1810,4.890865170636971e-07,0.0,2.667744638529257e-07
1811,4.7634458155698667e-07,0.0,2.3817229077849333e-07
1812,4.3742215893871617e-07,0.0,2.1604387256957125e-07
1813,4.5724291908300074e-07,0.0,3.968523571984406e-07
1814,2.8320093292677484e-07,3.1466771410748606e-09,3.2725441201364447e-07
1815,2.9130015377631935e-07,0.0,3.4794183534359036e-07
1816,3.1519414278591285e-07,2.3176038865813098e-09,2.062667476820934e-07
1817,4.3903830260205723e-07,1.556873407970727e-09,2.849078271083272e-07
1818,5.304924002302869e-07,0.0,2.1577331210664852e-07
1819,3.5090059213871427e-07,0.0,2.3600394172262895e-07
1820,4.5092627942722174e-07,3.5599443393152796e-09,2.456361585245759e-07
1821,4.93074423957296e-07,1.97229765852569e-09,1.8342367980039853e-07
1822,3.539042268130288e-07,1.0025615893027862e-09,1.8447133243171265e-07
1823,3.271169362051296e-07,0.0,2.0753643070747785e-07
1824,2.5684394699965196e-07,8.421112696055388e-10,2.7873883823303913e-07
1825,4.393916128719866e-07,0.0,2.2629988905009668e-07
1826,3.831473236459715e-07,0.0,1.8408687196824758e-07
1827,4.092469225724926e-07,0.0,1.7973682986394124e-07
1828,3.210305408174463e-07,2.7516904310687096e-09,1.8803217471941025e-07
1829,3.5578679558057047e-07,8.57317605795771e-10,2.0489891028319107e-07
1830,4.4565288703779515e-07,3.1310507520032616e-09,1.5968359434737067e-07
1831,4.022531072678248e-07,4.677361609140007e-09,1.2784788339104125e-07
1832,5.114328587296768e-07,4.058990921151917e-09,2.2730348803179368e-07
1833,4.6682023935318284e-07,0.0,1.4711207541040494e-07
1834,4.004513698419032e-07,2.8003592777992026e-09,2.1189384824538138e-07
1835,3.365574059444043e-07,7.563087933704082e-10,1.9058981592934288e-07
1836,4.032449965052365e-07,0.0,1.6398630009462067e-07
1837,2.692703731099755e-07,0.0,1.788177996786544e-07
1838,3.3075727401410404e-07,0.0,2.0451405191579397e-07
1839,3.0343002777044603e-07,1.3982950353153e-09,1.5521074203661556e-07
1840,2.6561602339825185e-07,1.2739377330817092e-09,1.9236459536386974e-07
1841,3.197433215973433e-07,0.0,1.3483152372373297e-07
1842,3.045552432467957e-07,0.0,1.6502332300660782e-07
1843,2.8766658033418935e-07,5.906911071384968e-10,1.6362143639980786e-07
1844,2.881494651774119e-07,0.0,1.4874001408315962e-07
1845,2.9519407007683185e-07,0.0,1.6015253834211762e-07
1846,2.880414626815764e-07,0.0,1.6919508993851196e-07
1847,2.9662729161827883e-07,5.393223645455691e-10,1.4345974364005087e-07
1848,3.5077167126473796e-07,4.82713291560799e-09,1.89867236599639e-07
