year,soit_VERB en_PRON,soit_VERB dans_ADP
1800,2.703981465401739e-07,2.4084299639071105e-06
1801,2.3335589816042557e-07,1.6954020338744158e-06
1802,2.774921767922933e-07,1.9290182535769418e-06
1803,2.340407121437238e-07,2.0985648916393984e-06
1804,4.968420626028092e-07,2.1826444935868494e-06
1805,4.0653150867875354e-07,1.680140712778666e-06
1806,2.247701900159882e-07,1.7808715710998513e-06
1807,2.9608332852149033e-07,2.1209816623013467e-06
1808,2.9458962558237545e-07,1.8876396552514052e-06
1809,3.1174620773732897e-07,2.0737900285894284e-06
1810,3.4867889242562455e-07,1.9189039903722005e-06
1811,2.707642989818737e-07,2.063324245682452e-06
1812,2.7205524855133945e-07,2.3604793568665627e-06
1813,1.6391727797326894e-07,1.9698829873959767e-06
1814,2.863476140646526e-07,1.3908312439525616e-06
1815,2.8320846801044297e-07,1.8179287053499138e-06
1816,2.062667476820934e-07,1.9143408280797303e-06
1817,1.9927979622025305e-07,1.8106437664755504e-06
1818,2.193496584368404e-07,1.8716248177952366e-06
1819,2.4324967284883314e-07,2.23375650421076e-06
1820,3.203949825447694e-07,1.8559176169219427e-06
1821,2.435787685994839e-07,2.000896074605407e-06
1822,3.2081970857689157e-07,1.7625033024160075e-06
1823,2.3619621458692563e-07,1.6425025251010084e-06
1824,2.324227050820582e-07,1.3541149428419885e-06
1825,3.134737767140905e-07,1.4872392739562201e-06
1826,2.0874923278846325e-07,1.4330590829558787e-06
1827,2.894223711247257e-07,1.8637325638337643e-06
1828,3.0452040755690746e-07,1.8839906488210545e-06
1829,2.3404771276602787e-07,1.9178194179403363e-06
1830,2.640519582985945e-07,2.3096717995940708e-06
1831,2.822008298153378e-07,1.7976660728891147e-06
1832,2.54363413887404e-07,1.91854974218586e-06
1833,2.2240567432163516e-07,1.9159322164341575e-06
1834,2.64167226760037e-07,1.9369151686987607e-06
1835,1.837830367890092e-07,1.9444698864390375e-06
1836,2.775669716292839e-07,1.711102981971635e-06
1837,2.8875246016468736e-07,1.557871769364283e-06
1838,2.8152242581569453e-07,1.7737174857757054e-06
1839,3.369891121707269e-07,1.4738029676664155e-06
1840,3.229432037343827e-07,1.4917810631231987e-06
1841,3.4093112288857697e-07,1.578170781613153e-06
1842,3.575505314046268e-07,1.4664267382613616e-06
1843,2.5399717173968384e-07,1.7844778312792187e-06
1844,2.8375862370921823e-07,1.5999156630641664e-06
1845,3.1695693342159714e-07,1.4090076092543313e-06
1846,2.851142255622108e-07,1.5543701010756195e-06
1847,2.8044762068191176e-07,1.6379219687223667e-06
1848,2.357250029616509e-07,1.520546902611386e-06
1849,2.6562746491265443e-07,1.616389113223704e-06
1850,2.464405550739457e-07,1.3557624924942502e-06
1851,2.2895507045816998e-07,1.5304518683478818e-06
1852,2.5000494319193933e-07,1.632844828236557e-06
1853,2.400716634376465e-07,1.5819647387615987e-06
1854,2.665375973265327e-07,1.5124579704206553e-06
1855,2.934736329507359e-07,1.460469093217398e-06
1856,2.542000021588109e-07,1.4154435348245897e-06
1857,2.2064421423273473e-07,1.4190546835379791e-06
1858,2.471306395079864e-07,1.3809953998134006e-06
1859,2.1794501425809187e-07,1.2755893976645893e-06
1860,2.3755584255269468e-07,1.4038223525858484e-06
1861,2.5041767792721714e-07,1.2558610933410819e-06
1862,3.325237970530637e-07,1.4308462823464652e-06
1863,2.3674502580561807e-07,1.402989028065349e-06
1864,2.459695408463247e-07,1.6000007008187822e-06
1865,2.475800254253535e-07,1.388048417538812e-06
1866,2.3987472097530826e-07,1.3536134702007985e-06
1867,2.4991979685751176e-07,1.308318019255239e-06
1868,3.1516395893049776e-07,1.3974903367852676e-06
1869,2.778722337781758e-07,1.4225690847524675e-06
1870,2.7523434376064415e-07,1.4449802847593674e-06
1871,2.3047955255428576e-07,1.2883488125225995e-06
1872,3.090190410226512e-07,1.4404762396225124e-06
1873,2.7415901548977217e-07,1.3917460819357075e-06
1874,2.2942498811850953e-07,1.3890966101826052e-06
1875,2.706282439812746e-07,1.4698603081342299e-06
1876,2.8174429322902483e-07,1.4214181192073738e-06
1877,2.393523783617013e-07,1.3433419780994882e-06
1878,2.1197201671707688e-07,1.3159174159227405e-06
1879,2.6636658700951443e-07,1.4613506209570915e-06
1880,2.2911711017314929e-07,1.4125679399512592e-06
1881,2.363680042805072e-07,1.391015302942833e-06
1882,2.7420188075666374e-07,1.4754988342247088e-06
1883,2.4139874454931487e-07,1.3523385860025883e-06
1884,2.059729418135703e-07,1.2345172990535502e-06
1885,2.1528422866623487e-07,1.2343392654656782e-06
