year,brillant_VERB en_ADP,brillant_VERB dans_ADP
1800,3.144164484325529e-09,5.345079756580162e-08
1801,7.143547975374531e-09,6.667310969987739e-08
1802,2.2378401354217203e-09,7.832440473976021e-08
1803,0.0,6.046051481689574e-08
1804,0.0,1.1370514130248921e-07
1805,0.0,5.1171799242411e-08
1806,0.0,9.509507847837995e-08
1807,0.0,1.1387820464392462e-08
1808,0.0,2.2660739062985158e-08
1809,0.0,3.6144488291256494e-08
1810,0.0,6.786367379163494e-08
1811,0.0,5.766276700569506e-08
1812,2.6672082320544632e-09,9.868670503010435e-08
1813,0.0,3.45088981834607e-08
1814,0.0,7.237357380063258e-08
1815,0.0,1.8880564667256294e-08
1816,2.3176038865813098e-09,7.416332437060191e-08
1817,0.0,0.0
1818,0.0,3.695565098382758e-08
1819,0.0,1.4491470468058765e-08
1820,8.306536791735653e-09,2.3732962262101864e-08
1821,2.9584463767662328e-09,4.6348994420242207e-08
1822,0.0,1.2030739071633434e-08
1823,0.0,5.5343047145051116e-08
1824,0.0,4.54740085586991e-08
1825,0.0,6.868245350233337e-08
1826,4.403992281964975e-09,1.673517047162676e-08
1827,0.0,3.7790819362726324e-08
1828,5.503380862137419e-09,2.2930752408001354e-08
1829,8.57317605795771e-10,5.829759786024624e-08
1830,1.0436835395921662e-08,4.905312778191728e-08
1831,1.091384405071949e-08,2.8064171431196883e-08
1832,4.058990921151917e-09,4.329590330698352e-08
1833,2.3167257001688313e-09,3.938433634775862e-08
1834,4.667265685043276e-09,1.9602515166639023e-08
1835,0.0,3.2521278114927554e-08
1836,0.0,2.9571300075303952e-08
1837,5.5663127440652715e-09,1.2524203674146861e-08
1838,3.787297142565649e-09,2.840472923537618e-08
1839,6.9914751765765e-10,5.5931801523634306e-08
1840,6.369688665408546e-10,3.5670256415265555e-08
1841,0.0,1.3483152372373297e-08
1842,2.683306021822318e-09,3.018719141323345e-08
1843,5.906911071384968e-10,2.2446261738195972e-08
1844,1.2074834465636286e-08,3.402907916560949e-08
1845,3.348136878855712e-09,2.901718476611137e-08
1846,1.7563503984519002e-09,4.3908761293565135e-08
1847,2.6966118227278457e-09,3.5055954583640414e-08
1848,0.0,2.4940187026700755e-08
1849,8.379414939696517e-10,2.0948537571285897e-08
1850,1.3577992064028876e-09,2.987158165268511e-08
1851,3.2247193804124663e-09,3.805168735659947e-08
1852,2.6042181744401205e-09,4.296960143257422e-08
1853,7.166318205520383e-09,1.1346670270029335e-08
1854,2.0782657816909023e-09,7.27393034694046e-09
1855,0.0,2.600399184871094e-08
1856,3.6240324075009767e-09,2.1226475244162657e-08
1857,2.4407544874094356e-09,3.3194262505364946e-08
1858,2.936205500958522e-09,2.6915218054313073e-08
1859,5.601390462572908e-09,2.9534605650027856e-08
1860,1.373155145145688e-09,2.3801355553132453e-08
1861,0.0,3.631292094796734e-08
