year,tout_ADV dans_ADP
1800,9.014319971356599e-06
1801,8.04839712031935e-06
1802,6.514352833164594e-06
1803,7.604372612490806e-06
1804,6.550405203142873e-06
1805,6.74330607353113e-06
1806,6.261866928980453e-06
1807,5.659746562969303e-06
1808,5.175713042149255e-06
1809,5.0828188165041865e-06
1810,5.284006050487733e-06
1811,3.6402753735842452e-06
1812,3.8221093916490645e-06
1813,4.379754471983688e-06
1814,4.650788639537495e-06
1815,3.5927017592030097e-06
1816,4.445164393018786e-06
1817,4.289186080086438e-06
1818,4.3154659863375855e-06
1819,4.168367865986511e-06
1820,3.748621423937948e-06
1821,3.978124453851706e-06
1822,3.6613550378206128e-06
1823,3.005325055482899e-06
1824,3.144443383007456e-06
1825,3.3478294199085212e-06
1826,2.965648405961474e-06
1827,3.0675084019549104e-06
1828,3.090148254614178e-06
1829,3.198652024138937e-06
1830,3.1654922736379376e-06
1831,3.1478646178584313e-06
1832,3.2850766160663625e-06
1833,3.02216858472093e-06
1834,3.058925869936502e-06
1835,3.3769188405585737e-06
1836,3.1379182416912954e-06
1837,2.6516522098063433e-06
1838,2.6965555264268914e-06
1839,2.4637958517814695e-06
1840,2.6542493003489653e-06
1841,3.0568231466077123e-06
1842,2.6390314360469347e-06
1843,2.9883062211411016e-06
1844,2.9484550623237737e-06
1845,2.8838616970006115e-06
1846,2.6479908399323904e-06
1847,2.4889726830679137e-06
1848,2.3805811224519857e-06
1849,2.2892562014931173e-06
1850,2.4603322685834428e-06
1851,2.5817104472025676e-06
1852,2.620494655047878e-06
1853,2.8133771650118433e-06
1854,3.013485439851138e-06
1855,3.210166141798254e-06
1856,2.9732596829035174e-06
1857,3.0167725810770207e-06
1858,2.776182498109847e-06
1859,2.9198522213391698e-06
1860,2.8923225556809484e-06
1861,3.2049688343249727e-06
1862,2.8138019274592807e-06
1863,3.0527122873991175e-06
1864,2.9223866420124978e-06
1865,3.019911360979677e-06
1866,2.700415166145831e-06
1867,2.7233978983076668e-06
1868,2.6255430611854536e-06
1869,2.9642961862919037e-06
1870,2.8813594212806493e-06
1871,2.2368199665834254e-06
1872,2.4915037784012384e-06
1873,2.515319124540838e-06
1874,2.28887284947632e-06
1875,2.5266263321555016e-06
1876,2.3712470067493996e-06
1877,2.5363929694321996e-06
1878,2.285191129658415e-06
1879,2.5964633039166074e-06
1880,2.1833512846569647e-06
1881,2.3176614263320516e-06
1882,2.5177321560931887e-06
1883,2.1738526072567765e-06
1884,2.1211252203556796e-06
1885,2.0845185986217984e-06
1886,1.9876669057339313e-06
1887,1.954760023181734e-06
1888,2.1906824088091525e-06
1889,2.128266999079642e-06
1890,1.9931889596591645e-06
1891,1.994493430856892e-06
1892,1.9946405984683224e-06
1893,1.9300477163142205e-06
1894,2.132440926061463e-06
1895,1.956651516366037e-06
1896,2.0338852380064054e-06
1897,1.8750364176867151e-06
1898,2.0132426357122313e-06
1899,2.03580708557638e-06
1900,2.020876948449768e-06
1901,1.8414894640272905e-06
1902,1.6812812191346893e-06
1903,1.8052936781032258e-06
1904,1.899929998216976e-06
1905,1.7954280906451459e-06
1906,2.0098328832318657e-06
1907,1.958394804546515e-06
1908,2.0485403808834235e-06
1909,2.026562384571662e-06
1910,1.9554246932784736e-06
1911,1.9392763448422556e-06
1912,1.964993671776938e-06
1913,1.971121236010731e-06
1914,2.0036657701894e-06
1915,1.5845124465840854e-06
1916,1.6085644745089667e-06
1917,1.8577122773422161e-06
1918,1.997480808313412e-06
1919,1.8618269166381651e-06
1920,1.7885611356405207e-06
1921,1.6909945514953506e-06
1922,1.9190009936664865e-06
1923,2.005352627065804e-06
1924,1.8989362615684513e-06
1925,1.8641911196937144e-06
1926,1.9862418980665097e-06
