year,grand_ADJ essai_NOUN
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,0.0
1803,3.900678446910888e-09
1804,4.943701892301533e-09
1805,1.1371510844071508e-08
1806,4.3225035994964855e-08
1807,1.9928686700865228e-08
1808,0.0
1809,2.710836621844237e-08
1810,0.0
1811,0.0
1812,0.0
1813,5.463909147351842e-08
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,1.3113295338484932e-08
1819,1.3456364911235141e-08
1820,0.0
1821,6.903041582795311e-09
1822,1.0025615893027862e-09
1823,5.929612356680991e-09
1824,8.421112696055388e-10
1825,1.6730342222714967e-08
1826,2.9947145208097936e-08
1827,1.7512819638909605e-08
1828,1.1006761724274838e-08
1829,3.429270423183084e-09
1830,3.131050774207722e-08
1831,9.354723218280014e-09
1832,1.2176972319366541e-08
1833,3.01174338801502e-08
1834,2.240287377830441e-08
1835,1.2100940693926532e-08
1836,8.736974921319529e-09
1837,2.2961040624380757e-08
1838,1.3255539776935166e-08
1839,2.307186808270245e-08
1840,3.248541347034006e-08
1841,1.1556987367100646e-08
1842,1.8112315203211438e-08
1843,1.476727767846242e-08
1844,2.4698526002175925e-08
1845,6.696273757711424e-09
1846,6.439951683034906e-09
1847,1.4561703842730367e-08
1848,1.045878850192139e-08
1849,3.854530916669319e-08
1850,3.530277936647508e-08
1851,9.674158585326609e-09
1852,2.6042181744401205e-09
1853,1.134667093616315e-08
1854,6.754364012540037e-09
1855,9.021793090369101e-09
1856,2.7439103433835044e-08
1857,1.3180074809326925e-08
1858,7.3405139189297586e-09
1859,1.5785736939832873e-08
1860,3.7990625312289694e-08
1861,8.960331421281609e-09
1862,2.710791813242963e-09
1863,1.4484400345793347e-08
1864,1.9178911903061646e-08
1865,2.5416959203994338e-08
1866,5.352174370365503e-09
1867,1.2132028714972876e-08
1868,2.4699370326786152e-08
1869,1.5627261262807224e-08
1870,1.1468097582678638e-08
1871,7.434824089713743e-09
1872,1.9956219787786722e-08
1873,1.3767810169706962e-08
1874,8.961914044203212e-09
1875,1.544812344711488e-08
1876,1.6324239737741664e-08
1877,1.793596560162314e-08
1878,7.246906519320362e-09
1879,1.710611030603104e-08
1880,1.2835692730917003e-08
1881,6.972507571312292e-10
1882,1.2645231528551903e-08
1883,6.951272890631799e-09
1884,5.281357573494461e-09
1885,5.156508553483263e-09
1886,3.2267319927115068e-09
1887,4.570247291724172e-09
1888,1.014498351992188e-08
1889,8.771191772893872e-09
1890,1.4419650584684973e-08
1891,1.2748439970344805e-08
1892,1.3790726782758611e-08
1893,1.847524977449666e-08
1894,1.1342770278588432e-08
1895,1.8657704714541978e-08
1896,4.127920172347643e-09
1897,8.740070001067579e-09
1898,9.61920332276378e-09
