year,pouvait_VERB écrire_VERB,pouvait_VERB ecrire_VERB,pouvait_VERB décrire_VERB
1800,4.4018303668735825e-08,3.144164484325529e-09,6.288328968651058e-09
1801,1.6668277424969347e-08,0.0,3.5717739876872656e-08
1802,9.175144555229053e-08,0.0,8.951360541686881e-09
1803,3.705644502360883e-08,0.0,0.0
1804,6.673997887673977e-08,0.0,2.4718509461507665e-09
1805,5.401467717547348e-08,0.0,0.0
1806,2.305335300434308e-08,0.0,5.76333825108577e-09
1807,1.9928686256776018e-08,0.0,0.0
1808,4.985362878073829e-08,0.0,2.2660739951163578e-09
1809,3.388545621874073e-08,0.0,2.710836710662079e-08
1810,4.680253340438867e-08,2.3401267590372754e-09,4.680253340438867e-08
1811,3.008491944456182e-08,0.0,2.0056614147279106e-08
1812,5.067695596494559e-08,0.0,4.267533171287141e-08
1813,3.738464116054274e-08,0.0,0.0
1814,1.6677388714469998e-07,0.0,0.0
1815,7.552225866902518e-08,0.0,2.1577788444915313e-08
1816,7.879853569647821e-08,0.0,0.0
1817,5.293369653713853e-08,0.0,1.401186100480345e-08
1818,5.96058882251782e-08,0.0,0.0
1819,7.970308502081025e-08,0.0,1.7596784473994376e-08
1820,6.526564533260171e-08,0.0,0.0
1821,1.1340711836282935e-07,9.86148829262845e-10,4.930744257336528e-09
1822,7.519211919770896e-08,0.0,3.60922172149003e-08
1823,5.435477845594505e-08,0.0,0.0
1824,8.252690264498597e-08,0.0,1.0947446504872005e-08
1825,4.3146670236637874e-08,0.0,2.289415235168235e-08
1826,6.78214817639855e-08,8.807984341885344e-10,2.290075862276808e-08
1827,7.005127855563842e-08,0.0,2.488663675137559e-08
1828,6.328887991458032e-08,0.0,1.4675682002973645e-08
1829,1.1230860508248952e-07,0.0,5.143905745796928e-09
1830,1.408972849503698e-07,4.174734336004349e-09,6.262101504006523e-09
1831,1.02901957177437e-07,0.0,1.091384405071949e-08
1832,8.253281436054749e-08,0.0,2.705993873419743e-09
1833,1.2510318470049242e-07,0.0,5.791814139399776e-09
1834,9.521221500108368e-08,0.0,4.667265685043276e-09
1835,1.2403464211274695e-07,7.563087933704082e-10,1.739510224751939e-08
1836,7.392824841190304e-08,0.0,2.1506400216253496e-08
1837,9.671468603755784e-08,0.0,5.5663129217009555e-08
1838,8.268931850352601e-08,0.0,1.5149188570262595e-08
1839,1.5171501388522302e-07,0.0,9.088918062616358e-09
1840,8.790170369366024e-08,0.0,1.4013314952876499e-08
1841,9.630822717099363e-08,0.0,1.733548060656176e-08
1842,8.45241387992246e-08,0.0,2.683306021822318e-09
1843,8.624090241937665e-08,0.0,2.126487963494128e-08
1844,9.604982409427976e-08,1.097712254427563e-09,1.0977122322231025e-08
1845,1.1885885697893173e-07,0.0,4.464182357111213e-09
1846,1.3289718481246382e-07,0.0,7.610851504580296e-09
1847,1.1163972857275439e-07,5.393223645455691e-10,5.3932236454556914e-09
1848,7.964769821455775e-08,0.0,2.413566457803995e-09
1849,1.1731180649121598e-07,0.0,2.513824481908955e-09
1850,1.7108270355947752e-07,0.0,1.2899092460827433e-08
1851,1.2769888257935236e-07,0.0,1.0319102017319892e-08
1852,1.7708683230921451e-07,6.510545436100301e-10,2.6042181744401205e-09
1853,1.7856076794942055e-07,5.971931837933653e-10,6.569124799682413e-09
1854,1.6314386641624878e-07,5.195664454227256e-10,9.352196350675968e-09
1855,1.7353684711451933e-07,0.0,3.714855978387277e-09
1856,1.6670549030095572e-07,0.0,9.836659486950339e-09
1857,1.4595711661513633e-07,0.0,1.513267733344037e-08
1858,2.1189616461469996e-07,0.0,1.9574704079872163e-09
1859,1.7873529145617795e-07,0.0,1.323965115318515e-08
1860,2.3755583811180259e-07,0.0,9.612086238064421e-09
1861,2.249514636787353e-07,1.4147891747029462e-09,3.772770984511453e-09
1862,1.8749642549664713e-07,4.517986262886353e-10,4.066187830886747e-09
1863,1.7331333879155864e-07,4.994620828036034e-10,1.4484400345793347e-08
1864,2.0665277133957716e-07,4.794727948009836e-10,3.3563094525845827e-09
1865,2.2969400959027553e-07,0.0,6.589582213223366e-09
1866,1.741889406048358e-07,0.0,7.298419202328432e-09
1867,2.2856741566101846e-07,0.0,2.038180824115443e-08
1868,2.158724896617059e-07,0.0,1.0373735648272486e-08
1869,1.8606208129767765e-07,4.883519144627257e-10,8.790334682373668e-09
1870,1.9323744027133216e-07,0.0,9.747882501187632e-09
1871,1.8162212711558823e-07,0.0,6.37270636261178e-09
1872,2.025858663046165e-07,0.0,7.256807155187062e-09
1873,2.783492050184577e-07,0.0,1.7359413462259e-08
