year,riant_VERB en_ADP,riant_VERB dans_ADP
1800,5.0306631749208464e-08,1.2576657937302116e-08
1801,1.6668277424969347e-08,1.4287095950749062e-08
1802,2.9091921760482364e-08,1.7902721083373763e-08
1803,5.851017448321727e-09,5.655983770225248e-08
1804,2.4718509461507665e-09,8.651478111687538e-08
1805,8.528632911009026e-09,7.391481915419718e-08
1806,1.152667650217154e-08,5.76333825108577e-09
1807,5.693910232196231e-09,1.1387820464392462e-08
1808,1.3596443970698147e-08,2.945896149242344e-08
1809,2.259030518203531e-09,9.036122072814123e-09
1810,1.1700633351097167e-08,9.360507036149102e-09
1811,1.2535384286138651e-08,3.259199843341776e-08
1812,8.00162425207418e-09,5.3344164641089264e-09
1813,2.0130190847567064e-08,1.1502966579257645e-08
1814,0.0,1.2586708564299443e-08
1815,2.697223555614414e-09,2.697223555614414e-09
1816,2.7811246638975717e-08,1.8540831092650478e-08
1817,1.8682481006671026e-08,2.9580593974287694e-08
1818,1.4305412854298538e-08,4.410835785506606e-08
1819,6.210630232317271e-09,4.243930362690662e-08
1820,7.119888678630559e-09,2.3732962262101864e-08
1821,1.7750679148775816e-08,5.029358973729359e-08
1822,2.105379337535851e-08,4.8122956286533736e-08
1823,2.668325471688604e-08,2.3718449426723964e-08
1824,6.231623661534513e-08,4.884245186076441e-08
1825,1.6730341112491942e-08,2.3774695989686734e-08
1826,1.937756521908085e-08,2.290075862276808e-08
1827,6.452091305675367e-09,5.2538457140371975e-08
1828,2.4765213879618386e-08,2.2930752408001354e-08
1829,3.3435387791769244e-08,2.6576845613135447e-08
1830,2.9223140574075046e-08,4.696576283436116e-08
1831,5.301009919911337e-08,5.456922025359745e-08
1832,1.488296597074168e-08,1.6235963684607668e-08
1833,1.5058717162119706e-08,5.6759779543114064e-08
1834,1.5868701908061666e-08,3.640467127752345e-08
1835,4.386591001548368e-08,6.42862474364847e-08
1836,1.0081124712790768e-08,4.838939915430274e-08
1837,2.1569462660409044e-08,4.5226290268374214e-08
1838,1.830527018853445e-08,3.0298377362569795e-08
1839,1.6779539646627484e-08,2.097442586279641e-08
1840,1.8472096741106725e-08,3.885510080348098e-08
