year,put_VERB écrire_VERB,put_VERB décrire_VERB
1800,2.5153315874604232e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,4.475680270843441e-09,0.0
1803,3.900678446910888e-09,0.0
1804,1.9774807569206132e-08,0.0
1805,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,0.0
1807,2.2775640928784924e-08,0.0
1808,9.064295980465431e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,1.0998595456612748e-07,0.0
1811,0.0,0.0
1812,1.600324850414836e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,2.2026739543434815e-08,1.2586708564299443e-08
1815,1.8880564667256294e-08,1.0788894222457657e-08
1816,4.6352077731626196e-09,0.0
1817,7.161617787687646e-08,0.0
1818,4.172412104708201e-08,0.0
1819,5.3825459644940565e-08,6.210630232317271e-09
1820,1.898636980968149e-08,0.0
1821,3.35290586406245e-08,9.86148829262845e-10
1822,3.709477880420309e-08,4.010246357211145e-09
1823,2.8659792761231984e-08,0.0
1824,4.5474010335055937e-08,1.6842225392110777e-09
1825,3.0819052199149155e-08,0.0
1826,2.3781558056157337e-08,0.0
1827,2.5808365222701468e-08,3.6869092223668076e-09
1828,1.9261833017480967e-08,0.0
1829,2.8291481157793896e-08,0.0
1830,5.635891398014792e-08,0.0
1831,6.548306430431694e-08,0.0
1832,4.8707889277466165e-08,1.2176972319366541e-08
1833,2.6642345218874652e-08,0.0
1834,4.387229424196448e-08,0.0
1835,4.9160071569076536e-08,0.0
1836,2.8899226123257904e-08,0.0
1837,4.1051556820548285e-08,3.478945576063097e-09
1838,5.870310459954453e-08,0.0
1839,3.705481788074394e-08,0.0
1840,2.993753511759678e-08,4.458782232319436e-09
1841,6.548959419205858e-08,1.2841097074556274e-09
1842,6.171603672555648e-08,2.683306021822318e-09
1843,6.14318764746713e-08,0.0
1844,5.2141331252641976e-08,5.488561272137815e-10
1845,4.631589334280761e-08,2.7901139176833567e-09
1846,5.1519613464279246e-08,0.0
1847,1.1487566098367097e-07,3.775256551818984e-09
1848,3.620349886546137e-08,1.448139919091318e-08
1849,6.033178578945808e-08,1.6758829879393033e-09
1850,5.906426636670403e-08,6.788996032014438e-10
1851,6.642921590582773e-08,0.0
1852,1.1849192560475785e-07,0.0
1853,6.270528274399112e-08,5.971931837933653e-10
1854,6.442623856628416e-08,2.5978321716024766e-09
1855,7.005156987816008e-08,2.1227748447927297e-09
1856,1.113095677851561e-07,1.0354378465748937e-09
1857,6.297146626366157e-08,2.9289055625270066e-09
1858,1.0863961108498188e-07,1.9574704079872163e-09
1859,7.638259802433822e-08,1.5276520048956854e-09
1860,1.2266852422726515e-07,1.8308735638683515e-09
1861,1.089387637875916e-07,3.3011746669586728e-09
1862,1.161122469284237e-07,4.9697850279528666e-09
1863,1.208698279242526e-07,5.9935452156878455e-09
1864,1.28978186353379e-07,0.0
1865,1.3132095944001776e-07,0.0
1866,1.4742806797585217e-07,9.731225825149181e-10
1867,1.0627657331951923e-07,0.0
1868,9.484558205485882e-08,3.951899252285784e-09
1869,1.3576183732766367e-07,2.9301114867763545e-09
1870,8.887775493349181e-08,2.2936195165357276e-09
1871,1.0090118252037428e-07,0.0
1872,9.978109716257677e-08,3.628403577593531e-09
1873,1.1373408170811672e-07,0.0
1874,1.1650487863335002e-07,4.182226565063729e-09
1875,8.124568751100014e-08,1.2587359599081083e-08
1876,1.0096844960116869e-07,1.209202959984168e-09
1877,8.844286725206985e-08,2.4739263970730008e-09
1878,9.36058768274961e-08,1.2078177347163432e-09
1879,1.0019293483765068e-07,6.720257683667796e-09
1880,1.0653624826773012e-07,1.2835692508872398e-09
1881,1.052848617177915e-07,1.1853263259808955e-08
1882,9.517200538766701e-08,0.0
1883,1.5040026823953667e-07,1.2638677882037541e-09
1884,1.3467462167682243e-07,3.300848483434038e-09
1885,1.2826815520838863e-07,7.7347630522695e-09
1886,1.1293561641423366e-07,6.453463874400711e-10
1887,1.2861981701917102e-07,3.264462256069578e-09
1888,1.3378696905874676e-07,1.268122939990235e-09
