year,travaillant_VERB en_ADP,travaillant_VERB dans_ADP
1800,1.2262241000371432e-07,1.8550569791386806e-07
1801,1.3096504858367553e-07,1.785886869498654e-07
1802,1.4993528907325526e-07,1.857407312400028e-07
1803,9.361628405812894e-08,1.2677205063482688e-07
1804,7.415552971679062e-08,1.2853624298259092e-07
1805,6.254330742194725e-08,2.1890158130588588e-07
1806,6.051504897186533e-08,1.9307183318773014e-07
1807,1.6512339584551228e-07,1.7366425675291453e-07
1808,8.157866204783204e-08,1.6995555540688656e-07
1809,5.4216732658929345e-08,9.48792822086375e-08
1810,7.488405628919281e-08,1.7316938283329364e-07
1811,1.5543875520052097e-07,1.7298829391165782e-07
1812,3.200649700829672e-08,8.535066475801045e-08
1813,1.35159851311073e-07,1.8117172828624462e-07
1814,3.4613449884091096e-08,2.2656074971649787e-07
1815,1.0249449644561537e-07,2.1038343334112142e-07
1816,7.416332437060191e-08,1.344210271980728e-07
1817,8.874178480944295e-08,1.8526793610362802e-07
1818,1.335171828653614e-07,1.3351719019283337e-07
1819,6.003609342997152e-08,1.35598753558952e-07
1820,9.374520004712394e-08,1.7562392429226747e-07
1821,1.1833785862336299e-07,1.1833785862336299e-07
1822,1.0727409005539812e-07,1.9950975627125445e-07
1823,9.981513537926645e-08,1.6009953185402992e-07
1824,9.179012838700373e-08,2.1726471288729954e-07
1825,1.2944001070991362e-07,2.439107777973959e-07
1826,1.3652375230321923e-07,2.0258364230585357e-07
1827,1.8711064048160253e-07,1.511632770068161e-07
1828,4.586150598173688e-08,1.164882235116238e-07
1829,1.0202079181453882e-07,2.2976111591077597e-07
1830,1.1376150865771706e-07,1.7116411332729342e-07
1831,1.0134283767726515e-07,1.683850285871813e-07
1832,9.065079353831607e-08,2.1512650860699978e-07
1833,1.135195623058749e-07,2.803238228210603e-07
1834,1.0454674281845655e-07,2.6790103913043595e-07
1835,8.924443761770817e-08,2.5790129143388185e-07
1836,1.0753200285762432e-07,2.31193798994056e-07
1837,1.4820307114860043e-07,2.1221567170215394e-07
1838,1.0667553418386433e-07,1.9252093541588522e-07
1839,1.629013781645483e-07,1.9925703798051586e-07
1840,1.5605736924939606e-07,2.8663599066502954e-07
1841,1.091493242455499e-07,2.5425371052989476e-07
1842,1.1873629146563758e-07,2.824179605731558e-07
1843,1.0278025541765601e-07,3.166104294294314e-07
1844,1.2239492197529955e-07,2.711349315065448e-07
1845,1.61268587817176e-07,2.3604364418616797e-07
1846,1.0421012164307797e-07,3.600518434510036e-07
1847,1.7150451014913415e-07,2.858408549855085e-07
1848,1.1504666730388635e-07,3.7168924243990986e-07
1849,1.508294644736452e-07,2.8238627214349776e-07
1850,1.072661364176497e-07,3.102571302093793e-07
1851,1.8574384030856095e-07,3.489146251922648e-07
1852,1.9075898194387264e-07,3.587310541952604e-07
1853,1.5049267765299135e-07,2.735144695176217e-07
1854,1.402829354901769e-07,3.309638241244528e-07
1855,1.1250706677401467e-07,2.7118449708041226e-07
1856,1.2218166034472233e-07,3.655095515142648e-07
1857,1.6401870084337133e-07,2.7287635284700684e-07
1858,1.0766087210622999e-07,2.490881176875348e-07
1859,1.1355546392088911e-07,2.3627684586635667e-07
1860,1.2724570996880402e-07,3.1170623837617484e-07
1861,1.3016060462778256e-07,2.9050336447511427e-07
1862,1.513525447471853e-07,3.5014393562349255e-07
1863,1.423467000383205e-07,2.786998385406747e-07
1864,1.1459400028890343e-07,2.963141894074539e-07
1865,1.4167602024883763e-07,3.012380302980233e-07
1866,1.3039841917361628e-07,3.0750672763701914e-07
1867,2.0867089389753346e-07,3.309617557789579e-07
1868,1.7289559917088582e-07,2.697171288534861e-07
1869,1.4162204831080771e-07,3.4331139442400627e-07
1870,1.5539271869258187e-07,3.17666291937968e-07
1871,1.6887671794307835e-07,3.1863532656828397e-07
1872,1.4634561074089447e-07,3.477219986391944e-07
1873,1.3288929512356162e-07,3.519770576110304e-07
1874,1.6071698949460256e-07,3.2920097448041474e-07
1875,1.2644574576281542e-07,3.867752317310291e-07
1876,1.7110221706140294e-07,4.2322103332992356e-07
1877,1.5462039471003663e-07,3.562453922967279e-07
1878,1.509772169505652e-07,3.714039411573111e-07
1879,1.6434084670891025e-07,3.115756026517147e-07
1880,1.6237151090336965e-07,4.1780179138584117e-07
1881,1.7779894245784078e-07,4.176532009125822e-07
1882,1.5906371042540002e-07,4.0131972878221234e-07
1883,1.5482380000264584e-07,3.1407115486103976e-07
1884,2.066331168393276e-07,4.6013827770252647e-07
1885,1.7338760655016827e-07,3.925392020320828e-07
1886,2.5555716831604514e-07,4.769109871460842e-07
1887,1.9456195854417047e-07,4.948925083070321e-07
1888,1.94022812038952e-07,4.49549586889475e-07
1889,2.2053280934741792e-07,4.592345246301477e-07
1890,1.9400983575224018e-07,5.223846182289549e-07
1891,2.1289895490994581e-07,5.194989163292973e-07
1892,1.8304056137452562e-07,6.011503104197402e-07
1893,2.5865350083975613e-07,5.25312942034617e-07
1894,1.8778587618228926e-07,5.028628564662796e-07
1895,2.16670126507168e-07,4.640351836115997e-07
1896,2.293944323383812e-07,5.920617125454442e-07
1897,3.041544367476945e-07,5.65773865091046e-07
1898,2.4953345878486743e-07,5.624404790793847e-07
1899,3.156247334601403e-07,6.461739427976454e-07
1900,3.1924976062747135e-07,6.976775570599614e-07
1901,3.766809940630722e-07,8.075727820910927e-07
1902,5.013399595465984e-07,1.1941809781035317e-06
1903,4.6657904384517224e-07,8.888762419445584e-07
1904,4.939280406901503e-07,7.529850103438207e-07
1905,4.0408742441044865e-07,7.627601767978831e-07
1906,3.852994261421827e-07,7.880890637856908e-07
1907,3.800561371170019e-07,8.264549022918288e-07
1908,3.536200117171262e-07,8.614576398890961e-07
1909,4.5438123552621335e-07,7.200787344174842e-07
1910,4.4249566644172234e-07,7.423025145669726e-07
1911,5.868372463524452e-07,7.9858813428757e-07
1912,6.897273685524397e-07,8.772665127665391e-07
1913,6.326466848172174e-07,8.198422114524817e-07
1914,4.4265475418470146e-07,7.500352960931878e-07
1915,5.595861898299859e-07,6.561884537958917e-07
1916,4.99929512898234e-07,8.218621880828891e-07
1917,6.426324908881398e-07,1.2611388369165866e-06
1918,6.26007498283343e-07,1.095800350014997e-06
1919,6.18767411530996e-07,1.0423284706462255e-06
1920,5.913912919375264e-07,9.609161502055485e-07
1921,5.732569716698777e-07,1.0556410323658838e-06
1922,6.094174871407176e-07,1.0624226689515126e-06
1923,4.777176525472271e-07,8.673229441313879e-07
1924,6.020388729766069e-07,8.766304437912709e-07
1925,5.213136544668373e-07,9.150483828435085e-07
1926,5.784846131007271e-07,9.808602143834833e-07
1927,5.295881972955385e-07,8.729843008481453e-07
1928,6.638529805869098e-07,1.0192028572220124e-06
1929,6.015819220550611e-07,9.335660795528611e-07
1930,6.16561523614223e-07,1.1900583043455981e-06
1931,5.999217824737002e-07,1.000249813642995e-06
1932,6.038704931654593e-07,8.833386679896194e-07
1933,7.375635853179574e-07,1.026624262934206e-06
1934,6.637795362252064e-07,1.017236156641843e-06
1935,6.30728566264338e-07,1.1082631541370347e-06
1936,6.826214367094963e-07,1.0500002876057124e-06
1937,8.096089212372704e-07,1.571371586628345e-06
1938,6.962319893943913e-07,1.675105652410025e-06
1939,8.381139702251517e-07,1.8154037668693945e-06
1940,6.82125624429375e-07,1.2399978945865087e-06
1941,6.493305981791764e-07,1.2012616075196547e-06
1942,7.919292723812532e-07,1.286505806774585e-06
1943,7.751638282371687e-07,1.1293584538663026e-06
1944,9.735954211720355e-07,1.150320644072167e-06
1945,1.0347893741879943e-06,1.4617761721069655e-06
1946,1.0148485216632253e-06,1.4352658332938972e-06
1947,7.748566037690807e-07,1.2576519274887232e-06
1948,8.643150941622935e-07,1.3111496564022218e-06
1949,9.532315168314653e-07,1.8534512147283522e-06
1950,9.61436654733916e-07,1.973923005493816e-06
1951,9.851134894489633e-07,1.4115695385896743e-06
1952,1.0007019088931202e-06,1.3149370072795818e-06
1953,8.597514273844808e-07,1.4156809058363251e-06
1954,9.332772261672062e-07,1.601718683019726e-06
1955,9.995671987894639e-07,1.560826532909232e-06
1956,1.002059200061467e-06,1.7555657585432982e-06
1957,1.031048913802124e-06,1.6848417025983053e-06
1958,1.0894544839601394e-06,1.7413072299632404e-06
1959,1.0858798100699119e-06,1.5912285746821908e-06
1960,1.0104416432454855e-06,1.663076279356801e-06
1961,1.0672373029763094e-06,1.746767217980505e-06
1962,9.620748038230431e-07,1.570902616876424e-06
1963,1.193633423213214e-06,1.9398159381012192e-06
1964,1.114583053407614e-06,1.5958248908987116e-06
1965,1.1409210820545468e-06,1.53764419863478e-06
1966,1.1039375529264817e-06,1.8893784421436521e-06
1967,9.929695412580486e-07,1.5737631589018974e-06
1968,1.0864734942828136e-06,1.4695912557982638e-06
1969,1.017807889525102e-06,1.7299555956640233e-06
1970,1.0678239164008119e-06,1.6969295657531802e-06
1971,1.1386688729686512e-06,1.9294682438442123e-06
1972,1.1773687624838658e-06,1.9858798623317853e-06
1973,1.0601890956252191e-06,1.939545148488264e-06
