year,espérant_VERB en_ADP,espérant_VERB dans_ADP
1800,2.829747991484055e-08,2.2009151834367913e-08
1801,9.524730337773235e-09,1.1905912700171939e-08
1802,2.4616241489638924e-08,4.475680270843441e-09
1803,7.801356893821776e-09,3.900678446910888e-09
1804,9.887403784603066e-09,0.0
1805,8.528632911009026e-09,2.842877711017877e-09
1806,1.729001475325731e-08,1.729001475325731e-08
1807,3.701041606518629e-08,0.0
1808,1.5862518409903714e-08,0.0
1809,2.259030518203531e-09,0.0
1810,1.4040760554223652e-08,0.0
1811,1.7549536934780008e-08,2.5070767684098882e-09
1812,2.6672083208723052e-08,0.0
1813,5.463909147351842e-08,8.627225156487839e-09
1814,2.5173417128598885e-08,3.1466771410748606e-09
1815,6.203614333344376e-08,0.0
1816,2.7811246638975717e-08,9.270415546325239e-09
1817,1.8682481339737933e-08,7.784366928831332e-09
1818,2.741870730460505e-08,0.0
1819,3.8298885840504227e-08,5.175524897538253e-09
1820,3.5599444281331216e-08,5.933240565525466e-09
1821,3.4515210245444905e-08,1.97229765852569e-09
1822,2.2056354964661296e-08,5.012807946513931e-09
1823,1.0673301498176357e-07,1.7788837070042973e-08
1824,6.484256687144807e-08,6.736890156844311e-09
1825,1.9371974468995745e-08,1.2327619813845558e-08
1826,2.1139162420524826e-08,1.5854372037438225e-08
1827,2.3043183361437514e-08,1.566936447261469e-08
1828,1.0089530988466322e-08,5.503380862137419e-09
1829,3.943661008865007e-08,4.286588084490006e-09
1830,4.5922076807869416e-08,4.174734336004349e-09
1831,3.741889442743229e-08,1.5591206548037917e-08
1832,2.4353945637933805e-08,4.058990921151917e-09
1833,4.8651238260255525e-08,2.548398292390175e-08
1834,4.6672655740209734e-08,1.6802155666795215e-08
1835,5.672315950278062e-08,2.0420337421001022e-08
1836,9.543464751793351e-08,1.4785650370718884e-08
1837,5.705470673689206e-08,2.852735292435682e-08
1838,4.229148586887277e-08,2.7142295522253335e-08
1839,2.7266752411492234e-08,1.7478688718597368e-08
1840,2.9300567971901614e-08,2.993753511759678e-08
1841,3.9165347853753474e-08,1.2841097074556274e-08
1842,3.152884575641224e-08,3.890793731642361e-08
1843,2.2446262848418996e-08,1.1813822031747634e-08
1844,5.0494762149355665e-08,2.6345093662172303e-08
1845,3.3481368622023666e-08,2.2320911341466854e-08
1846,4.449420942798099e-08,3.6297908678761814e-08
1847,3.182001862001016e-08,2.480882876909618e-08
1848,2.5744709697406165e-08,8.84974404868899e-09
1849,2.513824526317876e-08,8.379414495607307e-09
1850,5.702756489256444e-08,1.425689166723032e-08
1851,3.6761802713058955e-08,7.094382636907426e-09
1852,2.7995345375231295e-08,1.4974254725075298e-08
1853,3.642878265708305e-08,4.180352064508952e-09
1854,3.065442033545196e-08,9.352196350675968e-09
1855,2.7065379271107304e-08,1.4328730202350926e-08
1856,7.092749032544532e-08,8.801221973442352e-09
1857,3.7099469329948676e-08,9.763017949637742e-09
1858,7.976692018019094e-08,1.3702292411821304e-08
