year,avaient_VERB ôté_VERB,avaient_VERB oté_VERB,avaient_VERB doté_VERB
1800,4.4018303668735825e-08,0.0,6.288328968651058e-09
1801,1.3572740442668874e-07,0.0,7.143547975374531e-09
1802,1.7902721083373763e-08,0.0,4.475680270843441e-09
1803,4.095712213825209e-08,1.950339223455444e-09,0.0
1804,1.1864884186252311e-07,2.4718509461507665e-09,1.4831105232815389e-08
1805,6.822906328807221e-08,0.0,0.0
1806,5.4751712497136396e-08,0.0,0.0
1807,5.693910054560547e-08,0.0,0.0
1808,6.118399653587403e-08,0.0,3.6257183921861724e-08
1809,6.551188391767937e-08,0.0,1.8072244145628247e-08
1810,7.254392642153107e-08,0.0,4.680253518074551e-09
1811,5.264861258069686e-08,0.0,5.0141535368197765e-09
1812,4.000812481308458e-08,2.6672082320544632e-09,8.00162425207418e-09
1813,4.3136125782439194e-08,2.8757416448144113e-09,0.0
1814,2.5173417128598885e-08,0.0,0.0
1815,8.631115377966125e-08,0.0,2.4275012222574333e-08
1816,6.025770460382773e-08,0.0,2.3176038865813098e-09
1817,5.1376822796100896e-08,0.0,1.8682481339737933e-08
1818,9.417730240102173e-08,0.0,2.8610825708597076e-08
1819,9.315944993204539e-08,2.070210003424222e-09,3.1053151161586356e-09
1820,1.4002448267547152e-07,2.3732962262101864e-09,1.0679833017945839e-08
1821,1.1735171057125626e-07,0.0,9.861488514673056e-09
1822,8.120748873352568e-08,0.0,7.017931125119503e-09
1823,1.2452186126665765e-07,9.882686891060644e-10,1.9765373782121287e-09
1824,7.831634718513669e-08,1.6842225392110777e-09,3.3684450784221553e-09
1825,1.1535130539641614e-07,1.7610886082763955e-09,1.0566531649658373e-08
1826,1.0657660709512129e-07,0.0,2.554315514657901e-08
1827,1.0968555130830282e-07,1.8434546111834038e-09,1.8434546333878643e-08
1828,7.429564163885516e-08,0.0,3.485474309172787e-08
1829,1.2516836989107105e-07,0.0,2.1432940755516938e-08
1830,9.393152566872232e-08,1.0436835840010872e-09,5.218418053232199e-08
1831,7.795603096383275e-08,0.0,3.585977381703742e-08
1832,5.682587200794842e-08,4.058990921151917e-09,3.6530916958099624e-08
1833,8.571885246055899e-08,0.0,2.89590715851773e-08
1834,1.4375177670444828e-07,9.334530925997342e-10,2.8003592333902816e-08
1835,1.2705987728622858e-07,0.0,4.9916380362446944e-08
1836,1.2567802798457706e-07,1.3441500135158435e-09,3.5619976301859424e-08
1837,1.14805203565993e-07,1.3915781860163179e-09,2.99189295560609e-08
1838,1.04781889831429e-07,6.312161904276081e-10,3.787297231383491e-08
1839,7.061390050466798e-08,0.0,5.8029243632518046e-08
1840,1.0828470919932442e-07,0.0,3.630722389402763e-08
1841,1.0208672307499e-07,0.0,4.8796167106957e-08
1842,7.647422251011449e-08,6.708265054555795e-10,5.366612043644636e-08
1843,7.856191786004274e-08,1.1813822142769936e-09,3.898561473647533e-08
1844,1.0153838303494922e-07,5.488561272137815e-10,5.653217982626302e-08
1845,1.1272060618239266e-07,1.1160455892778032e-09,1.9530798311961917e-08
1846,8.957387365171599e-08,0.0,2.9272506196775794e-08
1847,1.0786447290911383e-07,1.0786447290911383e-09,2.534815024546333e-08
1848,8.447482713336285e-08,1.6090443422100975e-09,4.103063133698015e-08
1849,7.709061833338637e-08,8.379414939696517e-10,3.5193544078993e-08
1850,7.060555873295016e-08,6.788996032014438e-10,3.8018377779280854e-08
1851,3.8696633453128015e-08,6.449438760824933e-10,4.51460699935069e-08
1852,7.356916142953196e-08,1.3021090872200602e-09,3.711010876372711e-08
1853,9.137055911878633e-08,1.7915795513800958e-09,3.642878354526147e-08
1854,6.442623856628416e-08,1.0391328908454511e-09,4.1565314745639625e-08
1855,8.331890910540096e-08,5.306937111981824e-10,4.192480318465641e-08
