year,furent_VERB en_PRON,furent_VERB dans_ADP
1800,1.6349655140857067e-07,7.577436349492928e-07
1801,1.4287095950749062e-07,8.04839714874106e-07
1802,2.1259481286506343e-07,9.108009635383496e-07
1803,1.7553053055507917e-07,8.757023124417174e-07
1804,7.909923027682453e-08,7.16836780156882e-07
1805,1.7341554325867037e-07,1.1200937706234981e-06
1806,2.3341519295172475e-07,1.0431642749608727e-06
1807,1.537355700520493e-07,8.056882734308601e-07
1808,1.3369836437959748e-07,6.775561018912413e-07
1809,1.7394535234416253e-07,5.64757613119582e-07
1810,9.126494404654295e-08,7.558609240732039e-07
1811,2.1560860830049933e-07,8.749697713028581e-07
1812,9.868670503010435e-08,6.988085488046636e-07
1813,1.8117172828624462e-07,4.6299439304675616e-07
1814,2.7690759907272877e-07,1.1453904562586104e-06
1815,1.0519171667056071e-07,8.307448524647043e-07
1816,1.1356259221884102e-07,9.108183007811022e-07
1817,2.1017791596023017e-07,7.083773994054354e-07
1818,2.0504424469436344e-07,7.605711402902671e-07
1819,1.8631889986409078e-07,8.746637263357115e-07
1820,3.263282337684359e-07,7.713212539783854e-07
1821,1.85395975904612e-07,7.889190669629897e-07
1822,1.6542266223495972e-07,8.59195267821633e-07
1823,2.174191138237802e-07,7.145182507883874e-07
1824,3.0147583629513974e-07,8.934800348470162e-07
1825,4.966269671058399e-07,8.849470418681449e-07
1826,3.5320016422701883e-07,8.261889092864294e-07
1827,2.1844937236892292e-07,9.171186547973775e-07
1828,2.1004569816795993e-07,7.576321081614878e-07
1829,2.280464883597233e-07,9.241883844879339e-07
1830,1.3672254794983019e-07,6.888311645525391e-07
1831,1.886535869743966e-07,5.301010332914302e-07
1832,1.3800568865462992e-07,7.184413561844849e-07
1833,1.7259606011066353e-07,6.24357596734626e-07
1834,2.735017687882646e-07,7.14091640929837e-07
1835,3.5622144878288964e-07,7.026108619356819e-07
1836,2.4665152409397706e-07,8.790740935182839e-07
1837,2.5952934379347425e-07,7.451901069543965e-07
1838,3.118207985153276e-07,8.218434572881961e-07
1839,2.391084592545667e-07,7.431938229274238e-07
1840,2.4332211978617124e-07,7.223226816677197e-07
1841,2.41412635659799e-07,5.817016699438682e-07
1842,2.5826821570262837e-07,5.467235837386397e-07
1843,1.9610945400927449e-07,6.781133947697526e-07
1844,1.5532629049630486e-07,5.609309710052912e-07
1845,2.2209307815046486e-07,5.46862338524079e-07
1846,2.2364194762758416e-07,6.516060011563241e-07
1847,1.9847063015276944e-07,5.73299701045471e-07
1848,1.995214944372492e-07,5.189168064134719e-07
1849,2.639515628288791e-07,4.834922151530918e-07
1850,2.3014696637346788e-07,5.682389883077121e-07
1851,1.6252585055553936e-07,5.572314876189921e-07
1852,1.7969105670090357e-07,5.058693659520941e-07
1853,1.964765630191323e-07,5.613616167465807e-07
1854,2.2081573547438893e-07,5.091750949759444e-07
1855,1.6186157836273196e-07,4.6701046585440054e-07
1856,1.791307511211926e-07,5.487820544658462e-07
1857,1.9428405551025207e-07,5.657669248648745e-07
1858,1.8449158289968182e-07,6.195393780217273e-07
1859,2.0623302532385424e-07,4.903762942376488e-07
1860,1.8766453990792797e-07,5.561278726418095e-07
1861,1.730758754092676e-07,4.664088066874683e-07
1862,1.9743599466437445e-07,5.033036813983927e-07
1863,1.8380204380719078e-07,5.643921667797258e-07
1864,2.0233751740761363e-07,4.185797592981544e-07
1865,2.0615978257865208e-07,4.852756774198497e-07
1866,1.4888775012877886e-07,5.240265181782888e-07
1867,1.6693671511802677e-07,5.080893856757029e-07
1868,1.9660699024370842e-07,3.66538642992964e-07
1869,1.3527348130537575e-07,5.32791943896882e-07
1870,1.9667787398702785e-07,4.678983884787158e-07
1871,1.901190671560471e-07,4.1953649088100065e-07
1872,1.6872076002982794e-07,4.4810784061155573e-07
1873,1.556361155508057e-07,3.4180084185209125e-07
1874,1.9297986852961913e-07,4.0268866996484576e-07
1875,1.350280456335895e-07,4.085170246526104e-07
1876,1.4933657155324909e-07,5.181434516998706e-07
1877,1.5523887952895166e-07,4.638611983409646e-07
1878,1.497694057661647e-07,4.613863779923122e-07
1879,1.3562701894898055e-07,5.174598527446506e-07
1880,1.5017759835700417e-07,3.273101469858375e-07
1881,1.01798612206494e-07,3.50717130004341e-07
1882,1.2512124669683544e-07,3.713705041263893e-07
1883,1.2575485186516744e-07,3.045921346256364e-07
1884,1.2477207178562821e-07,4.2250860587955685e-07
1885,1.4631592648584046e-07,3.7384685924735095e-07
1886,1.5101105077519605e-07,3.2525457527299295e-07
1887,1.1295039570313747e-07,3.055536694773764e-07
1888,1.3885946259506454e-07,3.5697661360245547e-07
1889,1.1402548949490665e-07,2.7942510882894567e-07
1890,7.406456603575862e-08,2.7266247570878477e-07
1891,1.0198752420365054e-07,3.5440663737063005e-07
1892,1.1408692301984047e-07,3.0903765946277417e-07
1893,1.1947328459882556e-07,3.325544923882262e-07
1894,1.3359263562051638e-07,2.8672002372331917e-07
1895,1.5588211965678056e-07,3.2500517477274116e-07
1896,9.081424678925032e-08,3.4261739756402676e-07
1897,1.3751044036780513e-07,2.9075300744807464e-07
1898,1.0411373096985699e-07,3.400671175768366e-07
1899,1.2381775604808354e-07,3.1507195785707154e-07
1900,8.876700974269625e-08,3.2963188800749776e-07
1901,1.089804086973345e-07,3.453840520251106e-07
1902,1.2521223879957688e-07,2.4404110376963217e-07
1903,8.964365605379498e-08,3.8125554624457436e-07
1904,9.45934033325102e-08,3.214025809938903e-07
