year,fallait_VERB étendre_VERB,fallait_VERB détendre_VERB
1800,1.8864987794131594e-08,6.288328968651058e-09
1801,7.143547975374531e-09,0.0
1802,4.475680270843441e-09,0.0
1803,2.3404069793286908e-08,0.0
1804,9.887403784603066e-09,0.0
1805,0.0,0.0
1806,1.4408345627714425e-08,0.0
1807,8.540865792383556e-09,0.0
1808,1.8128591960930862e-08,0.0
1809,4.518061036407062e-09,0.0
1810,2.106114038724627e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,9.440030979135372e-09,0.0
1815,0.0,0.0
1816,9.270415546325239e-09,0.0
1817,7.784366928831332e-09,0.0
1818,1.668964877410417e-08,4.768470951432846e-09
1819,3.622867339458935e-08,0.0
1820,1.542642635854463e-08,1.1866481131050932e-09
1821,2.465372084259343e-08,0.0
1822,1.9048670196752937e-08,0.0
1823,5.929612356680991e-09,0.0
1824,1.0947446504872005e-08,0.0
1825,2.641632912414593e-09,8.805443041381977e-10
1826,3.699353356978463e-08,0.0
1827,2.8573547083965423e-08,0.0
1828,1.1923991571904935e-08,0.0
1829,7.715858174606183e-09,0.0
1830,2.1917355041978226e-08,0.0
1831,1.7150327380477393e-08,6.236482441579483e-09
1832,1.488296597074168e-08,0.0
1833,2.89590715851773e-08,0.0
1834,1.5868701908061666e-08,1.8669061851994684e-09
1835,1.0588323107185715e-08,0.0
1836,4.2340726480460944e-08,0.0
1837,1.2524203896191466e-08,0.0
1838,1.64116205070286e-08,6.312161904276081e-10
1839,3.4957377437194737e-08,0.0
1840,3.184844388215424e-08,1.2739377330817092e-09
1841,4.8154113585496816e-08,0.0
1842,2.1466448174578545e-08,0.0
1843,1.594865928211675e-08,5.906911071384968e-10
1844,9.330554107123135e-09,0.0
1845,3.850357188639464e-08,0.0
1846,2.6930706553685013e-08,0.0
1847,1.5101026207275936e-08,0.0
1848,1.287235473768078e-08,0.0
1849,1.508294644736452e-08,0.0
1850,4.1412874907109654e-08,0.0
1851,4.837079004005318e-08,0.0
1852,1.8229528109259263e-08,0.0
1853,1.6721408258035808e-08,0.0
1854,1.1430461910322265e-08,0.0
1855,9.021793090369101e-09,1.0613874223963649e-09
1856,2.329735160344626e-08,0.0
1857,2.6848299583548396e-08,0.0
1858,1.8595969208945462e-08,0.0
1859,3.666364989385329e-08,0.0
1860,2.4716793944890014e-08,4.577183909670879e-10
1861,3.914249901981748e-08,0.0
1862,2.0782737308877586e-08,9.035972525772706e-10
1863,2.0477944673302773e-08,4.994620828036034e-10
1864,1.8699438442126848e-08,0.0
1865,2.165148416111151e-08,0.0
1866,2.3841502994059738e-08,0.0
1867,2.038180824115443e-08,0.0
1868,2.222943251695142e-08,0.0
1869,1.3673853160867111e-08,0.0
1870,1.9495765002375265e-08,3.4404292748035914e-09
1871,5.8416475212652585e-08,0.0
1872,1.3304146229131675e-08,0.0
1873,2.334541804316359e-08,0.0
1874,1.5533982988813477e-08,1.1949218281515073e-09
1875,3.4901315615343265e-08,0.0
1876,3.748529309177684e-08,0.0
1877,2.1028373708986692e-08,6.184815992682502e-10
1878,1.3889904337816006e-08,0.0
1879,2.016077260691418e-08,0.0
1880,1.7969970400599777e-08,6.417846254436199e-10
1881,2.8587281875047665e-08,0.0
1882,8.652000893505374e-09,0.0
1883,1.3270612164717477e-08,1.8958017378167824e-09
1884,8.582206056928499e-09,3.9610181801208455e-09
1885,2.127059772760731e-08,6.445635691854079e-10
1886,1.871504551331782e-08,6.453463874400711e-10
1887,2.546280519766242e-08,1.9586774424595887e-09
1888,2.3460273723685532e-08,0.0
1889,3.4458253139746375e-08,0.0
1890,1.9007721618891082e-08,0.0
1891,1.211101796627645e-08,0.0
1892,2.2566645441202127e-08,0.0
1893,1.7859408174558666e-08,0.0
1894,2.7096618282484997e-08,6.301539290376468e-10
1895,1.9861428057765806e-08,3.0093072478365457e-09
1896,1.7691087705884456e-08,1.179405795248556e-09
1897,1.5732126712464378e-08,4.078699600285063e-09
1898,1.640922953072277e-08,0.0
1899,2.1557555740514545e-08,1.6582735185011188e-09
1900,1.1939421895590385e-08,2.595526460424935e-09
1901,1.676621685930968e-08,5.588738916095792e-10
1902,1.718599307309887e-08,0.0
1903,1.4580594509538969e-08,0.0
1904,7.524475265086039e-09,4.299700151477737e-09
1905,9.805441791854719e-09,5.160759042333041e-10
1906,2.8807432883581896e-08,1.5432553013283723e-09
1907,1.6457098794830927e-08,1.5428529565042481e-09
1908,2.3083527977973972e-08,1.4734167219643268e-09
1909,2.2554033307642385e-08,1.6502950117569526e-09
1910,2.2979847358328698e-08,5.344150677544235e-10
1911,1.5429085564733214e-08,5.320374141248863e-10
1912,1.927485904218429e-08,5.209421227725386e-10
1913,1.0075680734189518e-08,5.30298971401777e-10
1914,1.4732836284281348e-08,0.0
1915,9.424609537234119e-09,0.0
1916,2.307367097387214e-08,1.0987462051303964e-09
1917,1.6449636319748606e-08,0.0
1918,4.594550517822427e-09,0.0
1919,1.2890987832747669e-08,0.0
1920,1.8930579770426448e-08,0.0
1921,2.196096815509918e-08,5.300923255902035e-09
1922,2.0658220023506146e-08,0.0
1923,1.5923921736771263e-08,0.0
1924,2.0626599095407983e-08,0.0
1925,2.1996356736053713e-08,0.0
1926,2.5636119005412183e-08,1.1146138456652466e-09
1927,1.0034302277972529e-08,0.0
1928,2.2852082892654835e-08,2.2852082448565625e-09
1929,1.2254447234738564e-08,1.1140406375176326e-09
1930,1.575540586884472e-08,0.0
1931,2.167017854048936e-08,0.0
1932,1.2055489939655217e-08,1.0959536611565568e-09
1933,1.8353059516584835e-08,1.1470662197865522e-09
1934,2.2765002327673756e-08,0.0
1935,1.0771455727365264e-08,0.0
1936,2.0612015205756506e-08,0.0
1937,1.510934133364117e-08,3.777335333410292e-09
1938,1.8151300906765755e-08,0.0
1939,1.6823456405745674e-08,3.058810094103137e-09
1940,1.0143131667916805e-08,2.5357829169792012e-09
1941,2.066051862925633e-08,0.0
1942,6.068423541449874e-09,0.0
1943,1.4516175816936538e-08,0.0
1944,4.4984606262232774e-08,0.0
1945,1.9606536838523425e-08,0.0
1946,2.9234318077442367e-08,0.0
1947,1.3112957830685446e-08,2.3841741914054637e-09
1948,1.3046265401328583e-08,1.0871887834440486e-09
1949,2.6505922789965553e-08,4.908504269707237e-09
1950,2.7651939404904624e-08,4.2541445921528975e-09
1951,2.1322803078760444e-08,2.1322803522849654e-09
1952,8.435843135146115e-09,0.0
1953,7.54167928107563e-09,0.0
1954,1.2704297169818801e-08,9.772536113672459e-10
1955,2.627970197011109e-08,0.0
1956,1.744228228517386e-08,0.0
1957,1.6786572132332367e-08,0.0
1958,9.099467845885556e-09,8.272243445794913e-10
1959,8.525822714489095e-09,1.5501495642666896e-09
1960,6.920833239831836e-09,0.0
1961,1.876002997391879e-08,6.948159270159238e-10
1962,1.5220695814832652e-08,1.2683912808952869e-09
1963,1.0992290633282664e-08,6.466053248388448e-10
1964,2.007709554163739e-08,0.0
1965,1.094408652591028e-08,5.472043373977442e-10
1966,2.326411419062424e-08,1.1078149508847446e-09
1967,1.9228309611207806e-08,4.930335584241163e-10
1968,1.7516521566562915e-08,0.0
1969,1.8167030546578644e-08,1.3625273131978588e-09
1970,2.207388050123882e-08,1.8394900047624674e-09
1971,1.7470551227916076e-08,4.624557625731995e-09
1972,6.669190977248718e-09,2.565073486948677e-09
1973,1.4334330167287135e-08,0.0
1974,1.7439271360331077e-08,1.1251143350321513e-09
