year,étant_VERB en_PRON,étant_VERB dans_ADP,etant_VERB dans_ADP
1800,4.7162465932615305e-08,2.80459463120053e-06,2.829748035892976e-08
1801,1.904946067554647e-08,2.5716771592243504e-06,2.8574191013319705e-08
1802,4.0281122437590966e-08,2.7122622725528345e-06,5.594600338554301e-08
1803,1.3652374342143503e-08,2.287747902895987e-06,9.556662483589662e-08
1804,1.9774807569206132e-08,2.7561139077647567e-06,1.16176993358863e-07
1805,8.528632911009026e-09,2.7263197353022406e-06,3.980028839833949e-08
1806,8.645007376628655e-09,3.3312094629422973e-06,1.1814843148272303e-07
1807,1.9928686256776018e-08,2.915282076187964e-06,7.686778857873833e-08
1808,2.945896149242344e-08,2.479084945772314e-06,7.024829251633946e-08
1809,9.036122072814123e-09,2.367463967534178e-06,1.5361406902059116e-07
1810,9.360507036149102e-09,2.688805558648255e-06,7.020380143885063e-08
1811,4.512738271955641e-08,2.647472965744413e-06,8.774768911479214e-08
1812,1.0668832928217853e-08,2.4885052880563308e-06,3.200649878465356e-08
1813,8.627225156487839e-09,2.4127471682788837e-06,8.052076339026826e-08
1814,1.5733386149463513e-08,2.5330751132202067e-06,1.1013370304624459e-07
1815,1.0788894222457657e-08,1.9770647554651077e-06,9.979726822706425e-08
1816,2.5493642752394408e-08,2.306015925768179e-06,4.1716871734820415e-08
1817,9.341240669868967e-09,2.108006500023407e-06,6.227493631882908e-08
1818,1.7881765401739358e-08,2.3532403972126303e-06,9.179306559303768e-08
1819,2.3807414706311647e-08,2.6467634590687794e-06,4.7614831188980133e-08
1820,1.3053129244156025e-08,2.070700915624002e-06,6.882559233645225e-08
1821,3.747365440176509e-08,2.2188347585938573e-06,6.903041871453297e-08
1822,2.5064039732569654e-08,2.7670700006865445e-06,4.3110148340019805e-08
1823,1.2847492847356534e-08,2.4627655905717916e-06,5.237824129977753e-08
1824,1.0947446504872005e-08,2.5802289105314458e-06,2.4421225930382207e-08
1825,2.4655239627691117e-08,2.366022567201753e-06,5.987701179321903e-08
1826,1.9377566218281572e-08,2.4688779092230106e-06,3.787433389135231e-08
1827,1.474763688946723e-08,2.755042803670449e-06,4.2399456390285195e-08
1828,1.4675682002973645e-08,2.310502672742132e-06,3.3020285172824515e-08
1829,2.4862210068476998e-08,2.5573783588583865e-06,3.857929264938775e-08
1830,2.922314124020886e-08,2.488141696233015e-06,4.800944353178238e-08
1831,7.795603274018958e-09,2.256047483939483e-06,2.962329181954715e-08
1832,1.6235963684607668e-08,2.1999730464017375e-06,2.3000948257134723e-08
1833,1.50587169400751e-08,1.9564748257039355e-06,4.865123770514401e-08
1834,1.8669062740173104e-08,2.1469421511710607e-06,4.200539116538948e-08
1835,1.663879345414898e-08,2.125983989742508e-06,3.6302822081779595e-08
