year,tout_ADV en_ADP,tout_ADV dans_ADP
1845,4.604525202012155e-05,2.8838616970006115e-06
1846,4.4961982894164976e-05,2.6479908399323904e-06
1847,4.4796656311518745e-05,2.4889726830679137e-06
1848,4.633484513760777e-05,2.3805811224519857e-06
1849,4.92734725412447e-05,2.2892562014931173e-06
1850,4.515157479545451e-05,2.4603322685834428e-06
1851,4.68390503556293e-05,2.5817104472025676e-06
1852,4.4760649871022906e-05,2.620494655047878e-06
1853,4.7161540351225995e-05,2.8133771650118433e-06
1854,4.853581776842475e-05,3.013485439851138e-06
1855,5.267241158435354e-05,3.210166141798254e-06
1856,5.059615159552777e-05,2.9732596829035174e-06
1857,5.221066794547369e-05,3.0167725810770207e-06
1858,5.353143433239893e-05,2.776182498109847e-06
1859,5.6231344387924764e-05,2.9198522213391698e-06
1860,5.836184118379606e-05,2.8923225556809484e-06
1861,5.80591708967404e-05,3.2049688343249727e-06
1862,5.692843296856154e-05,2.8138019274592807e-06
1863,5.686075974153937e-05,3.0527122873991175e-06
1864,5.95059309489443e-05,2.9223866420124978e-06
1865,5.929541248406167e-05,3.019911360979677e-06
1866,5.88987309129152e-05,2.700415166145831e-06
1867,6.039323761797277e-05,2.7233978983076668e-06
1868,6.098620133343502e-05,2.6255430611854536e-06
1869,6.161682586025563e-05,2.9642961862919037e-06
1870,6.073160511732567e-05,2.8813594212806493e-06
1871,6.467765842899098e-05,2.2368199665834254e-06
1872,6.238435162231326e-05,2.4915037784012384e-06
1873,5.985465713820304e-05,2.515319124540838e-06
1874,6.044751080480637e-05,2.28887284947632e-06
1875,5.9252708524581976e-05,2.5266263321555016e-06
1876,5.895650519960327e-05,2.3712470067493996e-06
1877,5.7761850712267915e-05,2.5363929694321996e-06
1878,5.8003032791020814e-05,2.285191129658415e-06
1879,5.93801978538977e-05,2.5964633039166074e-06
1880,5.8438341056898935e-05,2.1833512846569647e-06
1881,6.110845151852118e-05,2.3176614263320516e-06
1882,6.044553992978763e-05,2.5177321560931887e-06
1883,5.797361700388137e-05,2.1738526072567765e-06
1884,6.130797828518553e-05,2.1211252203556796e-06
1885,6.137921036497573e-05,2.0845185986217984e-06
1886,6.029858514011721e-05,1.9876669057339313e-06
1887,6.213512097019702e-05,1.954760023181734e-06
1888,6.138412618383882e-05,2.1906824088091525e-06
1889,5.950313607172575e-05,2.128266999079642e-06
1890,6.181900880619651e-05,1.9931889596591645e-06
1891,6.195550804477534e-05,1.994493430856892e-06
1892,6.047860779290204e-05,1.9946405984683224e-06
1893,6.003285989208962e-05,1.9300477163142205e-06
1894,6.267573962759343e-05,2.132440926061463e-06
1895,6.087587780712056e-05,1.956651516366037e-06
1896,6.294960394370719e-05,2.0338852380064054e-06
1897,6.0901976212335285e-05,1.8750364176867151e-06
1898,6.353313983709086e-05,2.0132426357122313e-06
1899,6.098687890698784e-05,2.03580708557638e-06
1900,6.169670450617559e-05,2.020876948449768e-06
1901,6.238206378839095e-05,1.8414894640272905e-06
1902,6.914170353411464e-05,1.6812812191346893e-06
1903,6.18822032265598e-05,1.8052936781032258e-06
1904,6.041616143193096e-05,1.899929998216976e-06
1905,6.0498546190501656e-05,1.7954280906451459e-06
1906,6.083461357775377e-05,2.0098328832318657e-06
1907,6.083572134230053e-05,1.958394804546515e-06
1908,6.107803574195714e-05,2.0485403808834235e-06
1909,6.198948267410742e-05,2.026562384571662e-06
1910,6.30182230452192e-05,1.9554246932784736e-06
1911,6.030165241099894e-05,1.9392763448422556e-06
1912,6.144356029835762e-05,1.964993671776938e-06
1913,6.121294200056582e-05,1.971121236010731e-06
1914,6.00128678343026e-05,2.0036657701894e-06
1915,5.668784706358565e-05,1.5845124465840854e-06
1916,6.164405886011082e-05,1.6085644745089667e-06
1917,6.280361685639946e-05,1.8577122773422161e-06
1918,6.117644079495221e-05,1.997480808313412e-06
1919,6.138412300060736e-05,1.8618269166381651e-06
1920,6.324782316369237e-05,1.7885611356405207e-06
1921,6.098333506088238e-05,1.6909945514953506e-06
1922,6.439019307435956e-05,1.9190009936664865e-06
1923,6.159373242553556e-05,2.005352627065804e-06
1924,6.262493207032094e-05,1.8989362615684513e-06
1925,6.068794391467236e-05,1.8641911196937144e-06
1926,6.0364141972968355e-05,1.9862418980665097e-06
1927,6.361413261402049e-05,2.2086615274474752e-06
1928,6.272554037423106e-05,1.9812756022474787e-06
1929,6.228378333617002e-05,1.9517992200235312e-06
1930,6.346066993501154e-05,1.9358140832537174e-06
1931,6.31719881312165e-05,1.7370358023072185e-06
1932,6.402341932698619e-05,1.7918841876962688e-06
1933,6.223293212315184e-05,1.7102757965403725e-06
1934,6.21580429651658e-05,1.7025825229666225e-06
1935,6.214890527189709e-05,1.7832743424150976e-06
1936,6.155475011837552e-05,1.5871251122234753e-06
1937,6.106440650910372e-05,1.745128940910945e-06
1938,6.228100164662465e-05,1.6699196692115947e-06
1939,6.0090324041084386e-05,1.6792866972537013e-06
1940,5.7148940413753735e-05,1.7294039480475476e-06
1941,5.6471100378985284e-05,1.8269801671522146e-06
1942,5.767429775005439e-05,1.926724522149925e-06
1943,6.107245553721441e-05,1.8551673264255442e-06
1944,6.486137499450706e-05,1.8829271084541688e-06
1945,6.52832304695039e-05,1.9976882015271258e-06
1946,6.540830690937582e-05,2.0310891386543517e-06
1947,6.452648221966228e-05,2.263773438926364e-06
1948,6.534439580718754e-05,1.8275643753895565e-06
1949,6.503964414150687e-05,1.7042326305727329e-06
1950,6.25571947239223e-05,1.8952214020373503e-06
1951,6.33127328910632e-05,1.758065195645031e-06
1952,6.224070375537849e-05,1.7314568481197057e-06
1953,6.382738411048194e-05,1.771217171153694e-06
1954,6.607016121051856e-05,1.9281213496924465e-06
1955,6.199006202223245e-05,1.8104837806731666e-06
1956,6.389457303157542e-05,1.8244628279262542e-06
1957,6.502322594315046e-05,1.6857251807778084e-06
1958,6.42356249045406e-05,1.5568362243811862e-06
1959,6.371192284859717e-05,1.8268513031216571e-06
1960,6.48855798317527e-05,1.8693171455197444e-06
1961,6.663840576948132e-05,1.9135230502342893e-06
1962,6.73629938319209e-05,1.9006843672286777e-06
1963,6.698119796055835e-05,1.798855976176128e-06
1964,6.603295696550049e-05,1.9395691595036624e-06
1965,6.550254829562618e-05,2.018636820366737e-06
1966,6.702335667796433e-05,1.8783003099542839e-06
1967,6.545168480442953e-05,2.223581390126128e-06
1968,6.768428738723742e-05,2.079525586395903e-06
1969,6.496121523014153e-05,1.8280574636264646e-06
1970,6.72011669848871e-05,1.8275333388828585e-06
1971,6.582698279089527e-05,1.942314213465579e-06
1972,6.58715994177328e-05,1.948429769527138e-06
1973,6.535572447319282e-05,1.7543014223520004e-06
1974,6.526338211187976e-05,1.6758578453845985e-06
1975,6.50566148578946e-05,1.6934538393797993e-06
1976,6.621463262490579e-05,1.806045787589028e-06
1977,6.871485993542592e-05,1.6454988838177087e-06
1978,7.04500644133077e-05,1.8344545935633505e-06
1979,7.002588426985312e-05,1.918862011507372e-06
1980,7.097057687133201e-05,1.868140515171035e-06
1981,7.370593721134355e-05,1.8457953103734326e-06
1982,7.49208247725619e-05,1.980193189865531e-06
1983,7.586526135128224e-05,1.8244947455059446e-06
1984,7.533666212111712e-05,2.0174750261503505e-06
1985,7.574730807391461e-05,1.8714401051056484e-06
1986,7.620189899171237e-05,1.8906606840118911e-06
1987,7.709161855018465e-05,1.815523660297913e-06
1988,7.856505089876009e-05,1.816955830236111e-06
1989,7.644405650353292e-05,1.8730960675839015e-06
1990,7.855810417822795e-05,1.932091663547908e-06
1991,8.05763902462786e-05,1.9419033776557626e-06
1992,8.205904759961413e-05,1.8651161326488364e-06
1993,8.149891164066503e-05,1.9907911052996496e-06
1994,8.415354022872634e-05,1.9179633170551824e-06
1995,8.57652794366004e-05,2.02474319621615e-06
1996,8.652994165458949e-05,1.926517512629289e-06
1997,8.82188660398242e-05,1.9026141160338739e-06
1998,8.936666472436627e-05,1.934429974426166e-06
1999,8.81523255884531e-05,2.084468718521748e-06
2000,9.181288169202162e-05,1.99209043216797e-06
2001,9.201464581565233e-05,1.8804160504259926e-06
2002,9.430141290067695e-05,2.1209492899743054e-06
2003,9.602090722182766e-05,2.078877798794565e-06
2004,9.732518356031505e-05,2.0195967351810395e-06
2005,9.862356000667205e-05,2.0253361583399965e-06
2006,9.998566383728758e-05,2.131831564611275e-06
2007,0.00010604783983581001,2.205751542305734e-06
2008,0.0001069886102413875,2.218126098796347e-06
2009,0.00010820936313393759,2.362639321518145e-06
2010,0.00011428603102103807,2.50313792093948e-06
2011,0.00011602925314946333,2.443135713292577e-06
2012,0.00011851905583171174,2.7162531637259235e-06
2013,0.00011846975849039154,2.7026621864933986e-06
2014,0.00012029611207253765,2.964927432458353e-06
2015,0.0001209197289426811,2.9030488235548546e-06
2016,0.00012022182090731803,3.06972589214638e-06
2017,0.00012363550558802672,2.9679183057851333e-06
2018,0.00013045183732174337,3.19120908898185e-06
2019,0.00012800881995644886,3.204550921509508e-06
