year,comptant_VERB en_ADP,comptant_VERB dans_ADP
1800,1.8864987794131594e-08,7.545995117652637e-08
1801,8.096020565062645e-08,2.8574191013319705e-08
1802,1.3427040812530322e-08,1.0294064622939914e-07
1803,1.5602713787643552e-08,3.1205427575287104e-08
1804,9.887403784603066e-09,8.65147864459459e-08
1805,3.1271653710973624e-08,1.506725197941705e-07
1806,2.305335300434308e-08,3.45800286183362e-08
1807,3.4163463169534225e-08,8.54086508184082e-08
1808,9.064295980465431e-09,3.6257183921861724e-08
1809,4.51806094758922e-08,4.292158095609011e-08
1810,3.2761775514700275e-08,4.914266327205041e-08
1811,3.5099075201827645e-08,4.763445815569867e-08
1812,2.9339290108509886e-08,3.7340914360584065e-08
1813,5.463909147351842e-08,1.1502966579257645e-08
1814,2.8320094713762956e-08,3.776012391654149e-08
1815,1.6183340889597275e-08,9.710004889029733e-08
1816,1.622322720606917e-08,9.965696889935316e-08
1817,1.0898113522728181e-08,8.095742032310227e-08
1818,1.3113294672351117e-08,9.298518688360957e-08
1819,1.9666995698663925e-08,9.00541365922436e-08
1820,9.493184904840746e-09,6.763894333516873e-08
1821,2.070912508145284e-08,2.2681422962023134e-08
1822,3.5089655625597516e-08,5.9151133768864383e-08
1823,1.680056804787e-08,3.360113609574e-08
1824,5.894778887238772e-09,4.6316120716483056e-08
1825,1.2327619813845558e-08,5.811592274085342e-08
1826,1.145037931138404e-08,4.1397527184017235e-08
1827,6.452091128039683e-08,4.516463647519231e-08
1828,2.7516904310687096e-08,2.109629271274116e-08
1829,3.8579290873030914e-08,3.943661042171698e-08
1830,3.5485243188304594e-08,2.1917355041978226e-08
1831,6.392394169552063e-08,6.860130552510668e-08
1832,1.8941957335982806e-08,6.629684889958298e-08
1833,1.7375443306377747e-08,6.950177322551099e-08
1834,1.9602515166639023e-08,7.094243414940138e-08
1835,2.3445572594482655e-08,3.403389570166837e-08
1836,2.4194699910218276e-08,5.712637474175608e-08
1837,2.99189295560609e-08,3.270208637218275e-08
1838,2.4617431870765927e-08,2.9035945203759184e-08
1839,3.8453112694014635e-08,8.599514700335931e-08
1840,2.4204817705708592e-08,7.707323224082074e-08
1841,4.8796167106957e-08,7.512041833024341e-08
1842,3.152884486823382e-08,7.982835370512475e-08
1843,3.071593740466838e-08,5.1390127708828004e-08
1844,1.4819115712327857e-08,6.256960199957362e-08
1845,3.2923345827384765e-08,5.412821058037309e-08
1846,3.6883359255668324e-08,5.795956425913573e-08
1847,5.069630049092666e-08,7.766242049456196e-08
1848,3.218088551193432e-08,5.470750608083108e-08
1849,6.871120206142223e-08,6.368355087715827e-08
1850,4.3449574604892405e-08,8.486245395289416e-08
1851,4.837079004005318e-08,5.0305622778523684e-08
1852,2.408901877970493e-08,6.770967475588918e-08
1853,2.7470886010405593e-08,6.987160272586834e-08
1854,3.221311928314208e-08,4.6241414086711785e-08
1855,5.094659627502551e-08,6.04990830765928e-08
1856,2.5368226630462232e-08,9.526028266204634e-08
1857,3.368241247025949e-08,7.273448288103168e-08
1858,2.5447114637699997e-08,7.438387750191566e-08
1859,2.6988518087023294e-08,5.855999507531351e-08
1860,4.485640303641958e-08,6.133426211363258e-08
1861,1.1789909493131745e-08,9.431927505687554e-08
1862,1.9427341541033982e-08,5.783022422045647e-08
1863,4.345320014920162e-08,8.640693760497697e-08
1864,3.212467802882202e-08,9.062036099294346e-08
1865,5.836487165788995e-08,5.601144792422019e-08
1866,3.5518973096060336e-08,6.519920958680814e-08
1867,4.610171089325377e-08,8.540948215340904e-08
1868,4.643481721355869e-08,5.680855030831822e-08
1869,3.223122579942839e-08,6.006728647811599e-08
1870,5.6193677266946906e-08,8.715754518107133e-08
1871,4.0360472297606975e-08,1.0621177182201791e-07
1872,5.200711827857418e-08,7.196333484671413e-08
1873,2.2746816430441186e-08,7.063485474301245e-08
1874,5.7356248084339256e-08,6.153847209589003e-08
1875,5.950388154429831e-08,8.353429592489192e-08
1876,6.348315717552566e-08,8.585340993683133e-08
1877,4.1438266817905856e-08,3.710889728836264e-08
1878,3.925407554561389e-08,8.152769920277692e-08
1879,3.9099681270471365e-08,6.29260492601702e-08
1880,4.941741682529255e-08,6.096953875101008e-08
1881,5.0202052792602814e-08,6.693607446095484e-08
1882,4.1263387373646765e-08,4.0597847972279055e-08
1883,7.330432905128248e-08,7.456819872686538e-08
1884,5.479408482500503e-08,1.0430681562922928e-07
1885,6.316722789279083e-08,7.34802467761142e-08
1886,4.001147502208369e-08,5.679048187268165e-08
1887,6.528924956228366e-08,7.899999121541157e-08
1888,5.452928575344629e-08,7.545331226488372e-08
1889,5.388017498830777e-08,7.392861522959038e-08
1890,4.7191583973926754e-08,6.685474085443843e-08
1891,8.860165845447909e-08,9.943783485510949e-08
1892,4.011847920537548e-08,7.146103753186139e-08
1893,7.88277320085129e-08,7.636436560876092e-08
1894,4.0960006941759275e-08,4.7891696830504316e-08
1895,5.236194589031129e-08,9.449224513957688e-08
1896,3.8920389799912414e-08,7.43025641014583e-08
1897,4.8361721405321134e-08,7.22512503159578e-08
1898,7.242694455289467e-08,7.01636020394858e-08
1899,6.743645464268866e-08,7.462231188526403e-08
1900,4.7238582823183606e-08,7.059832363154328e-08
1901,7.153585501740167e-08,5.085752308175984e-08
1902,5.548620762851897e-08,6.776191918689278e-08
1903,4.75219366080637e-08,4.9142004243662996e-08
1904,4.6759240035498806e-08,7.309490257512152e-08
1905,2.8384174677320573e-08,5.9348727932118095e-08
1906,3.755254596171653e-08,5.8643703670924197e-08
1907,5.348557241546814e-08,5.914270051476933e-08
1908,5.697211347133191e-08,5.009616876883172e-08
1909,2.6954818821423032e-08,5.886052534265218e-08
1910,3.9012300834251334e-08,9.512588194926508e-08
1911,4.469114223137893e-08,7.342116337127891e-08
1912,5.053138707467042e-08,7.136907420601801e-08
1913,4.666630815108874e-08,6.310557920663484e-08
1914,5.022557836298347e-08,6.696743987122389e-08
1915,4.005459064426731e-08,1.2487608103128878e-07
1916,5.273981784625903e-08,1.0657838345196069e-07
1917,6.579854527899442e-08,1.0747096301777503e-07
1918,5.283732917860107e-08,7.58100862086053e-08
1919,7.918749389546065e-08,4.5118457525639144e-08
1920,7.042175331761769e-08,6.96645305886534e-08
1921,7.269837670742518e-08,5.906743072436882e-08
1922,5.01699628507879e-08,3.8365265186968145e-08
1923,4.777176476622458e-08,5.4141335414925607e-08
1924,4.2542360634278964e-08,5.1566498626698376e-08
1925,3.8493624288094e-08,6.378943306906137e-08
1926,4.0126099776216506e-08,5.01576231659584e-08
1927,3.567751882815884e-08,7.358488263164986e-08
1928,4.227635130860108e-08,6.170062105681495e-08
1929,6.127223373120216e-08,8.466708978360771e-08
1930,4.3064773080914165e-08,8.192810696527886e-08
