year,petit_ADJ hommage_NOUN,petit_ADJ dommage_NOUN
1800,2.2009151834367913e-08,1.8864987794131594e-08
1801,4.7623651688866175e-09,2.3811825844433088e-09
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,3.315576790896557e-08,1.950339223455444e-09
1804,2.4718509461507665e-09,0.0
1805,2.842877755426798e-08,0.0
1806,2.5935023018064385e-08,1.4408345627714425e-08
1807,0.0,2.8469551160981155e-09
1808,3.852325747288887e-08,0.0
1809,1.129515236897305e-08,4.518061036407062e-09
1810,7.020380277111826e-09,1.4040760554223652e-08
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,1.600324850414836e-08,0.0
1813,8.627225156487839e-09,1.4378708002027452e-08
1814,3.776012391654149e-08,0.0
1815,1.0788894222457657e-08,1.0788894222457657e-08
1816,4.6352077731626196e-09,2.7811246638975717e-08
1817,3.89218364205135e-08,6.227493631882908e-09
1818,1.9073883805731384e-08,1.9073883805731384e-08
1819,1.3456364911235141e-08,3.1053151161586356e-09
1820,5.933240565525466e-09,1.1866481131050932e-08
1821,5.5224333550540905e-08,6.903041693817613e-09
1822,1.4035862250239006e-08,8.02049271442229e-09
1823,1.087095569118901e-08,3.063632902922109e-08
1824,9.263223965660927e-09,2.105278085196005e-08
1825,9.68598712347557e-09,8.805443485471187e-09
1826,1.9377566218281572e-08,4.315912249808207e-08
1827,1.935627302884768e-08,2.7651818612639545e-08
1828,1.0089530988466322e-08,9.172301140836225e-09
1829,1.457439946506156e-08,9.430493719264632e-09
1830,1.7742621594152297e-08,3.1310507520032616e-09
1831,5.9246584527272717e-08,1.2472964883158966e-08
1832,8.117981842303834e-09,2.705993873419743e-09
1833,1.0425265983826648e-08,4.6334514003376626e-09
1834,9.334530925997342e-10,2.14694217959277e-08
1835,1.663879345414898e-08,9.832014313815307e-09
1836,4.032449929525228e-09,2.4866775305554256e-08
1837,1.0436836284100082e-08,6.262101948095733e-09
1838,5.680945491803868e-09,2.019891809368346e-08
1839,9.788065469251706e-09,4.194885327990505e-09
1840,1.9109065441114126e-09,2.8026629905752998e-08
1841,3.852329122366882e-09,1.4767261191650505e-08
1842,4.024959032733477e-09,5.366612043644636e-09
1843,4.134837805480629e-09,2.953455480181333e-09
1844,2.195424508855126e-09,9.330554107123135e-09
1845,1.1160455892778032e-09,9.48638767539478e-09
1846,7.025401593807601e-09,1.1123552745573306e-08
1847,2.6966118227278457e-09,7.011190739092399e-09
1848,1.6090443422100975e-09,1.206783295515379e-08
1849,8.379414939696517e-10,2.011059585527164e-08
1850,6.788996032014438e-09,2.3761487000228954e-08
1851,3.2247193804124663e-09,7.739326512989919e-09
1852,6.510545436100301e-09,9.765818376195057e-09
