year,était_VERB en_ADP,était_VERB dans_ADP,etait_VERB en_ADP,etait_VERB dans_ADP
1800,1.0504653801035602e-05,9.520530511508696e-06,7.545995117652637e-08,6.288328791015374e-08
1801,1.0924865819106344e-05,9.527111615170725e-06,3.5717739876872656e-08,3.095537337571841e-08
1802,8.953598808147945e-06,6.1674872995354235e-06,4.0281122437590966e-08,1.7902721083373763e-08
1803,9.765348295331933e-06,7.153844308049884e-06,3.510610602219799e-08,1.950339179046523e-08
1804,1.3372713510761969e-05,1.1044229722756427e-05,5.190887142347833e-08,4.696516775481996e-08
1805,9.984186362999026e-06,7.903199730208144e-06,2.558589917711629e-08,1.421438877713399e-08
1806,1.1884003470186144e-05,9.137772394751664e-06,4.8988376022407465e-08,3.1698360380971735e-08
1807,1.582337608851958e-05,1.1410596016503405e-05,6.832692145408714e-08,5.4092148538131823e-08
1808,1.1507123417686671e-05,8.289298421004787e-06,7.704651894258063e-08,7.93125889408941e-08
1809,1.4685957467008848e-05,1.0014282452175394e-05,1.2424668227595248e-07,6.777091510201672e-08
1810,1.2185039850010071e-05,9.540696737531107e-06,5.8503168531842675e-08,2.574139390532082e-08
1811,1.8096079656970687e-05,1.2033968232572079e-05,7.270522672797597e-08,3.760615285841595e-08
1812,1.6264635632978752e-05,1.1415650988055859e-05,8.00162425207418e-08,2.400487408849017e-08
1813,1.8729704606812447e-05,1.3976104128232691e-05,1.2365688917270745e-07,6.90177963669214e-08
1814,1.8194086806033738e-05,1.2051773410348687e-05,5.034683425719777e-08,2.8320094713762956e-08
1815,1.8778069716063328e-05,1.3793601283396129e-05,8.90083740046066e-08,4.0458352890127e-08
1816,1.708073978079483e-05,1.0679518709366675e-05,4.1716869958463576e-08,3.244645441213834e-08
1817,2.1392997950897552e-05,1.245031671714969e-05,6.227493865029743e-08,4.359245375784582e-08
1818,2.044005123025272e-05,1.3855984434485435e-05,6.199012148044858e-08,5.0068943213688044e-08
1819,2.01058792299591e-05,1.3600244528788608e-05,6.728182455617571e-08,4.968504185853817e-08
1820,2.193993714172393e-05,1.3784104339720216e-05,9.730514616279606e-08,7.357218212433736e-08
1821,2.181755735364277e-05,1.551409332023468e-05,1.0255947557880063e-07,5.1279737789400315e-08
1822,2.3111049813451245e-05,1.6510184650542215e-05,7.418955760840618e-08,4.6117833107928163e-08
1823,2.4961691451608203e-05,1.735300975269638e-05,4.249555374258307e-08,3.9530749340599414e-08
1824,2.4017856048885733e-05,1.5872954463702627e-05,5.136878566958103e-08,4.29476756380609e-08
1825,2.3954327843966894e-05,1.6276861060759984e-05,5.811592274085342e-08,4.57883047033647e-08
