year,pouvant_VERB étendre_VERB,pouvant_VERB détendre_VERB
1800,5.973912209356058e-08,0.0
1801,2.3811825844433088e-09,0.0
1802,2.0140561218795483e-08,0.0
1803,4.4857802805609026e-08,0.0
1804,7.4155526164076946e-09,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.039466551195801e-08,0.0
1809,1.581321384946932e-08,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.1337665856435706e-08,0.0
1813,2.300593315851529e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,4.8550024445148665e-08,0.0
1816,4.1716869958463576e-08,0.0
1817,7.784366928831332e-09,0.0
1818,3.099506074022429e-08,1.1921177378582115e-09
1819,2.794783426907088e-08,0.0
1820,3.5599443393152796e-09,1.1866481131050932e-09
1821,1.676452932031225e-08,0.0
1822,5.012807946513931e-09,0.0
1823,5.0401702367253165e-08,0.0
1824,1.9368560089105813e-08,0.0
1825,7.044354433105582e-09,0.0
1826,1.4973572604048968e-08,0.0
1827,3.6869092223668076e-09,0.0
1828,1.7427371545863934e-08,0.0
1829,1.0287811491593857e-08,0.0
1830,1.3567886369969528e-08,0.0
1831,1.870944643656003e-08,0.0
1832,1.488296597074168e-08,0.0
1833,1.3900354645102198e-08,0.0
1834,1.8669062740173104e-08,0.0
1835,5.294161553592858e-09,0.0
1836,1.008112526790228e-08,0.0
1837,2.0177884252348122e-08,0.0
1838,5.049729523420865e-09,0.0
1839,1.8177836125232716e-08,0.0
1840,1.2739377552861697e-08,0.0
1841,1.5409316489467528e-08,0.0
1842,1.0062397137744483e-08,0.0
1843,1.063243981747064e-08,0.0
1844,1.1525978393933656e-08,0.0
1845,1.6182660544927785e-08,0.0
1846,1.2879903366069811e-08,0.0
1847,5.9325460100012606e-09,0.0
1848,2.413566591030758e-08,0.0
1849,8.379414495607307e-09,0.0
1850,1.968808760466345e-08,0.0
1851,1.2898877521649865e-08,6.449438760824933e-10
1852,1.9531636752390114e-08,0.0
1853,1.911018188138769e-08,0.0
1854,9.871762074453727e-09,0.0
1855,3.714855978387277e-09,3.1841622671890946e-09
1856,1.2425253714809514e-08,0.0
1857,2.4407544874094356e-09,0.0
1858,5.3830437884982985e-09,0.0
1859,1.8331824946926645e-08,0.0
1860,6.408057640072684e-09,0.0
1861,2.2165028923382124e-08,0.0
1862,5.421583626485926e-09,0.0
1863,3.995696662428827e-09,0.0
1864,3.3563094525845827e-09,0.0
1865,1.1296426905005319e-08,4.706844358715045e-10
1866,8.75810357570117e-09,0.0
1867,1.5043715606566366e-08,4.85281148598915e-10
1868,8.397785578040384e-09,0.0
1869,1.953407746668745e-08,0.0
1870,5.734048791339319e-09,5.734048791339319e-10
1871,1.4869648623516696e-08,0.0
1872,7.256807155187062e-09,0.0
1873,5.387403856360606e-09,5.986004469882289e-10
1874,0.0,0.0
1875,8.010138330405425e-09,5.721527140956084e-10
1876,8.464420275799966e-09,6.04601479992084e-10
1877,1.6699003069220453e-08,0.0
1878,3.0195443923020093e-09,3.0195443923020093e-09
1879,0.0,6.10932526790009e-10
1880,1.0268554007097919e-08,0.0
1881,7.669758161910067e-09,0.0
1882,5.989846840748214e-09,0.0
1883,8.21514056781325e-09,0.0
1884,7.2618666635548834e-09,3.300848483434038e-09
1885,5.80107206715752e-09,6.445635691854079e-10
1886,2.5813855497602844e-09,0.0
1887,1.3057849024278312e-08,0.0
1888,8.876860135842435e-09,0.0
1889,9.397704836544563e-09,0.0
1890,5.243509182406569e-09,0.0
1891,1.3385862196457765e-08,0.0
1892,9.402768341715273e-09,0.0
1893,1.0469308087124318e-08,0.0
1894,6.9316934414587195e-09,0.0
1895,3.0093072478365457e-09,6.018614495673091e-10
1896,6.486732040400511e-09,0.0
1897,1.1653427112179315e-09,0.0
1898,6.224190496340043e-09,0.0
1899,5.527578395003729e-09,0.0
1900,1.0901211489056095e-08,0.0
1901,1.2295225282343836e-08,5.588738916095792e-10
1902,1.4239823542538943e-08,0.0
1903,4.860198465905796e-09,0.0
1904,4.837162670412454e-09,0.0
1905,2.580379465655369e-09,0.0
1906,1.0288369267641428e-08,0.0
1907,4.6285588695127444e-09,0.0
1908,1.1296195090437777e-08,0.0
1909,6.60118004702781e-09,5.500983557560346e-10
1910,5.878565634276356e-09,5.344150677544235e-10
1911,4.25629931299909e-09,5.320374141248863e-10
1912,8.856016364688912e-09,0.0
1913,9.015082902408267e-09,5.30298971401777e-10
