year,souffrant_VERB en_ADP,souffrant_VERB dans_ADP
1800,3.144164484325529e-09,2.5153315874604232e-08
1801,2.3811825844433088e-09,7.143547975374531e-08
1802,1.3427040812530322e-08,4.4756802708434407e-08
1803,5.851017448321727e-09,3.1205426687108684e-08
1804,9.887403784603066e-09,2.7190360185613827e-08
1805,0.0,1.1371510844071508e-08
1806,2.881669125542885e-09,8.35684019762084e-08
1807,2.8469550272802735e-08,5.693910276605152e-08
1808,3.172503681980743e-08,3.172503681980743e-08
1809,2.25903047379461e-08,5.873479480555943e-08
1810,2.3401267590372754e-09,7.722418082778404e-08
1811,2.5070767684098882e-09,3.259199843341776e-08
1812,1.0668832928217853e-08,5.601137464950057e-08
1813,5.751483289628823e-09,6.326631663000626e-08
1814,9.440031423224582e-09,1.0698701968792079e-07
1815,2.697223555614414e-09,2.6972236000233352e-08
1816,6.952811659743929e-09,3.9399267848239106e-08
1817,1.5568734412774177e-08,3.58080876061706e-08
1818,4.768470951432846e-09,2.6226590454925258e-08
1819,1.7596784473994376e-08,3.519356894798875e-08
1820,1.0679833017945839e-08,4.50926265216367e-08
1821,2.9584463767662328e-09,3.155676253641104e-08
1822,1.0025615893027862e-08,4.0102463572111446e-08
1823,3.9530747564242574e-09,7.906149657177508e-08
1824,1.6000115010683658e-08,6.14741253457396e-08
1825,1.5849797252442954e-08,3.6982861217893515e-08
1826,2.9947145208097936e-08,5.6371099788066203e-08
1827,1.7512819638909605e-08,6.175573180611238e-08
1828,1.1006761724274838e-08,6.604056795866953e-08
1829,1.2859763920403111e-08,2.7434163218931218e-08
1830,1.7742621594152297e-08,3.548524252217078e-08
1831,2.3386808933878456e-08,6.080570358335535e-08
1832,4.329590197471589e-08,3.6530916958099624e-08
1833,2.6642345218874652e-08,2.895907214028881e-08
1834,2.0535967593104942e-08,4.2005389389032644e-08
1835,1.1344631900556124e-08,4.386591001548368e-08
1836,2.8227150394855016e-08,5.9142600150607905e-08
1837,1.1828414692161004e-08,3.5485244076483013e-08
1838,2.4617431648721322e-08,3.597932263232906e-08
1839,1.0487212875887053e-08,3.775396728578073e-08
1840,1.8472096741106725e-08,3.3122379505812205e-08
1841,1.5409316489467528e-08,5.1364387410046675e-08
1842,2.0124794275488966e-08,4.561620237097941e-08
1843,6.497602011990011e-09,5.434358252287552e-08
1844,3.0735943568060975e-08,5.872760411307354e-08
1845,2.3436957263811564e-08,3.850357155332773e-08
1846,1.3465353276842507e-08,5.0934160666926687e-08
1847,3.289866512545814e-08,2.2112216058189915e-08
1848,3.378993085334514e-08,4.022610866627474e-08
1849,1.508294644736452e-08,3.6869426622843093e-08
1850,1.5614691761811628e-08,2.647708541303473e-08
1851,1.6768540334055615e-08,2.4507867735223954e-08
1852,1.6276363368206148e-08,2.799534470909748e-08
1853,1.5527023222716707e-08,4.3595103749183295e-08
1854,4.1045748133683446e-08,6.33871053423718e-08
1855,1.3798036491152743e-08,5.7845614520601885e-08
1856,3.572260709461261e-08,7.714012184578678e-08
1857,2.147864025525692e-08,3.612316845647001e-08
1858,2.397901255335455e-08,6.85114613929727e-08
1859,1.3748867822016564e-08,4.6847993262488785e-08
1860,3.707519011242333e-08,4.348324561531669e-08
1861,3.5369726703038395e-08,4.527325359049428e-08
1862,2.936691068100572e-08,5.2860439692103967e-08
1863,3.44628843240713e-08,4.545104914654985e-08
1864,3.068625886726295e-08,5.8975154315632494e-08
1865,3.012380389577629e-08,6.307171596109384e-08
1866,2.432806489593986e-08,6.227984528095476e-08
1867,2.620518202434141e-08,3.5425525624077636e-08
1868,1.7289560005906424e-08,3.309715523869272e-08
1869,2.0022428159904848e-08,3.369628076566045e-08
1870,2.1789385407089412e-08,5.103303379883073e-08
1871,4.142259157902117e-08,2.6552942955504477e-08
1872,2.902722828768134e-08,3.507456869389358e-08
1873,3.5317424540437514e-08,3.471882709105145e-08
1874,1.0156835372754358e-08,3.4652731351059174e-08
1875,1.602027666081085e-08,2.1741803024610817e-08
1876,1.9951848173604958e-08,3.0230073333470386e-08
1877,1.6699003069220453e-08,2.2265338017746217e-08
1878,2.35524461600356e-08,2.7779808675632012e-08
1879,1.7717043832021773e-08,3.665595116331133e-08
1880,1.6044616302224313e-08,3.208923016195797e-08
1881,1.743126887276958e-08,3.2073533162702006e-08
1882,1.0648616211028639e-08,3.9932309459089765e-08
1883,1.8958017378167824e-08,2.780509184008295e-08
1884,2.706695667598069e-08,2.77271263726675e-08
1885,2.0626034213933053e-08,3.287274097374393e-08
1886,2.2587123282846733e-08,3.355801325710672e-08
1887,1.0446279397058333e-08,2.7421483750345033e-08
1888,2.6630582183884144e-08,3.3605258797919646e-08
1889,1.628935564212952e-08,2.0674951528576457e-08
1890,1.4419650362640368e-08,4.8502460714416884e-08
1891,1.1473596295275001e-08,2.4859458491732767e-08
1892,2.8835157372952835e-08,2.0059239380643135e-08
1893,3.0176241949675386e-08,2.3401982685022915e-08
1894,2.142523314319078e-08,3.276800453200224e-08
1895,2.828748768557432e-08,2.8287487907618925e-08
1896,2.0049897742069334e-08,3.184395680477792e-08
1897,6.409385022720926e-09,2.7968225069230357e-08
1898,2.8291774478717002e-08,3.281845795122251e-08
1899,1.5477219506010442e-08,3.592926134388108e-08
1900,2.076421168339948e-08,2.5955265159360863e-08
1901,1.9001712259214543e-08,1.5089595351014395e-08
1902,1.5712908307818907e-08,1.3748794658319241e-08
1903,5.940242076007962e-09,9.1803746826713e-09
1904,2.579820090886642e-08,3.171028772896989e-08
1905,2.786809877308727e-08,3.767354073147544e-08
1906,1.903348206822031e-08,3.600929332492342e-08
1907,1.4399961223432456e-08,2.108565766434367e-08
