year,fut_VERB en_ADP,fut_VERB dans_ADP
1800,1.2982254702365026e-05,6.7410887822916266e-06
1801,1.0805806596181355e-05,6.891142220410984e-06
1802,1.123171932704281e-05,7.718310371274129e-06
1803,1.0128111171070486e-05,7.046575774438679e-06
1804,1.0624014976201579e-05,8.57485065353103e-06
1805,1.1840586012112908e-05,8.03965849627275e-06
1806,1.1947399798373226e-05,8.385657565668225e-06
1807,1.0986399502144195e-05,7.71240138419671e-06
1808,1.1529784387676045e-05,7.679725058551412e-06
1809,1.2210060049255844e-05,7.091096904332517e-06
1810,9.877675438474398e-06,7.90260764915729e-06
1811,1.4335464584291913e-05,9.602104000805411e-06
1812,1.1629027540038805e-05,7.652220119780395e-06
1813,1.2707901987596415e-05,8.55533107824158e-06
1814,1.4122287211648654e-05,1.0553954780334607e-05
1815,1.2102442269679159e-05,8.617629646323621e-06
1816,1.1048017768189311e-05,7.5971056503476575e-06
1817,1.214828353113262e-05,7.949395694595296e-06
1818,1.4556949281541165e-05,9.277060598833486e-06
1819,1.3572296666097827e-05,9.858340490609407e-06
1820,1.4288430065789726e-05,8.452494512312114e-06
1821,1.374296971334843e-05,8.23434311314486e-06
1822,1.4299535905593075e-05,8.513752618455328e-06
1823,1.6023788703023456e-05,8.466498002235312e-06
1824,1.6504538507433608e-05,9.115012289839797e-06
1825,1.677084765105974e-05,9.35226125875488e-06
1826,1.454726680094609e-05,7.73429110267898e-06
1827,1.263688136532437e-05,8.145304491335992e-06
1828,1.2108354894735385e-05,7.47083959140582e-06
1829,1.3613346709462348e-05,7.760439075354952e-06
1830,1.2673449418798555e-05,7.727433512627613e-06
1831,1.1712114428519271e-05,6.56077963867574e-06
1832,1.1978081602137536e-05,6.996347110543866e-06
1833,1.250684363185428e-05,6.475248483184259e-06
1834,1.2726699424092658e-05,6.705926807626383e-06
1835,1.3611289432446938e-05,6.799215952923987e-06
1836,1.4981896129029337e-05,7.425756848533638e-06
1837,1.4022237337485421e-05,6.727584604959702e-06
1838,1.5849838746362366e-05,7.905982783995569e-06
1839,1.26517734315712e-05,7.364120847341837e-06
1840,1.301199972658651e-05,6.6747966229741e-06
1841,1.3120390576659702e-05,5.983309165458195e-06
1842,1.3340726582100615e-05,6.269544428505469e-06
1843,1.3051911082584411e-05,6.838431090727681e-06
1844,1.2379999134282116e-05,6.517117526527727e-06
1845,1.1347951840434689e-05,5.7576789913582616e-06
1846,1.1853609066747595e-05,6.593924808839802e-06
1847,1.180468825623393e-05,6.361846772051649e-06
1848,1.084334962797584e-05,5.6010835578490514e-06
1849,1.000502106762724e-05,4.642196017812239e-06
1850,1.0300943358743098e-05,5.386389602790587e-06
1851,1.0722837032517418e-05,5.609721938526491e-06
1852,1.0151242349820677e-05,5.19476407134789e-06
1853,1.1790384633059148e-05,6.088384452596074e-06
1854,1.2642610272450838e-05,5.883051017008256e-06
1855,1.1657748473226093e-05,5.724592938349815e-06
1856,1.0887629287026357e-05,5.17097669217037e-06
1857,1.2703150787274353e-05,5.434095783130033e-06
1858,1.1725247532012872e-05,5.516641067515593e-06
1859,1.120074466598453e-05,5.034631612943485e-06
1860,1.1015450581908226e-05,5.3191452025203034e-06
1861,1.0236942216579337e-05,4.465546226128936e-06
1862,1.0955212928820401e-05,5.30682655153214e-06
1863,1.0393805496278219e-05,5.06754213347449e-06
1864,1.0321610716346186e-05,4.286007424525451e-06
1865,1.0017106433224399e-05,4.392898063088069e-06
1866,1.0576382919680327e-05,4.635955974663375e-06
1867,9.540141945763025e-06,4.212725798424799e-06
1868,9.943966688297223e-06,4.44045281255967e-06
1869,9.21031733014388e-06,4.12217832490569e-06
1870,1.1174513929290697e-05,4.645726221497171e-06
1871,7.405084943457041e-06,3.1268746170098893e-06
1872,8.55879898153944e-06,3.6157041449769167e-06
1873,9.18731984711485e-06,3.6167439247947186e-06
1874,8.516804882674478e-06,3.403734808671288e-06
1875,8.896402505342849e-06,3.5702330478670774e-06
1876,8.723190148884896e-06,3.5085024592262926e-06
1877,8.940151928982232e-06,3.7745930967503227e-06
1878,9.515188139630482e-06,3.808853307418758e-06
1879,8.893344784155488e-06,3.575177061065915e-06
