year,empêchant_VERB en_ADP,empêchant_VERB dans_ADP
1800,6.288328968651058e-09,9.432493897065797e-09
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,7.801356893821776e-09
1804,1.4831105232815389e-08,0.0
1805,8.528632911009026e-09,0.0
1806,0.0,3.458002950651462e-08
1807,1.1387820464392462e-08,1.1387820464392462e-08
1808,0.0,0.0
1809,0.0,6.7770917766551975e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,3.4508900625951355e-08,8.627225156487839e-09
1814,3.1466772298927026e-08,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,2.0858434979231788e-08
1817,0.0,0.0
1818,7.152706427149269e-09,1.5497530370112145e-08
1819,0.0,0.0
1820,1.779972080839798e-08,1.1866481131050932e-09
1821,2.9584463767662328e-09,9.86148829262845e-10
1822,1.0025615893027862e-09,2.0051231786055723e-09
1823,0.0,9.882686669016039e-09
1824,6.736890156844311e-09,0.0
1825,0.0,8.805443041381977e-10
1826,2.642395191543301e-09,7.0463874735082754e-09
1827,8.295545583791863e-09,9.217273055917019e-10
1828,1.834460228167245e-08,9.172301251858528e-10
1829,2.571952872898464e-09,0.0
1830,4.174734336004349e-09,0.0
1831,1.5591206103948707e-09,1.091384405071949e-08
1832,0.0,1.3529969367098715e-09
1833,1.1583628500844156e-09,1.3900354645102198e-08
1834,9.334530925997342e-10,7.467624740797874e-09
1835,1.8151411040889798e-08,0.0
1836,6.720750067579218e-10,3.36037508930076e-09
1837,7.653680356156656e-09,0.0
1838,6.312161904276081e-10,3.787297142565649e-09
1839,2.0974426639952526e-09,1.3982950353153e-09
1840,6.369688665408546e-10,7.64362617644565e-09
1841,5.1364388298225094e-09,7.0626033910059505e-09
1842,0.0,6.708265054555795e-10
1843,6.497602011990011e-09,5.906910960362666e-09
1844,1.5916826967554698e-08,1.6465684371524958e-09
1845,3.9061593959388574e-09,5.580227835366713e-09
1846,3.5127007969038004e-09,4.0981511517657054e-09
