year,évitant_VERB en_ADP,évitant_VERB dans_ADP
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,2.4616241489638924e-08
1803,0.0,2.7304748684287006e-08
1804,0.0,7.4155526164076946e-09
1805,2.842877711017877e-09,0.0
1806,0.0,5.4751712497136396e-08
1807,5.693910232196231e-09,1.1387820464392462e-08
1808,0.0,6.798221985349073e-09
1809,2.259030518203531e-09,2.259030518203531e-09
1810,0.0,2.574139479349924e-08
1811,1.504245972228091e-08,8.022645658911642e-08
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,9.440030979135372e-09
1815,0.0,0.0
1816,0.0,0.0
1817,1.2454987263765815e-08,1.556873407970727e-09
1818,0.0,1.4305412854298538e-08
1819,1.035105001712111e-09,1.035105001712111e-09
1820,4.746592452420373e-09,1.779972080839798e-08
1821,8.875339574387908e-09,9.86148829262845e-10
1822,0.0,6.015369535816717e-09
1823,9.882686891060644e-10,3.9530747564242574e-09
1824,1.6842225392110777e-09,8.421112696055388e-10
1825,0.0,0.0
1826,1.6735169694470642e-08,1.7615968683770689e-09
1827,0.0,0.0
1828,1.6510142586412258e-08,1.2841221419535032e-08
1829,9.430493719264632e-09,7.715858174606183e-09
1830,1.1480519646056564e-08,8.349468672008697e-09
1831,1.5591206548037917e-08,1.5591206103948707e-09
1832,1.0823975493678972e-08,0.0
1833,3.4750886612755494e-09,1.50587169400751e-08
1834,0.0,5.600718555598405e-09
1835,1.5882484660778573e-08,2.117664621437143e-08
1836,1.4113575197427508e-08,4.704525213838906e-09
1837,6.957890930081589e-10,3.478945576063097e-09
1838,3.1560809521380406e-09,3.787297142565649e-09
1839,8.38977065598101e-09,4.194885327990505e-09
1840,1.6561189752906103e-08,2.4204817705708592e-08
1841,4.494383976094696e-09,4.494383976094696e-09
1842,3.3541325272778977e-09,6.708265054555795e-09
1843,1.1813821920725331e-08,3.5441467538532834e-09
1844,6.037417232818143e-09,1.6465684371524958e-09
