year,serait_VERB en_ADP,serait_VERB dans_ADP
1800,1.7607320614843047e-06,8.394919177590054e-07
1801,1.8096988014804083e-06,7.572160711788456e-07
1802,2.1975590698275482e-06,8.414278909185668e-07
1803,1.5875760936978622e-06,7.177248448897444e-07
1804,2.9093685043335427e-06,1.0060433623948484e-06
1805,1.7000409116008086e-06,9.296210237152991e-07
1806,1.9508900095388526e-06,9.538324547975208e-07
1807,3.154426167384372e-06,1.0106690524480655e-06
1808,2.4224329990829574e-06,1.0990459031745559e-06
1809,2.2748438368580537e-06,8.7198577602976e-07
1810,2.461813437548699e-06,9.851933100435417e-07
1811,2.5296403691754676e-06,1.0830572136910632e-06
1812,2.8245735848031472e-06,1.3256025113150827e-06
1813,3.3732449082890525e-06,1.581657897986588e-06
1814,2.5267818273277953e-06,1.4474715044343611e-06
1815,2.7754431357607245e-06,1.127439418269205e-06
1816,2.8437000310077565e-06,9.061831178769353e-07
1817,2.6357865863246843e-06,1.029093368742906e-06
1818,2.3162847355706617e-06,1.1420487453506212e-06
1819,3.126017190879793e-06,1.4232693956728326e-06
1820,3.183776925652637e-06,1.3693919527213438e-06
1821,3.295709348094533e-06,1.3184809404265252e-06
1822,3.537037173373392e-06,1.5419396959259757e-06
1823,3.1407178084918996e-06,1.2303945595704135e-06
1824,3.079600901401136e-06,1.2699038052232936e-06
1825,3.2870718769117957e-06,1.263581111743406e-06
1826,3.61127354153723e-06,1.3370520264288643e-06
1827,4.133025413466385e-06,1.50425898937101e-06
1828,3.945924163417658e-06,1.430879024155729e-06
1829,4.537781933322549e-06,1.7052046814569621e-06
1830,4.062016614625463e-06,1.7189469190270756e-06
1831,3.698234195326222e-06,1.34240281113307e-06
1832,4.000812168669654e-06,1.7778379515220877e-06
1833,4.07975403504679e-06,1.7317524907412007e-06
1834,3.970909347117413e-06,1.6475447637276375e-06
1835,3.758854745683493e-06,1.6003493783500744e-06
1836,3.7649642763426527e-06,1.4926786207070109e-06
1837,4.036968221043935e-06,1.4743770861969097e-06
1838,4.005697974207578e-06,1.5527917867075303e-06
1839,3.846010713459691e-06,1.7206020856974646e-06
1840,4.1721459638210945e-06,1.7535752476760536e-06
1841,4.6831482904963195e-06,1.726485493236396e-06
1842,4.722618541563861e-06,1.7414655530956225e-06
1843,4.475666628422914e-06,1.6108145928228623e-06
1844,4.583497684507165e-06,1.64107984801376e-06
1845,4.41563452113769e-06,1.6841128172018216e-06
1846,4.643790362024447e-06,1.639845777390292e-06
1847,4.6333184400282335e-06,1.6400792901549721e-06
1848,4.436135441210354e-06,1.6621428358121193e-06
1849,4.762859589391155e-06,1.6549344081795425e-06
1850,4.49295748694567e-06,1.6015242181310896e-06
1851,4.210193765175063e-06,1.4156518091112957e-06
1852,3.936926987080369e-06,1.347031798104581e-06
1853,3.841743819066323e-06,1.4756643622604315e-06
1854,3.855182967527071e-06,1.3997120049680234e-06
1855,3.861327513732249e-06,1.4185443433234468e-06
1856,3.91964977097814e-06,1.431492819392588e-06
1857,3.819292487605708e-06,1.3272823480292573e-06
1858,3.7911308936600108e-06,1.3937188896306907e-06
1859,4.045731657242868e-06,1.388126406709489e-06
1860,4.083305611857213e-06,1.1333107750033378e-06
1861,4.1939065340557136e-06,1.3982833024783758e-06
1862,4.128084128751652e-06,1.4904836689311196e-06
1863,3.896803264069604e-06,1.3410557357929065e-06
1864,3.916333753295476e-06,1.429787857887277e-06
1865,3.88926537198131e-06,1.4035809954293654e-06
1866,3.7961513044137973e-06,1.4509257653116947e-06
1867,3.852646841551177e-06,1.3845070725437836e-06
1868,3.959803052566713e-06,1.375754891341785e-06
1869,4.1207135836884845e-06,1.4982637139837607e-06
1870,4.188149432593491e-06,1.2895875443064142e-06
1871,4.423720383783802e-06,1.3021563063375652e-06
1872,4.155731403443497e-06,1.264498678210657e-06
1873,4.202175205136882e-06,1.331287421635352e-06
1874,4.004183210781775e-06,1.2863333722634707e-06
1875,4.0588515730632935e-06,1.22211815778428e-06
1876,3.866426595777739e-06,1.3313324416230898e-06
1877,3.739958174264757e-06,1.2072761137460475e-06
1878,3.994857252109796e-06,1.2899492958240444e-06
1879,3.873923105857102e-06,1.3721544291911414e-06
1880,3.891781943821115e-06,1.4375975752045633e-06
1881,3.8007137845852412e-06,1.2724826774501707e-06
1882,4.163608991802903e-06,1.178003117274784e-06
1883,3.7644301755790366e-06,1.1855080401801388e-06
1884,3.8870794014655985e-06,1.2985537978238426e-06
1885,3.6946382806490874e-06,1.261410943698138e-06
1886,3.7881832213315647e-06,1.079664457392937e-06
1887,3.820726760750404e-06,1.196751895804482e-06
1888,3.7752020034531597e-06,1.2237386499691638e-06
1889,3.7897812035225797e-06,1.144013936027477e-06
1890,3.910347004421055e-06,1.4360660998136154e-06
1891,3.952016413677484e-06,1.1709441878338112e-06
1892,3.778032350965077e-06,1.1277053317826358e-06
1893,3.949392521462869e-06,1.2329149967627018e-06
1894,3.971229943999788e-06,1.225649384650751e-06
1895,3.896450834872667e-06,1.065294782165438e-06
1896,3.830709829344414e-06,1.1281016440989333e-06
1897,3.892244876624318e-06,1.1449492376414128e-06
1898,3.793926907746936e-06,1.1718452697095927e-06
1899,3.855485829262761e-06,1.0651643833625712e-06
1900,3.574040192688699e-06,1.1129617405458703e-06
1901,3.8919979488127865e-06,1.0870097639781306e-06
