year,apprenant_VERB en_ADP,apprenant_VERB dans_ADP
1800,9.432493452976587e-09,3.144164484325529e-09
1801,1.4287095284615248e-08,1.1905912922216544e-08
1802,1.3427040812530322e-08,2.2378401354217203e-08
1803,1.950339223455444e-09,9.751696339321825e-09
1804,7.4155526164076946e-09,0.0
1805,2.842877755426798e-08,5.685755422035754e-09
1806,0.0,0.0
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,2.7192887497307083e-08,1.3596443970698147e-08
1809,4.5180611252249037e-08,6.7770917766551975e-09
1810,5.8503167643664256e-08,2.8081521108447305e-08
1811,1.0028307073639553e-08,2.0056613703189896e-08
1812,1.3336041604361526e-08,1.0668832928217853e-08
1813,1.7254450312975678e-08,2.0130190847567064e-08
1814,4.090680105761635e-08,5.3493510066005e-08
1815,1.6183340889597275e-08,1.6183340889597275e-08
1816,5.3304887615013286e-08,2.3176038865813098e-08
1817,1.5568734412774177e-08,2.490997452753163e-08
1818,3.099506162840271e-08,9.298518444111892e-08
1819,3.9333991175283245e-08,7.556266723440785e-08
1820,3.44127952800477e-08,7.594547923872597e-08
1821,4.832129163467869e-08,3.648750501739073e-08
1822,5.1130641054442094e-08,4.0102463572111446e-08
1823,4.4472091786929013e-08,3.162459771832715e-08
1824,4.37897851313096e-08,2.4421225930382207e-08
1825,2.289415279577156e-08,3.962449279804048e-08
1826,3.8755129327938675e-08,1.3211976845894924e-08
1827,5.530363811345751e-08,3.2260455640198415e-08
1828,1.7427371545863934e-08,2.4765213879618386e-08
1829,1.8860987438529264e-08,3.8579290873030914e-08
1830,2.0873671235932534e-08,1.878630406793036e-08
1831,4.5214498811674275e-08,1.4032084827420022e-08
1832,2.0294954605759585e-08,3.3824925083081325e-08
1833,2.2008894817737712e-08,3.359252431778259e-08
1834,3.26708584630353e-08,1.6802156110884425e-08
1835,2.193295500774184e-08,9.075705520444899e-09
1836,2.822715106098883e-08,3.2931674442959746e-08
1837,1.3219993100221927e-08,1.1132625488130543e-08
1838,3.8504188504262515e-08,1.6411620729073206e-08
1839,4.4745439464755066e-08,1.7478688718597368e-08
1840,4.203994374840647e-08,1.9746034474188434e-08
1841,3.9165346077396634e-08,2.953452282739022e-08
1842,3.152884486823382e-08,1.677066219230028e-08
1843,2.953455480181333e-08,3.0125247241219455e-08
1844,3.951764027121385e-08,1.9758820468673832e-08
1845,3.627148181806206e-08,1.3950570143528296e-08
1846,3.454155717008689e-08,1.7563504428608212e-08
1847,3.289866423727972e-08,3.020205241455187e-08
1848,3.861706510122076e-08,2.574470903127235e-08
1849,2.513824526317876e-08,1.5920887719289567e-08
1850,4.5486274302675156e-08,1.0862393651223101e-08
1851,1.5478653025979838e-08,5.611011744122152e-08
1852,1.6927418577949993e-08,1.3021090872200602e-08
1853,3.2845624886590485e-08,2.806807875010975e-08
1854,3.3252251618876016e-08,2.5458755104068587e-08
1855,2.7596072982305486e-08,2.175844215912548e-08
1856,2.847454005916461e-08,2.0708757375587084e-08
1857,4.149282695209422e-08,1.757343248698362e-08
1858,3.034079121277955e-08,5.138359782108637e-08
1859,2.9534605650027856e-08,1.3748868266105774e-08
1860,3.661747269290139e-08,3.4786598490654796e-08
1861,2.8295782605880504e-08,6.13075279431996e-09
1862,3.885468347064602e-08,1.0843167252971853e-08
1863,2.6970952582416885e-08,1.0988165932701577e-08
1864,1.534312965567608e-08,1.7261021389991527e-08
1865,3.62427015065947e-08,1.835669261041062e-08
1866,3.3086167805507216e-08,2.4814626797819983e-08
1867,1.649955905236311e-08,2.426405742994575e-08
1868,4.297690336940718e-08,1.2843672791973404e-08
1869,2.9301114423674335e-08,2.2952540312815017e-08
1870,2.6376624884250077e-08,1.2614907785035712e-08
1871,2.549082545044712e-08,2.1242353653860846e-08
1872,2.7817760095416588e-08,2.116568742493996e-08
1873,3.4120223979527964e-08,2.2148216372031015e-08
1874,1.7326366119618797e-08,1.3741600912720031e-08
1875,3.2040552211398676e-08,1.3731665360339207e-08
1876,2.6602465119651697e-08,2.7207067265777596e-08
1877,1.36065949618569e-08,1.1132669008873108e-08
1878,2.0532901601200138e-08,1.1474268646338714e-08
1879,2.1382638437650314e-08,1.832797535961106e-08
1880,1.5402831232691483e-08,9.626769381654299e-09
1881,2.022027167924989e-08,7.669758161910067e-09
1882,1.4641846846075168e-08,1.7969540522244642e-08
1883,2.0221885166371578e-08,9.479008689083912e-09
1884,1.914492120391742e-08,9.242375753615306e-09
1885,3.8673814151124475e-09,1.8047780159236027e-08
1886,1.4842967244188543e-08,3.872078213618124e-09
1887,2.9380160526670807e-08,1.1099172247952538e-08
1888,1.1413106459912115e-08,3.233713341543876e-08
1889,2.6313575318681615e-08,1.3783300722991498e-08
1890,1.5730527991308918e-08,1.1797895327347874e-08
1891,1.1473595407096582e-08,1.5935549768641977e-08
1892,1.629813173309458e-08,9.402768785804483e-09
1893,1.6011882930655474e-08,1.9091091374434654e-08
1894,2.6466465019581165e-08,1.071261657159539e-08
1895,6.018614717717696e-09,5.416753268150387e-09
1896,2.4767521755730826e-08,1.120435499935013e-08
1897,1.3984112756659783e-08,8.740070001067579e-09
1898,9.61920332276378e-09,1.1316709347397591e-08
1899,1.6582735185011188e-08,7.738609753005221e-09
1900,8.305684695564253e-09,1.9726001498909795e-08
1901,1.3412973842719111e-08,1.5648469242623975e-08
1902,8.838510923148135e-09,1.227571000406158e-08
1903,9.720396043633173e-09,1.5120616758679262e-08
1904,7.524475265086039e-09,1.3436562973367927e-08
1905,1.5482276793932215e-08,7.74113850798841e-09
1906,1.6975809202790515e-08,1.0802787331343211e-08
1907,1.0799971028596644e-08,9.257117739025489e-09
1908,1.6698723293018247e-08,1.1296195090437777e-08
1909,1.1001967115120692e-08,5.5009836685826485e-09
1910,2.7255167900364086e-08,1.0153886620400954e-08
1911,1.1172785807644914e-08,7.980560989828689e-09
1912,1.4586378993541871e-08,1.510732161591477e-08
1913,1.9621061331243084e-08,1.5378670392696137e-08
1914,2.8126324380650658e-08,1.875088173619588e-08
1915,3.534228465440492e-09,3.534228465440492e-09
