year,sont_VERB en_ADP,sont_VERB dans_ADP
1800,5.161145963938907e-05,3.0158826120896265e-05
1801,5.156689076102339e-05,2.973382652271539e-05
1802,5.145018076291308e-05,2.7456060706754215e-05
1803,6.011725781718269e-05,3.2785203075036407e-05
1804,5.189650983083993e-05,2.94372730422765e-05
1805,4.7831417759880424e-05,2.6907837309408933e-05
1806,4.838610766455531e-05,2.6531528419582173e-05
1807,4.5457330998033285e-05,2.958271034003701e-05
1808,4.987855572835542e-05,2.7326586859999225e-05
1809,4.826192889595404e-05,2.8059417672920972e-05
1810,4.104816252947785e-05,2.5022975023603067e-05
1811,4.16651091654785e-05,2.348128145968076e-05
1812,4.6465433115372434e-05,2.3674139811191708e-05
1813,4.550861194729805e-05,2.3422915546689183e-05
1814,4.2779076466104016e-05,2.314695666427724e-05
1815,4.342799729784019e-05,2.2025527869118378e-05
1816,4.8477319069206715e-05,2.6754420105135068e-05
1817,4.888738112640567e-05,2.48881788138533e-05
1818,4.273145896149799e-05,2.3056749341776595e-05
1819,4.105640618945472e-05,2.6017363779828884e-05
1820,4.095953408977948e-05,2.1128269509063102e-05
1821,4.041139254695736e-05,2.2843150873086415e-05
1822,4.386507862363942e-05,2.228393714176491e-05
1823,3.771529736695811e-05,2.0609355487977155e-05
1824,4.05417631554883e-05,2.0504567146417685e-05
1825,4.133098991587758e-05,2.108727494487539e-05
1826,3.96720424760133e-05,1.9434817659202963e-05
1827,4.0907179936766624e-05,2.116562427545432e-05
1828,4.317035200074315e-05,2.1728264982812107e-05
1829,4.329625517129898e-05,2.0403302187332883e-05
1830,4.413320493767969e-05,2.0942554328939877e-05
1831,4.3462045141495764e-05,2.0571036657202058e-05
1832,4.002164860139601e-05,1.936679836944677e-05
1833,4.654881195165217e-05,1.933423482114449e-05
1834,4.361746323411353e-05,2.0370747733977623e-05
1835,4.3036237912019715e-05,2.058445716102142e-05
1836,4.1444178350502625e-05,1.9647441149572842e-05
1837,4.4034404709236696e-05,1.9389553926885128e-05
1838,4.223341238684952e-05,1.8390483091934584e-05
1839,4.4241354771656916e-05,1.875253474281635e-05
1840,4.294444079278037e-05,1.9165756384609267e-05
1841,4.31281077908352e-05,2.085394226014614e-05
1842,4.097810960956849e-05,1.875362613645848e-05
1843,4.277489642845467e-05,1.907223486341536e-05
1844,4.111481393920258e-05,1.8403694411972538e-05
1845,4.0300405089510605e-05,1.8223909137304872e-05
1846,4.2521241994109005e-05,1.933800376718864e-05
1847,4.158283263677731e-05,1.9652907212730497e-05
1848,4.1573683120077476e-05,1.8033364540315233e-05
1849,3.9678205212112516e-05,1.7280030078836717e-05
1850,3.9947812183527276e-05,1.9483060896163806e-05
1851,3.983302303822711e-05,2.0865223632426932e-05
1852,4.162321783951484e-05,2.1254327293718234e-05
1853,4.3756343075074255e-05,2.3095848519005813e-05
1854,4.021548375021666e-05,2.0099427274544723e-05
1855,3.9843951526563615e-05,1.849202271841932e-05
1856,4.016515231342055e-05,2.0835081159020774e-05
1857,3.968227611039765e-05,1.7576361642568372e-05
1858,3.996126906713471e-05,1.735248588374816e-05
1859,3.924741758964956e-05,1.5603945939801633e-05
1860,4.0090180846164e-05,1.5372930647572502e-05
1861,4.175844514975324e-05,1.721656917652581e-05
1862,4.147420986555517e-05,1.6890491679077968e-05
