year,ait_VERB eu_VERB,ait_VERB dû_VERB
1800,7.168694992287783e-06,5.502287763192726e-07
1801,6.9173352130746935e-06,2.524053570596152e-07
1802,8.550787242711522e-06,3.289624999069929e-07
1803,7.360580184467835e-06,2.5939510805983446e-07
1804,1.0811875654326286e-05,3.9796799455871223e-07
1805,8.804392564343289e-06,3.0703080255989335e-07
1806,7.581671525258571e-06,2.0748018414451508e-07
1807,1.0436937373015098e-05,4.0426763803225185e-07
1808,9.567364031681791e-06,4.3055405285485904e-07
1809,9.293651601183228e-06,3.4563166195766826e-07
1810,8.87142050487455e-06,3.9782153749001736e-07
1811,8.579217137594242e-06,3.4096242984560376e-07
1812,9.951353604265023e-06,3.574058951016923e-07
1813,9.596349627827294e-06,5.003790306545852e-07
1814,8.184507350961212e-06,2.989343386161636e-07
1815,8.304751645482611e-06,3.695196255648625e-07
1816,7.801054380252026e-06,4.866968197347887e-07
1817,8.460049684799742e-06,4.904151182927308e-07
1818,8.406814231420867e-06,5.078421736470773e-07
1819,9.881112418952398e-06,4.233579318224656e-07
1820,8.422828614129685e-06,4.177001358129928e-07
1821,9.136669177678414e-06,4.447531125606474e-07
1822,8.544832780899014e-06,5.193269316805527e-07
1823,7.736167390248738e-06,3.211873149666644e-07
1824,8.135636562656146e-06,4.033713025819452e-07
1825,8.215478374040686e-06,4.81657707496197e-07
1826,7.460362667188747e-06,3.664121379642893e-07
1827,9.523286280455068e-06,4.4427255829759815e-07
1828,9.241093721357174e-06,4.586150623708818e-07
1829,9.407345714862458e-06,4.895283609585022e-07
1830,1.0187395673710853e-05,4.842692078455002e-07
1831,9.518431397737004e-06,4.4746761318492645e-07
1832,9.77134368440602e-06,5.006088485970395e-07
1833,7.853700481064152e-06,4.876707748735498e-07
1834,8.939679901232012e-06,4.4339020632833126e-07
1835,8.488053936162032e-06,4.6966775357759616e-07
1836,8.428492947132327e-06,5.383320740293129e-07
1837,8.50950073072454e-06,4.9261865342487e-07
1838,9.004298590298276e-06,5.561014404520392e-07
1839,8.649153642181773e-06,4.921998311147036e-07
1840,8.313080797961447e-06,4.7454179252781614e-07
1841,9.380421033711173e-06,8.186199238480185e-07
1842,8.332335710292682e-06,5.541027121580555e-07
1843,8.844417607178912e-06,5.593844889517641e-07
1844,8.237781912612263e-06,5.27999588939565e-07
1845,8.42056397232227e-06,5.40166070095438e-07
1846,8.502492164552677e-06,5.63788489671424e-07
1847,8.429608897131402e-06,6.072770020182361e-07
1848,8.62447723193327e-06,5.317891691447585e-07
1849,8.87380065250909e-06,6.385114375007106e-07
1850,8.547345714760013e-06,5.512664529305766e-07
1851,9.307829714089166e-06,4.946719514009601e-07
1852,9.215676982421428e-06,5.22796824498073e-07
1853,8.517169590049889e-06,6.216781116563652e-07
1854,7.781027306918986e-06,6.842690254416084e-07
1855,8.204524419852532e-06,5.344085707292834e-07
1856,8.459009222860914e-06,6.776940608688165e-07
1857,8.300517947645858e-06,4.6569596179324435e-07
1858,8.307504685944878e-06,5.701132295143907e-07
1859,8.220804375014268e-06,4.924131644656882e-07
1860,7.855820513213985e-06,4.934204298479017e-07
1861,8.150600478984416e-06,5.121536332808319e-07
1862,8.036142389755696e-06,6.072173732718511e-07
1863,8.426924068771768e-06,5.054556027062063e-07
1864,8.583042472309899e-06,8.055142757257272e-07
1865,8.312757927342318e-06,5.751763865191606e-07
1866,8.398047611990478e-06,5.376502372200775e-07
1867,8.341982720594388e-06,5.440001586975995e-07
1868,8.068296665442176e-06,4.984332804269798e-07
1869,8.295145562442485e-06,7.081102921802085e-07
1870,8.36655090097338e-06,5.768453092969139e-07
1871,7.494302735722158e-06,5.108786353957839e-07
1872,8.566660653741565e-06,4.6020252852940757e-07
1873,8.701255865162238e-06,4.896551786259806e-07
1874,8.23002392280614e-06,4.827484190172981e-07
1875,8.489029823977035e-06,5.212311293689709e-07
1876,8.442654689133633e-06,4.867042093792406e-07
1877,8.070566764217801e-06,6.19100092080771e-07
1878,8.413054274569731e-06,4.305870220377983e-07
1879,8.369164788746275e-06,4.991318860447791e-07
