year,sortant_VERB en_ADP,sortant_VERB dans_ADP
1800,6.60274537267469e-08,2.2009151834367913e-08
1801,2.8574191901498125e-08,7.143547975374531e-09
1802,5.370816325012129e-08,2.2378401354217203e-09
1803,4.8758479920252285e-08,2.3404069793286908e-08
1804,4.449331636457998e-08,1.4831105232815389e-08
1805,3.4114531644036106e-08,5.685755422035754e-09
1806,3.1698359492793315e-08,1.729001475325731e-08
1807,7.686778502602465e-08,1.4234775136401367e-08
1808,1.3596443970698147e-08,2.2660739062985158e-08
1809,5.421673421324158e-08,2.0331274441787173e-08
1810,1.1700633528732851e-07,2.3401267590372754e-09
1811,1.1281845502253418e-07,2.5070768572277302e-08
1812,9.068507722531649e-08,0.0
1813,4.026038169513413e-08,0.0
1814,2.2026739543434815e-08,0.0
1815,1.6183340889597275e-08,5.394447111228828e-09
1816,1.622322720606917e-08,1.1588019432906549e-08
1817,2.3353100786493997e-08,1.5568733857662664e-08
1818,6.675859509641668e-08,1.1921176934492905e-08
1819,4.45095160728215e-08,3.1053151161586356e-09
1820,3.2039500830194356e-08,3.085285271708926e-08
1821,7.59334568556369e-08,9.861488514673056e-09
1822,9.223566621585633e-08,1.604098542884458e-08
1823,1.1958050549765176e-07,9.882686669016039e-09
1824,1.1115868403521745e-07,2.7789671008804362e-08
1825,6.251864581585664e-08,1.6730341556581152e-08
1826,5.19671061738336e-08,1.2331177745572575e-08
1827,4.792982072343577e-08,9.217273166939322e-09
1828,4.769596628761974e-08,4.586150570418113e-09
1829,6.344150449422159e-08,6.001223074036943e-09
1830,4.592207658582481e-08,1.0436835395921662e-08
1831,2.6505050598757407e-08,4.365537620287796e-08
1832,9.065079176195923e-08,2.570694235259907e-08
1833,3.3592521320180424e-08,1.1583628278799551e-08
1834,4.853955903882934e-08,6.534171426153534e-09
1835,6.42862474364847e-08,1.2100940693926532e-08
1836,7.796070344845418e-08,1.0753200108126748e-08
1837,5.357576071673975e-08,1.461157062010443e-08
1838,7.069621688060579e-08,1.199310784016916e-08
