year,surprenant_VERB en_ADP,surprenant_VERB dans_ADP
1800,0.0,1.5720821977538435e-08
1801,0.0,1.6668277424969347e-08
1802,4.475680270843441e-09,6.489736392722989e-08
1803,0.0,4.290746247193056e-08
1804,0.0,5.6852570651244605e-08
1805,0.0,2.2743021688143017e-08
1806,0.0,1.729001475325731e-08
1807,0.0,5.97860605466849e-08
1808,0.0,2.4926814390369145e-08
1809,0.0,1.3554183553310395e-08
1810,0.0,1.0062544930633521e-07
1811,0.0,1.2535384286138651e-08
1812,0.0,8.00162425207418e-09
1813,0.0,3.4508900625951355e-08
1814,0.0,1.8880061958270744e-08
1815,0.0,2.1577788444915313e-08
1816,0.0,9.038654980031424e-08
1817,0.0,5.916118794857539e-08
1818,0.0,2.741870730460505e-08
1819,0.0,5.4860564091541164e-08
1820,0.0,1.779972080839798e-08
1821,0.0,3.155676253641104e-08
1822,0.0,4.210758675071702e-08
1823,0.0,3.162459805139406e-08
1824,0.0,8.421112696055388e-09
1825,0.0,7.04435478837695e-08
1826,0.0,3.082794464148719e-08
1827,0.0,2.949527377893446e-08
1828,0.0,5.1364885678140126e-08
1829,0.0,2.914879893012312e-08
1830,0.0,3.026682549034376e-08
1831,0.0,1.4032085715598441e-08
1832,0.0,6.494385473843067e-08
1833,0.0,3.70676112027013e-08
1834,0.0,3.453776287187793e-08
1835,0.0,4.159698363537245e-08
1836,0.0,6.653542783396915e-08
1837,0.0,4.1051556820548285e-08
1838,0.0,2.840472923537618e-08
1839,0.0,1.8876983531868063e-08
1840,6.369688665408546e-10,4.713569623504554e-08
1841,6.420548537278137e-10,6.420548714913821e-08
1842,0.0,4.024958855097793e-08
1843,0.0,5.493427224223524e-08
1844,0.0,2.9089374464774664e-08
1845,0.0,3.738752596404993e-08
1846,0.0,4.625055893825447e-08
1847,0.0,3.721324404182269e-08
1848,0.0,4.022610866627474e-08
1849,0.0,1.75967720394965e-08
1850,0.0,2.851378333446064e-08
1851,0.0,4.51460699935069e-08
1852,0.0,3.059956199535918e-08
1853,0.0,1.970737528722566e-08
1854,0.0,3.948704829781491e-08
1855,0.0,4.351688431825096e-08
1856,0.0,2.174419400091665e-08
1857,0.0,3.905207179855097e-08
1858,0.0,1.5170396494568195e-08
