year,jouant_VERB en_ADP,jouant_VERB dans_ADP
1800,4.7162465932615305e-08,1.980823611802407e-07
1801,2.3811825400343878e-08,2.4764298700574727e-07
1802,4.2518962573012686e-08,7.384872446891677e-08
1803,9.751696339321825e-09,1.1507001573818343e-07
1804,2.4718509905596875e-08,1.7797326279378467e-07
1805,4.264316544322355e-08,1.0802935435094696e-07
1806,3.458002950651462e-08,1.440834580535011e-07
1807,0.0,1.224190668835945e-07
1808,4.758755522971114e-08,1.654234011994049e-07
1809,2.0331274441787173e-08,1.4909601020463015e-07
1810,1.4040760554223652e-08,1.7316938283329364e-07
1811,0.0,6.769107585569145e-08
1812,8.00162425207418e-09,1.2802598803318688e-07
1813,1.1502966579257645e-08,8.627224912238773e-08
1814,6.293354459785405e-08,2.2026739543434815e-08
1815,1.1058616422587875e-07,1.3755840200246894e-07
1816,2.5493642752394408e-08,1.1356258866612734e-07
1817,1.8682481339737933e-08,1.55687345682054e-07
1818,6.556647247357716e-08,1.287487094714379e-07
1819,6.624672010957511e-08,1.0972112818308233e-07
1820,3.322614716694261e-08,1.2103811286579003e-07
1821,2.070912508145284e-08,1.2228245793721726e-07
1822,3.0076847679083585e-08,1.45371430448904e-07
1823,3.261286707356703e-08,8.696764552951208e-08
1824,1.2631669044083083e-08,1.5747480119898682e-07
1825,4.9310479255382234e-08,1.5233416084114992e-07
1826,2.290075862276808e-08,1.470933455038903e-07
1827,1.2904182611350734e-08,1.1890282536342056e-07
1828,1.6510142586412258e-08,8.89713192009367e-08
1829,3.5150023336427694e-08,9.087566610332942e-08
1830,6.470838087579978e-08,1.2002361282625884e-07
1831,3.897801548191637e-08,1.4655734048574232e-07
1832,5.1413883928042026e-08,2.2730348370192388e-07
1833,1.9692167896323554e-08,2.108220371610514e-07
1834,4.0138484536100805e-08,1.5868702862853468e-07
1835,2.8739734148075513e-08,1.8151411040889798e-07
1836,3.36037508930076e-08,1.3710329760385775e-07
1837,2.7135775293452014e-08,1.5516096718570793e-07
1838,2.4617431648721322e-08,1.054131013589199e-07
1839,4.055055669027752e-08,1.286431428049184e-07
1840,3.3122379505812205e-08,1.2803074439515783e-07
1841,4.55858959469424e-08,1.7399687202157565e-07
1842,3.6224630406422875e-08,1.2276125627153078e-07
1843,3.189732128427991e-08,1.6421212478689995e-07
1844,2.4698525891153622e-08,1.2788348158210283e-07
1845,2.7343116215661212e-08,1.3225140738093444e-07
1846,4.039605983052752e-08,1.7680594055491383e-07
1847,5.177494699637464e-08,1.5586416157731264e-07
1848,3.942158599556933e-08,1.3274615184855065e-07
1849,7.457679629396807e-08,1.9691624686402065e-07
1850,2.1045888587423178e-08,1.3510102547797942e-07
1851,2.7087642351375507e-08,1.3156854894447179e-07
1852,3.6459056218518526e-08,1.2370036817088703e-07
1853,3.3442816516071616e-08,1.6661689516972444e-07
1854,1.8704392368285028e-08,1.4859600805383621e-07
1855,2.9188154115900034e-08,1.8733487294753104e-07
1856,1.65670055451983e-08,1.584219863626224e-07
1857,2.636014961865385e-08,1.8647364991020154e-07
1858,5.627727261980908e-08,1.2576747371317865e-07
1859,4.073738679721828e-08,1.3443337776308795e-07
1860,2.8378539962403693e-08,1.6065916019769588e-07
1861,4.5744847909645614e-08,2.0655920618395385e-07
1862,6.596260251900965e-08,2.1189355781103814e-07
1863,4.04564275413577e-08,2.587213503990604e-07
1864,3.2604150823623e-08,1.8076124630450607e-07
1865,4.753912818955541e-08,1.812135074219512e-07
1866,5.303518213484182e-08,1.5764586314137574e-07
1867,4.31900204489466e-08,1.6596614571540158e-07
1868,4.643481721355869e-08,2.1439053266014696e-07
1869,3.271957771389111e-08,1.9778252224877946e-07
1870,4.243196061182175e-08,1.3073630755755516e-07
1871,4.354682658913589e-08,1.7206306779371516e-07
1872,3.870297315966553e-08,1.8928172140775246e-07
1873,3.531742809315119e-08,1.688053288262381e-07
1874,3.764003614348255e-08,1.6609413328039224e-07
1875,3.0324094679734515e-08,2.0597497041308088e-07
1876,2.7207066821688386e-08,2.013322983884791e-07
1877,4.267522935030854e-08,2.0966526392829365e-07
1878,3.744235144154118e-08,1.9023129904649494e-07
1879,3.604501941367744e-08,1.6434084670891025e-07
1880,4.749206294896169e-08,2.5222137134406353e-07
1881,5.996356350346232e-08,2.140559869356906e-07
1882,4.592215629983798e-08,2.0365478303752127e-07
1883,4.92908454607921e-08,1.6051121171090088e-07
1884,6.865764756724957e-08,1.7428479281988984e-07
1885,5.1565084646654213e-08,2.1077228862242947e-07
1886,7.034275428807746e-08,2.0328411265424506e-07
1887,5.8760320664763555e-08,1.4428923755804846e-07
1888,4.6286489086000415e-08,1.737328432227514e-07
1889,4.573549716724301e-08,2.167737273017778e-07
1890,7.144281521931362e-08,1.6451510287396331e-07
1891,4.206985104726613e-08,1.9122660432913108e-07
1892,5.641661005029164e-08,1.7301093846455728e-07
1893,7.574852389780062e-08,1.7366734583745824e-07
1894,3.7809236630437226e-08,1.9912864335225322e-07
1895,2.2870734639468537e-08,1.7694725995553995e-07
1896,4.3048309805726603e-08,1.645271127115322e-07
1897,3.729096675897381e-08,1.6139996295017056e-07
1898,6.337357327801385e-08,1.4768305711676533e-07
1899,6.135611840818456e-08,1.6969665850297133e-07
1900,3.73755817406618e-08,2.3152097261558424e-07
1901,3.63268028991115e-08,1.7772190119558218e-07
1902,7.119911771269472e-08,3.3389929543492514e-07
1903,3.564145245604777e-08,1.1340462235942539e-07
1904,5.374625189347171e-08,1.338281743201719e-07
1905,4.696290806238679e-08,1.4708163353915893e-07
1906,4.1153477070565714e-08,1.8056087336404403e-07
1907,4.731415970127273e-08,1.5582815815484707e-07
1908,5.3043001546626556e-08,1.502885083048966e-07
