year,embrassant_VERB en_ADP,embrassant_VERB dans_ADP
1800,4.4018303668735825e-08,1.0375742931501009e-07
1801,1.6668277424969347e-08,5.9529565277216534e-08
1802,5.147032311469957e-08,5.147032311469957e-08
1803,2.3404069793286908e-08,6.436119437402965e-08
1804,1.730295728918918e-08,1.2359254242255702e-07
1805,5.1171799242411e-08,1.02343598484822e-07
1806,2.881669125542885e-09,7.780506905419315e-08
1807,1.9928686256776018e-08,5.124519120158766e-08
1808,2.2660739951163578e-09,7.931259204951857e-08
1809,1.8072244145628247e-08,7.228897835886983e-08
1810,2.3401267590372754e-09,6.084329484679074e-08
1811,2.2563691359778204e-08,2.2563691359778204e-08
1812,2.6672082320544632e-09,4.267533171287141e-08
1813,3.163315653864629e-08,5.7514832008109806e-08
1814,3.1466771410748606e-09,8.181360300341112e-08
1815,0.0,5.933891955578474e-08
1816,3.476405652236281e-08,1.4832664696484699e-07
1817,1.0898113522728181e-08,1.8682481339737933e-08
1818,8.344824387052086e-09,1.0133000927226021e-07
1819,2.898294049202832e-08,1.273179215388609e-07
1820,5.933240565525466e-09,1.091716228529549e-07
1821,1.4792232327920374e-08,8.185035305086075e-08
1822,2.105379337535851e-08,1.223125138949399e-07
1823,1.9765373338032077e-08,1.2155705064742506e-07
1824,1.1789557774477544e-08,1.625274705929769e-07
1825,3.0819052199149155e-08,8.981551768982854e-08
1826,1.4092774947016551e-08,8.367584847235321e-08
1827,1.7512818750731185e-08,1.0599864097571299e-07
1828,1.834460228167245e-08,1.6601865127086057e-07
1829,3.086343414171466e-08,9.687689195292393e-08
1830,3.1310507520032616e-09,1.4194097275321838e-07
1831,9.354723218280014e-09,1.278478904964686e-07
1832,1.623596290745155e-08,1.7724260104046152e-07
1833,1.50587169400751e-08,1.783878786909554e-07
1834,3.267085935121372e-08,1.6802156110884425e-07
1835,3.403389570166837e-08,1.550433026409337e-07
1836,2.352262562510532e-08,1.1290860424395532e-07
1837,2.2265250532171876e-08,2.1778199155164657e-07
