year,mangeant_VERB en_ADP,mangeant_VERB dans_ADP
1800,3.144164484325529e-09,2.5153315874604232e-08
1801,2.3811825844433088e-09,1.4287095950749062e-08
1802,1.7902721083373763e-08,8.951360541686881e-09
1803,1.950339223455444e-09,3.315576790896557e-08
1804,2.4718509905596875e-08,2.7190360185613827e-08
1805,5.685755422035754e-09,1.1371510844071508e-08
1806,0.0,8.645007376628655e-09
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,1.1330369531492579e-08,2.2660739062985158e-08
1809,2.9367397402779716e-08,3.162642769893864e-08
1810,1.4040760554223652e-08,9.360507036149102e-09
1811,2.5070767684098882e-09,0.0
1812,0.0,2.6672082320544632e-09
1813,2.5881675469463516e-08,5.751483289628823e-09
1814,3.1466771410748606e-09,9.440030979135372e-09
1815,2.697223555614414e-09,2.697223555614414e-09
1816,0.0,1.1588019432906549e-08
1817,7.784366928831332e-09,2.9580593974287694e-08
1818,4.768470951432846e-09,2.741870730460505e-08
1819,1.5526575580793178e-08,1.3456364911235141e-08
1820,4.746592452420373e-09,7.119888678630559e-09
1821,6.903041693817613e-09,9.861488514673056e-09
1822,4.010246357211145e-09,6.015369535816717e-09
1823,4.249555374258307e-08,7.906149512848515e-09
1824,7.57900142644985e-09,8.421112696055388e-09
1825,1.4969252504215547e-08,9.68598712347557e-09
1826,1.673517004974201e-07,1.7615968683770689e-09
1827,7.373818444733615e-09,9.217273166939322e-09
1828,5.503380862137419e-09,9.172301251858528e-10
1829,1.0287811491593857e-08,2.571952767427277e-08
1830,2.2961039292113128e-08,1.6698937344017395e-08
1831,7.795603274018958e-09,4.5214498811674275e-08
1832,8.117981842303834e-09,2.1647950987357945e-08
1833,5.791814139399776e-09,4.2859426230279496e-08
1834,7.467624740797874e-09,2.0535967593104942e-08
1835,3.327758690829796e-08,3.1764969321557146e-08
1836,1.2769425516978572e-08,2.755507466645213e-08
1837,9.74104708006962e-09,1.0436836284100082e-08
1838,1.0730675015224733e-08,1.4517972601879592e-08
1839,1.4682098203877558e-08,4.894032734625853e-09
1840,3.821813088222825e-09,2.293087852933695e-08
1841,8.988767952189392e-09,1.219904177673925e-08
1842,4.024959032733477e-09,1.341653010911159e-08
1843,1.3585895297651973e-08,2.4809026888394925e-08
1844,1.536797183954164e-08,1.866110821424627e-08
1845,1.2834524554250493e-08,2.511102614732863e-08
1846,1.8734404472198207e-08,1.5221703009160592e-08
1847,2.6966118227278457e-09,1.5101026207275936e-08
1848,8.04522137798358e-09,4.263967667839097e-08
1849,4.1897072478036534e-09,4.8600607982507427e-08
1850,2.7155984128057753e-09,2.3761487000228954e-08
1851,1.096404567135778e-08,1.9993260380601896e-08
1852,1.2370036550635177e-08,1.3672145193766028e-08
1853,7.166318205520383e-09,9.555090940693844e-09
1854,7.79349651480743e-09,2.961528799971802e-08
1855,3.02495415382964e-08,1.1675261646360013e-08
1856,1.2942972915652717e-08,3.831119865793653e-08
1857,2.0990488514005534e-08,3.075350751835515e-08
1858,1.9085335978274998e-08,1.4191660291373864e-08
1859,5.092173349652285e-09,1.782260738991681e-08
1860,1.327383358784573e-08,2.792082218205927e-08
1861,2.357981898626349e-08,2.3108222890755314e-08
1862,4.066187830886747e-09,1.4005757553725573e-08
1863,2.4973104473247076e-08,2.1976331865403154e-08
1864,1.3904711160250827e-08,3.16452037907311e-08
1865,8.001635798393636e-09,2.1651483383955394e-08
1866,1.1190909532388105e-08,2.8707116683790446e-08
1867,5.338092634588065e-09,1.261730986357179e-08
1868,1.432563490055827e-08,3.507310741834857e-08
1869,1.3673853160867111e-08,5.860222973552709e-09
1870,8.601073631098188e-09,3.7271317587794783e-08
1871,4.248470908407853e-09,2.124235387590545e-08
1872,1.4513614310374123e-08,9.675742873582749e-09
1873,6.584604861359367e-09,2.21482157058972e-08
1874,3.5847653734322193e-09,1.1351757756017378e-08
1875,4.005069165202713e-09,1.2587360043170293e-08
1876,1.5115036333668286e-08,1.6324239737741664e-08
1877,1.7317484335421796e-08,2.1646855308254942e-08
1878,8.4547240319921e-09,1.690944889665147e-08
1879,2.2604503158163425e-08,2.2604503935319542e-08
1880,9.626769603698904e-09,2.2462461446437487e-08
1881,1.1853263259808955e-08,1.6734017338482232e-08
1882,3.9932310791357395e-09,3.1945848633085916e-08
1883,1.0742875922176154e-08,1.4534479397809719e-08
1884,5.281357573494461e-09,2.178559999066465e-08
1885,1.9981470700258797e-08,1.740321664556177e-08
1886,7.744156427236248e-09,3.872078380151578e-08
1887,7.834709769838355e-09,3.7867764035581786e-08
1888,5.07249175996094e-09,1.648559844191766e-08
1889,1.3783300722991498e-08,1.2530273152400184e-08
1890,7.865263995654459e-09,8.520702365899524e-09
1891,1.0836173736095134e-08,2.995883363610119e-08
1892,5.829716442917743e-08,1.8805536683430546e-08
1893,1.0469308087124318e-08,2.155445777418663e-08
