year,tant_ADV eu_VERB,tant_ADV dû_VERB
1800,5.973912209356058e-08,0.0
1801,9.762848662830947e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,7.606323038089613e-08,0.0
1804,9.145848167690929e-08,4.943701892301533e-09
1805,1.0802935435094696e-07,5.685755422035754e-09
1806,9.797675204481493e-08,5.76333825108577e-09
1807,1.537355700520493e-07,0.0
1808,7.024829073998262e-08,9.064295980465431e-09
1809,6.777091243748146e-08,1.129515236897305e-08
1810,9.828532654410083e-08,7.020380277111826e-09
1811,6.016983888912364e-08,0.0
1812,4.000812481308458e-08,2.6672082320544632e-09
1813,1.7254450312975678e-07,2.8757416448144113e-09
1814,3.1466772298927026e-08,0.0
1815,5.1247248222807684e-08,2.697223555614414e-09
1816,8.343373991692715e-08,4.6352077731626196e-09
1817,8.874178547557676e-08,1.8682481339737933e-08
1818,6.914282835168706e-08,1.1921177378582115e-09
1819,8.384350280721264e-08,8.280840013696888e-09
1820,1.2459804565878585e-07,1.1866481131050932e-09
1821,1.0255947557880063e-07,9.86148829262845e-10
1822,8.321261191213125e-08,2.3058916553964082e-08
1823,8.499110748516614e-08,4.941343334508019e-09
1824,1.3894836570216285e-07,3.3684450784221553e-09
1825,1.0478477463493618e-07,4.4027217427355936e-09
1826,9.336463335785083e-08,5.284790383086602e-09
1827,7.92685455053288e-08,1.6591091167583727e-08
1828,1.0181254594954225e-07,0.0
1829,1.2602568233432976e-07,2.571952872898464e-09
1830,4.174734158368665e-08,7.305785310052215e-09
1831,5.3010101197514814e-08,6.236482441579483e-09
1832,1.1500473817704915e-07,0.0
1833,5.3284690437749305e-08,2.3167257001688313e-09
1834,8.214387037241977e-08,9.334530925997342e-10
1835,6.277362984974388e-08,1.1344631900556124e-08
1836,1.2702217588866915e-07,1.3441500135158435e-09
1837,8.071153700939249e-08,1.3219993100221927e-08
1838,9.531364497661343e-08,1.199310784016916e-08
1839,9.29866175169991e-08,3.4957374772659477e-09
1840,5.286841542329057e-08,3.1848443882154243e-09
1841,5.072233477676491e-08,1.2841097074556274e-09
1842,6.641182181965632e-08,7.379091560011375e-09
1843,5.316219997553162e-08,5.906910960362666e-09
1844,6.586273570974299e-08,1.097712254427563e-09
1845,6.138250796539069e-08,3.348136878855712e-09
1846,1.0245377524142896e-07,1.1709002656346001e-09
1847,6.094342808182773e-08,8.089835468183537e-09
1848,5.229394162142853e-08,2.413566457803995e-09
1849,6.619738002200393e-08,0.0
1850,8.825694663983086e-08,6.788996032014438e-09
1851,5.482023013314574e-08,2.579775504329973e-09
1852,6.901178295493082e-08,1.0416872697760482e-08
1853,6.449686651421871e-08,4.777545470346922e-09
1854,7.741540031247496e-08,1.3508727469968562e-08
1855,7.323573214534917e-08,3.1841622671890946e-09
1856,9.111852961041222e-08,1.0354378465748937e-09
1857,1.2301403273795586e-07,4.393358121745905e-09
1858,8.514996352460003e-08,7.34051397444091e-09
1859,6.110607841947058e-08,1.0693564256314403e-08
1860,7.598125506547149e-08,5.034902272882391e-09
1861,8.630213699234446e-08,2.357981809808507e-09
1862,5.963742211179124e-08,1.8071945051545413e-09
1863,5.6439215967429845e-08,0.0
1864,6.472883029573495e-08,0.0
1865,6.777855787731824e-08,9.88437331983505e-09
1866,8.174230003987759e-08,5.838735717134114e-09
1867,5.046923945428716e-08,6.79393608038481e-09
1868,6.026646559575966e-08,3.951899252285784e-09
1869,5.567211758261692e-08,5.860222973552709e-09
1870,4.4152177025580386e-08,1.7202146374017957e-09
1871,5.2043770182308435e-08,1.0621177271019633e-09
1872,3.930770375859538e-08,3.628403577593531e-09
1873,5.6268440573603584e-08,1.1972008939764578e-09
1874,4.600449088343339e-08,0.0
1875,4.63443683429432e-08,5.721527140956084e-10
1876,4.836811839936672e-08,2.418405919968336e-09
1877,4.7004601100297805e-08,8.040260901509555e-09
1878,3.0799352401800206e-08,6.039088673581716e-10
1879,6.659164597522249e-08,2.443730107160036e-09
1880,5.455169471701993e-08,1.2835692508872398e-09
1881,4.741305303923582e-08,4.183504653809678e-09
1882,4.9249848643739824e-08,6.655385131892899e-10
1883,4.3603439081607576e-08,6.951272890631799e-09
1884,4.8192386969958534e-08,2.6406787867472303e-09
1885,5.0920522909336796e-08,1.0313017106966527e-08
1886,5.549978965291302e-08,2.5813855497602844e-09
1887,4.6355363991779086e-08,9.793386546164129e-09
