year,peuvent_VERB écrire_VERB,peuvent_VERB ecrire_VERB,peuvent_VERB décrire_VERB
1800,6.288328791015374e-08,0.0,2.829747991484055e-08
1801,4.524246932646747e-08,0.0,2.3811825844433088e-09
1802,6.713520406265161e-08,0.0,2.2378401354217203e-08
1803,4.290746247193056e-08,0.0,3.90067853572873e-08
1804,6.673997887673977e-08,0.0,2.7190360185613827e-08
1805,5.1171799242411e-08,0.0,8.24434565060983e-08
1806,2.0171682990621775e-08,0.0,3.7461699520235925e-08
1807,1.2811298688575334e-07,0.0,1.1387820464392462e-08
1808,7.251436784372345e-08,0.0,2.2660739951163578e-09
1809,3.162642769893864e-08,0.0,0.0
1810,3.7442028144596406e-08,0.0,2.106114038724627e-08
1811,6.267691787797958e-08,0.0,2.5070767684098882e-09
1812,7.20146218213813e-08,0.0,1.0668832928217853e-08
1813,5.463909147351842e-08,0.0,0.0
1814,3.776012391654149e-08,0.0,3.1466772298927026e-08
1815,3.236668177919455e-08,0.0,5.394447111228828e-09
1816,3.0128852301913867e-08,0.0,6.952811659743929e-09
1817,5.7604317760251433e-08,0.0,1.556873407970727e-09
1818,4.2916237674717195e-08,0.0,1.7881765401739358e-08
1819,6.83169290027763e-08,0.0,1.035105001712111e-09
1820,5.22125169766241e-08,0.0,1.1866481131050932e-09
1821,8.382264837791809e-08,0.0,1.577838126820552e-08
1822,4.6117833107928163e-08,0.0,5.012807946513931e-09
1823,6.226093063332883e-08,0.0,2.4706716672540097e-08
1824,5.9789897477458e-08,0.0,2.189489300974401e-08
1825,5.0191026446100295e-08,2.641632912414593e-09,1.4969252504215547e-08
1826,7.48678701256722e-08,8.807984341885344e-10,1.76159691278599e-08
1827,1.0507691428074395e-07,4.608636583469661e-09,3.2260455640198415e-08
1828,4.769596628761974e-08,9.172301251858528e-10,1.4675682002973645e-08
1829,3.086343269842473e-08,0.0,3.5150023336427694e-08
1830,3.5485243188304594e-08,1.0436835840010872e-09,4.383471008395645e-08
1831,6.392394169552063e-08,0.0,3.897801548191637e-08
1832,6.3590853471851e-08,0.0,2.1647950987357945e-08
1833,5.6759780875381693e-08,1.1583628500844156e-09,3.59092489077284e-08
1834,6.72086244435377e-08,0.0,1.5868701908061666e-08
1835,6.126101226300307e-08,0.0,2.2689263801112247e-08
1836,8.333729795140243e-08,0.0,1.344150035720304e-08
1837,7.931995327226105e-08,6.957890930081589e-10,1.461157062010443e-08
1838,5.3653376852480505e-08,0.0,1.009945904684173e-08
1839,3.4957377437194737e-08,0.0,1.1885507689157748e-08
1840,4.395085184683012e-08,6.369688665408546e-10,2.229391071750797e-08
1841,4.1091510638580075e-08,0.0,2.3113974734201292e-08
1842,5.0311989241436095e-08,0.0,1.341653010911159e-08
1843,8.505951853976512e-08,5.906911071384968e-10,9.451057714215949e-09
1844,5.762989374602512e-08,5.488561272137815e-10,1.1525978393933656e-08
1845,6.752075876192976e-08,0.0,1.897277535078956e-08
1846,5.503231292891542e-08,5.854501328173001e-10,2.6345256642912318e-08
1847,5.9325458323655766e-08,1.6179670936367074e-09,8.089835468183537e-09
1848,4.103063133698015e-08,0.0,1.045878850192139e-08
1849,4.1059134758825167e-08,0.0,3.016589289472904e-08
1850,4.3449574604892405e-08,0.0,1.2220192857625989e-08
1851,3.805168802273329e-08,0.0,1.2898877521649865e-08
1852,6.380334838240742e-08,6.510545436100301e-10,1.6276363368206148e-08
1853,4.837264810930719e-08,0.0,2.8068079416243563e-08
1854,6.806320129726373e-08,0.0,8.313063126763609e-09
1855,4.776243400783642e-08,0.0,2.9188154115900034e-08
1856,8.024642994541864e-08,5.177189232874468e-10,9.836659486950339e-09
1857,4.246912865824015e-08,0.0,1.3668225662399891e-08
1858,4.3553715300959084e-08,0.0,1.761723389392955e-08
1859,7.536416291031856e-08,0.0,1.476730293603623e-08
1860,4.943358788978003e-08,0.0,3.158256944857385e-08
1861,4.480165571862926e-08,0.0,1.6977470096435354e-08
1862,6.822159548391937e-08,0.0,1.1746764450037972e-08
1863,5.4441368746438457e-08,0.0,1.6482248454963155e-08
1864,5.897515364949868e-08,0.0,7.1920918109924514e-09
1865,5.45993934508715e-08,0.0,2.871175119878444e-08
1866,5.20620595523269e-08,0.0,1.0704348518686402e-08
