year,aient_VERB eu_VERB,aient_VERB dû_VERB
1800,1.7292904885835014e-06,1.0375742931501009e-07
1801,1.4263283674154081e-06,8.572257570449437e-08
1802,1.6403367908424116e-06,9.84649659585557e-08
1803,1.6948447409959044e-06,6.046051481689574e-08
1804,1.3273839840621804e-06,1.1864884186252311e-07
1805,1.7682699535725988e-06,9.665784261869703e-08
1806,1.685776396698202e-06,1.3832011802605848e-07
1807,1.4889575368215446e-06,1.2526602688467392e-07
1808,1.5658571328458493e-06,1.0197332755979005e-07
1809,1.6061707128756098e-06,1.2876473931555665e-07
1810,1.4110964912106283e-06,6.552355102940055e-08
1811,1.4290337730926694e-06,6.518399686683551e-08
1812,1.6803411426735693e-06,3.7340914360584065e-08
1813,1.6794331259006867e-06,1.0640243885973177e-07
1814,1.5922186094030621e-06,6.608021863030444e-08
1815,2.0121287889196537e-06,4.8550024445148665e-08
1816,1.5018073327155435e-06,6.489290882427667e-08
1817,1.7795063058656524e-06,9.808302792180257e-08
1818,1.633201350159652e-06,1.0133000927226021e-07
1819,1.928400706674438e-06,9.729986771844779e-08
1820,1.561628891977307e-06,1.18664814863223e-07
1821,1.9308793071104446e-06,7.100271659510327e-08
1822,1.6191369240914355e-06,1.5840473110984021e-07
1823,1.298585061704216e-06,9.882686669016039e-08
1824,1.5292740727090859e-06,7.494790565942822e-08
1825,1.6369318700526492e-06,1.6466178465179837e-07
1826,1.4709333981954842e-06,1.1450379844291092e-07
1827,1.6286921891150996e-06,1.2258972503786936e-07
1828,1.709716912046133e-06,1.1832268853595451e-07
1829,1.7334962194581749e-06,1.6203303232487087e-07
1830,1.974649421754293e-06,1.534214817411339e-07
1831,1.7165917824968346e-06,1.637076678662197e-07
1832,1.6168313550224411e-06,1.2582871988797706e-07
1833,1.4583788470190484e-06,1.436369956309136e-07
1834,1.7511580381324166e-06,1.4935250192138483e-07
1835,1.5723659316790872e-06,1.2554725969948777e-07
1836,1.5256102869898314e-06,1.2164557006144605e-07
1837,1.723469608805317e-06,1.4402834835891554e-07
1838,1.6329562413375243e-06,2.0262039868157444e-07
1839,1.6548822259210283e-06,1.6150308113083156e-07
1840,1.546560383758333e-06,1.8917975808108167e-07
1841,1.8401292436465155e-06,1.8105946253399452e-07
1842,1.6750537952248123e-06,1.9856464916756522e-07
1843,1.8606770026963204e-06,2.62857554389484e-07
1844,1.6624852605673368e-06,1.9319735145018058e-07
1845,1.6629079482299858e-06,2.215350463075083e-07
1846,1.8359716023041983e-06,1.6509693523403257e-07
1847,1.5386866607514094e-06,1.3483058580732177e-07
1848,1.6380071201638202e-06,1.592953964291155e-07
1849,1.6767208990131621e-06,1.3909829021940823e-07
1850,1.7176159872178687e-06,1.262753244191117e-07
1851,1.6555709407839458e-06,1.6510563227711827e-07
1852,1.7265966789636877e-06,2.3958807560120476e-07
1853,1.7324574628219125e-06,1.7497760040896537e-07
1854,1.6407908560722717e-06,1.6937866575972294e-07
1855,1.5406038755827467e-06,1.4594077413221385e-07
1856,1.5697237358835991e-06,2.0087493624032504e-07
1857,1.6118742678372655e-06,2.079522829490088e-07
1858,1.6095300452434458e-06,1.5023584865048178e-07
1859,1.4522878473144374e-06,2.2201875538030436e-07
1860,1.5837056253076298e-06,1.8217191666280996e-07
1861,1.624649485165719e-06,2.1127517868535506e-07
1862,1.5826506114535732e-06,1.5180434331796278e-07
1863,1.808552156035148e-06,1.7431226240205433e-07
1864,1.6028775462473277e-06,1.980222634756501e-07
1865,1.6031511904657236e-06,2.1745620415458689e-07
1866,1.6489561858179513e-06,1.8343361318784446e-07
1867,1.5038863239169586e-06,1.2908478197459772e-07
1868,1.6375682889702148e-06,2.050047669399646e-07
1869,1.5920272744551767e-06,2.1243307912754972e-07
1870,1.6623007468297146e-06,1.5367250227882323e-07
1871,1.6059219660746749e-06,2.1029930508120742e-07
1872,1.718049134069588e-06,2.08028467341137e-07
1873,1.6234043869189918e-06,2.0771435060851218e-07
1874,1.5169532616710057e-06,2.037341744198784e-07
1875,1.5139161178012728e-06,1.676407492823273e-07
1876,1.5846604810576537e-06,1.8258964473716333e-07
1877,1.6185663298529107e-06,2.1708703457079537e-07
1878,1.574994371367211e-06,2.0230946518040582e-07
1879,1.6709004739823285e-06,1.7900323712183308e-07
1880,1.384971255902201e-06,1.5146116538744536e-07
1881,1.4865386219753418e-06,1.4502815304240357e-07
1882,1.6072755215645884e-06,1.4908061984897358e-07
1883,1.5198010032690945e-06,1.668305458224495e-07
1884,1.477459818488569e-06,1.5712038248238969e-07
1885,1.565644879519823e-06,1.4567136474852305e-07
1886,1.5475405916731688e-06,1.4326690234156558e-07
1887,1.6048096540544066e-06,1.7954542386178218e-07
1888,1.6479257283208426e-06,1.369572828480159e-07
1889,1.5525008620898006e-06,1.56001902951175e-07
1890,1.608446495993121e-06,1.6451510020942806e-07
1891,1.6088531538116513e-06,1.3959541433905542e-07
1892,1.5702623841207242e-06,1.8868222184664774e-07
1893,1.5999565903257462e-06,1.872158605920049e-07
1894,1.5779054365339107e-06,1.4241479107113264e-07
1895,1.48900517160655e-06,1.4504860246233875e-07
1896,1.547970100546081e-06,1.4742572318482416e-07
1897,1.4922213722456945e-06,1.252743402346823e-07
1898,1.5407700857394957e-06,1.5956560162067035e-07
1899,1.4432507668971084e-06,1.5477219506010442e-07
1900,1.4820457181485835e-06,1.5780801732034888e-07
1901,1.4798980600971845e-06,1.2965874418569e-07
1902,1.4033590787221328e-06,1.0213390311264448e-07
1903,1.4629197266913252e-06,1.344654805279788e-07
1904,1.5371427934951498e-06,1.236163740259144e-07
1905,1.551324203319382e-06,1.1456884863036976e-07
1906,1.4763809303985909e-06,1.5226785876620852e-07
1907,1.5346245163527783e-06,1.4554247229625616e-07
1908,1.5333356486735283e-06,1.4095687106419064e-07
1909,1.3900985322834458e-06,1.4247547142076655e-07
1910,1.4760544218006544e-06,1.2451870645691088e-07
1911,1.513646452622197e-06,1.330093510887309e-07
1912,1.5039598793009645e-06,1.521151062888748e-07
1913,1.4164285175866098e-06,1.2727174691917753e-07
1914,1.4016284239914967e-06,1.868391450443596e-07
1915,1.7317720448772889e-06,1.4608144738303963e-07
1916,1.6140581919898978e-06,1.69206913369635e-07
1917,1.5276228850780171e-06,1.5352993898432032e-07
1918,1.492080286880082e-06,2.0445749271402747e-07
1919,1.4962753311920096e-06,1.3903850515362137e-07
1920,1.5470069456569036e-06,1.2191293308205786e-07
1921,1.3797546216665069e-06,1.3782400287709606e-07
1922,1.4099234704190167e-06,1.2394932014103688e-07
1923,1.4458921668847324e-06,1.326993555039735e-07
1924,1.3239698546385625e-06,1.8177190952428646e-07
1925,1.3923693131800974e-06,1.1438105218530836e-07
1926,1.4445395208895206e-06,1.270659737429014e-07
1927,1.3501711464414257e-06,1.3379069230268215e-07
1928,1.3631266710945056e-06,1.3482728888902784e-07
1929,1.4259719591791509e-06,1.6042184824982542e-07
1930,1.3150511222193018e-06,1.575540551357335e-07
1931,1.33556727632822e-06,1.231778554711127e-07
1932,1.3491189747583121e-06,1.5562541477720515e-07
1933,1.2893024177174084e-06,1.3305968593613215e-07
1934,1.409033870913845e-06,1.4497712186312128e-07
1935,1.3021492577536264e-06,1.3763526851562347e-07
1936,1.3143190926712123e-06,1.7459589685131505e-07
1937,1.3271038596940343e-06,1.523525270386017e-07
1938,1.2641083912967588e-06,1.309486634681889e-07
1939,1.4116408237896394e-06,1.6670514924044255e-07
1940,1.5087908877831069e-06,1.52146981236001e-07
1941,1.360642727377126e-06,1.8004165269758232e-07
1942,1.5686874803577666e-06,1.456421614420833e-07
1943,1.5764567251608241e-06,1.800005833274554e-07
1944,1.523050286778016e-06,1.6708568750800623e-07
1945,1.5467378489120165e-06,1.5031677946808486e-07
1946,1.4380500488186954e-06,1.4338736775698635e-07
1947,1.3768606095254654e-06,1.8834975890058558e-07
1948,1.335067850050109e-06,1.652527004125659e-07
