year,enlevant_VERB en_ADP,enlevant_VERB dans_ADP
1800,2.2009151834367913e-08,1.5720821977538435e-08
1801,3.809892135109294e-08,7.143547975374531e-09
1802,4.923248297927785e-08,1.1189200677108602e-08
1803,7.801356893821776e-09,2.5354410126965377e-08
1804,1.9774807569206132e-08,4.449331569844617e-08
1805,2.842877755426798e-08,1.9900143755080535e-08
1806,0.0,2.881669125542885e-09
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,0.0,6.798221985349073e-09
1809,0.0,2.9367397402779716e-08
1810,7.020380277111826e-09,9.360507036149102e-09
1811,1.0028307073639553e-08,7.521229861140455e-09
1812,8.00162425207418e-09,0.0
1813,1.7254450312975678e-08,5.751483289628823e-09
1814,5.664018942752591e-08,6.293354282149721e-09
1815,6.74305908887618e-08,8.091670444798638e-09
1816,0.0,4.6352077731626196e-09
1817,0.0,1.0898113522728181e-08
1818,1.0729059418679299e-08,2.384235475716423e-09
1819,2.6912729822470283e-08,0.0
1820,3.5599443393152796e-09,0.0
1821,9.861488514673056e-09,6.903041693817613e-09
1822,5.012807946513931e-09,2.3058916553964082e-08
1823,1.9765373782121287e-09,2.668325471688604e-08
1824,5.894778887238772e-09,1.51580028528997e-08
1825,7.924898959288385e-09,2.4655239627691117e-08
1826,8.807984341885344e-10,1.9377566218281572e-08
1827,6.452091305675367e-09,3.6869092223668076e-09
1828,2.4765213879618386e-08,9.172301140836225e-09
1829,9.430493719264632e-09,1.7146351893870815e-08
1830,3.339787468803479e-08,1.0436835840010872e-09
1831,3.1182413096075834e-08,1.2472964883158966e-08
1832,2.841293600397421e-08,4.058990654698391e-08
1833,2.6642345218874652e-08,2.6642345218874652e-08
1834,1.6802156110884425e-08,1.120143711119681e-08
1835,1.8907719834260206e-08,2.4958190181223472e-08
1836,7.392825018825988e-09,2.4866775305554256e-08
1837,1.6698937344017395e-08,2.922314124020886e-08
1838,6.312161904276081e-09,2.5879863585487328e-08
1839,2.23727205650448e-08,4.194885327990505e-09
1840,8.280594876453051e-09,3.121147429396842e-08
1841,8.346713542550788e-09,1.0272877659645019e-08
1842,9.391571076378114e-09,3.287049921141261e-08
1843,1.063243981747064e-08,3.2488010504039266e-08
1844,2.7991662321369404e-08,3.1284798751585186e-08
1845,1.1160455670733427e-08,3.4039391749729475e-08
1846,7.025401593807601e-09,1.4636253098387897e-08
1847,1.240441438454809e-08,2.9662729161827883e-08
1848,8.04522137798358e-09,2.735375304041554e-08
1849,1.256912263158938e-08,1.3407063903514427e-08
1850,1.2899092460827433e-08,1.8330290174617403e-08
1851,1.096404567135778e-08,1.9993260380601896e-08
1852,2.6042181744401205e-08,2.929745512858517e-08
1853,1.911018188138769e-08,1.970737528722566e-08
1854,1.7145692865483397e-08,1.2469595134234623e-08
