year,pouvaient_VERB étendre_VERB,pouvaient_VERB détendre_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,0.0,0.0
1802,2.6854081625060644e-08,0.0
1803,1.5602713787643552e-08,0.0
1804,7.4155526164076946e-09,0.0
1805,5.685755422035754e-09,0.0
1806,2.305335300434308e-08,0.0
1807,1.4234775136401367e-08,2.8469551160981155e-09
1808,4.5321479902327155e-09,0.0
1809,6.7770917766551975e-09,2.259030518203531e-09
1810,0.0,0.0
1811,1.0028307073639553e-08,0.0
1812,8.00162425207418e-09,0.0
1813,3.4508900625951355e-08,0.0
1814,6.293354282149721e-09,0.0
1815,2.1577788444915313e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,1.71256075987003e-08,1.556873407970727e-09
1818,2.026600220972341e-08,0.0
1819,3.9333990287104825e-08,0.0
1820,2.4919611263385377e-08,0.0
1821,1.2819934447350079e-08,0.0
1822,2.0051231786055723e-08,1.0025615893027862e-09
1823,3.162459805139406e-08,0.0
1824,1.8526447931321854e-08,8.421112696055388e-10
1825,4.754939197937347e-08,0.0
1826,2.2019960965735663e-08,0.0
1827,1.2904182611350734e-08,0.0
1828,2.7516904310687096e-09,9.172301251858528e-10
1829,1.3717081692732336e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,7.795603274018958e-09,0.0
1832,1.352996914505411e-08,0.0
1833,1.1583628500844156e-09,1.1583628500844156e-09
1834,1.0267983796552471e-08,0.0
1835,1.2100940693926532e-08,0.0
1836,1.747394939854985e-08,0.0
1837,4.174734513640033e-08,0.0
1838,2.7142295522253335e-08,0.0
1839,3.216078425793967e-08,6.9914751765765e-10
1840,1.9746034141121527e-08,0.0
1841,2.632424944692957e-08,0.0
1842,2.2808102073668124e-08,0.0
1843,1.2995204023980023e-08,0.0
1844,8.781698035420504e-09,0.0
1845,2.3436957263811564e-08,5.580227946389016e-10
1846,1.4050803187615202e-08,0.0
1847,3.235934187273415e-08,0.0
1848,3.057184372323718e-08,0.0
1849,1.0893239199560867e-08,0.0
1850,1.0862393651223101e-08,0.0
1851,1.9348316726564008e-08,0.0
1852,1.2370036550635177e-08,0.0
1853,1.1943863675867306e-08,0.0
1854,1.558699302961486e-08,5.195664454227256e-10
1855,2.1227748447927297e-08,5.306937111981824e-10
1856,4.659470143053568e-09,0.0
1857,3.4658715009072694e-08,0.0
1858,1.3702292633865909e-08,0.0
1859,7.638259802433822e-09,0.0
1860,9.612086238064421e-09,0.0
1861,1.1789909493131745e-08,0.0
1862,1.8523744316212287e-08,4.517986262886353e-10
1863,1.2486552236623538e-08,0.0
1864,4.315255264231155e-09,0.0
1865,2.023943146411966e-08,0.0
1866,1.9462451650298362e-09,0.0
1867,1.649955905236311e-08,0.0
1868,2.9639243948054173e-08,4.93987406535723e-10
1869,5.860222973552709e-09,9.767038289254515e-10
1870,2.0069171213776826e-08,0.0
1871,3.18635318130589e-09,0.0
1872,1.814201766592305e-08,6.047339295989218e-10
1873,2.3944017879529156e-09,0.0
1874,6.572069999322139e-09,0.0
1875,1.4875970677508121e-08,5.721527140956084e-10
1876,1.4510435519810017e-08,0.0
1877,6.184816214727107e-09,0.0
1878,2.113680963589104e-08,6.039088673581716e-10
1879,1.3440515367335593e-08,0.0
1880,1.4761046607247863e-08,0.0
1881,9.761510710859511e-09,6.972507571312292e-10
1882,6.655385131892899e-09,0.0
1883,1.64302811356265e-08,0.0
1884,1.386356363042296e-08,0.0
1885,7.7347630522695e-09,0.0
1886,6.4534639854230136e-09,6.453463874400711e-10
1887,5.223139698529167e-09,1.3057849246322917e-09
1888,4.4384300679212174e-09,0.0
1889,5.012109394186837e-09,0.0
1890,1.3764211992395303e-08,6.554386478008212e-10
1891,4.461953917456185e-09,0.0
1892,7.522214851007902e-09,0.0
1893,6.774258043407144e-09,6.158416554491453e-10
1894,7.561847148451761e-09,0.0
1895,1.2037228991346183e-08,0.0
1896,5.89702897624278e-10,0.0
1897,9.905413378419325e-09,0.0
1898,2.8291773368493978e-09,0.0
1899,7.185851913504848e-09,0.0
1900,2.595526460424935e-09,0.0
1901,1.7325090695408107e-08,0.0
1902,3.437198747846537e-09,0.0
1903,1.5120615870500842e-08,0.0
1904,4.837162670412454e-09,0.0
1905,2.0643036169332163e-09,5.160759042333041e-10
1906,8.745113966313056e-09,0.0
1907,1.2857108266928208e-08,0.0
1908,7.367083831866239e-09,0.0
1909,7.151278680339601e-09,0.0
1910,4.275320542035388e-09,0.0
1911,2.6601871816467337e-09,0.0
1912,8.856016364688912e-09,5.209421227725386e-10
1913,7.42418571064718e-09,0.0
1914,5.357394972094198e-09,0.0
1915,4.712304768617059e-09,1.1780761921542648e-09
1916,1.3184954461564757e-08,0.0
1917,1.6449636319748606e-08,0.0
1918,3.44591288836682e-09,0.0
1919,9.207848705727883e-09,0.0
1920,1.514446346106979e-09,0.0
1921,7.572747429129834e-10,0.0
1922,5.164555005876537e-09,0.0
1923,7.431163684401554e-09,0.0
1924,1.0313299547703991e-08,0.0
