year,avait_VERB écrit_VERB,avait_VERB ecrit_VERB,avait_VERB décrit_VERB
1800,1.5909472494968213e-06,2.2009151834367913e-08,1.9493819536364754e-07
1801,1.5739616401333478e-06,4.7623651688866175e-09,1.381085894536227e-07
1802,1.1189200677108602e-06,4.475680270843441e-09,2.0140561218795483e-08
1803,1.0531831549087656e-06,5.851017448321727e-09,3.705644502360883e-08
1804,2.1183761873544427e-06,2.4718509461507665e-09,2.4718509905596875e-08
1805,1.1684227274599834e-06,2.842877711017877e-09,1.051864728651708e-07
1806,1.7549365338709322e-06,1.4408345627714425e-08,5.76333825108577e-08
1807,2.345891061850125e-06,8.540865792383556e-09,9.964342950752325e-08
1808,2.123311332979938e-06,1.3596443970698147e-08,9.064295625194063e-08
1809,2.6317704850953305e-06,4.0662548883574345e-08,9.262025457701384e-08
1810,1.8931625618279213e-06,9.360507036149102e-09,1.0764583180389309e-07
1811,3.5876269066648092e-06,1.0028307073639553e-08,1.4791753244480788e-07
1812,2.608529712233576e-06,2.6672082320544632e-09,1.5469807124190993e-07
1813,4.132440608373145e-06,2.300593315851529e-08,1.4091133948568313e-07
1814,3.4991048778465483e-06,9.440030979135372e-09,2.171207285073251e-07
1815,2.9318819088075543e-06,8.091670444798638e-09,1.0788894400093341e-07
1816,2.4103080704662716e-06,2.0858434979231788e-08,1.4369143741532753e-07
1817,2.903568883994012e-06,6.227493631882908e-09,1.120948880384276e-07
1818,2.982678552143625e-06,1.1921176934492905e-08,5.6029534789558966e-08
1819,2.980067392854835e-06,1.449147024601416e-08,1.9666994433009677e-07
1820,3.7165818866924383e-06,8.306536791735653e-09,1.4002448267547152e-07
1821,4.414001978148008e-06,9.861488514673056e-09,1.410192851380998e-07
1822,4.336078745836858e-06,1.0025615893027862e-08,1.4737655362750957e-07
1823,3.6318874663265888e-06,6.917880934764753e-09,1.087095569118901e-07
1824,4.551611255010357e-06,1.6000115010683658e-08,1.4063257935958973e-07
1825,3.5917403238272527e-06,3.522177216552791e-09,1.4440927031955653e-07
1826,3.7037573292764137e-06,1.4973572604048968e-08,1.4004695003677625e-07
1827,3.662022663775133e-06,1.2904182611350734e-08,2.1107555880917062e-07
1828,3.757891818167991e-06,4.4027046897099353e-08,1.5501188954658573e-07
1829,4.450335836736485e-06,1.2859763920403111e-08,2.1175745246182487e-07
1830,3.7228194287308725e-06,1.0436835395921662e-08,2.6196457270089013e-07
1831,3.5298489819979295e-06,1.870944643656003e-08,3.1806061429051624e-07
1832,3.870924047078006e-06,1.352996914505411e-08,1.27181706943702e-07
1833,3.3696776426950237e-06,5.791814139399776e-09,2.536814633913309e-07
1834,4.284549504518509e-06,7.467624740797874e-09,1.782895395763262e-07
1835,3.917679350706749e-06,1.3613558280667348e-08,2.3445572594482655e-07
1836,3.6863314107904444e-06,5.376600054063374e-09,2.103594738400716e-07
1837,4.242921932018362e-06,4.87052354003481e-09,2.4004722831705294e-07
1838,4.271440047887154e-06,6.312161904276081e-09,2.1019499740759784e-07
1839,3.746731636056211e-06,6.9914751765765e-10,1.9366386538877123e-07
1840,5.08492257722537e-06,4.458782232319436e-09,1.745294753163762e-07
1841,4.561157766147517e-06,5.1364388298225094e-09,2.5361165967296984e-07
1842,4.969482688466087e-06,4.695785538189057e-09,2.119811739476063e-07
1843,4.382928182167234e-06,7.678984559333912e-09,2.610854608064983e-07
1844,5.088993930257857e-06,7.683985892015244e-09,1.7014539821502694e-07
1845,4.629915110854199e-06,5.022205318283568e-09,2.4441399659735907e-07
1846,4.65432867713389e-06,7.025401593807601e-09,1.8734404250153602e-07
1847,5.084191798232496e-06,5.9325460100012606e-09,1.9793131400547281e-07
1848,3.77079550162307e-06,3.218088684420195e-09,2.1480741452251095e-07
1849,4.254228770150803e-06,7.54147322368226e-09,2.2792008280703158e-07
1850,3.894168003171217e-06,8.146795238417326e-09,2.2743137151337578e-07
1851,4.751301730721025e-06,7.739326512989919e-09,2.154112479502146e-07
1852,4.86337739857845e-06,1.9531636308300904e-09,1.862016034692715e-07
1853,4.686772172135534e-06,5.971931837933653e-09,2.2215586170659662e-07
1854,4.712467671197373e-06,6.234797567117312e-09,2.057483072803734e-07
1855,5.460307420435129e-06,5.837630823180007e-09,2.2448344338954485e-07
1856,4.511920451477636e-06,6.212626857404757e-09,1.9569775133732037e-07
1857,4.737016297440277e-06,3.4170564155999728e-09,1.6743575770306052e-07
1858,4.813419764104765e-06,6.8511463169329545e-09,1.512145928472819e-07
1859,4.907836682832567e-06,4.582956236731661e-09,2.5868240527415765e-07
1860,5.8679497669800185e-06,3.204028820036342e-09,2.6730754143500235e-07
1861,5.121536560181994e-06,2.8295783494058924e-09,2.1221836732365773e-07
1862,5.459986368805403e-06,3.162590411776023e-09,2.3583888264511188e-07
1863,5.278814569464885e-06,5.9935452156878455e-09,1.7780850214421662e-07
1864,4.9098016461357474e-06,9.589456340108882e-09,2.282290552102495e-07
1865,5.044795670983149e-06,4.23615986733239e-09,1.7132913399109384e-07
1866,4.968277153238887e-06,3.4059290943133647e-09,2.1846601327979442e-07
1867,5.182317181606777e-06,3.396968040192405e-09,2.343907965496328e-07
1868,4.731411536340602e-06,2.4699371437009177e-09,2.628013078265212e-07
1869,5.0686044232861605e-06,1.0255390314739543e-08,2.2952539779907966e-07
1870,5.73863599129254e-06,2.8670243956696595e-09,2.4197686343541136e-07
1871,4.391856691654539e-06,3.18635318130589e-09,1.5188282986855484e-07
1872,5.0948833631991874e-06,6.047339518033823e-09,2.793870805817278e-07
1873,4.46017202193616e-06,4.788803575905831e-09,3.1785683063390024e-07
1874,4.587902367347851e-06,8.961913877669758e-09,2.8439140464797674e-07
1875,4.871880264545325e-06,5.149374260327022e-09,2.2256740805914887e-07
1876,4.9897757889993954e-06,9.673623679873344e-09,2.3579457320010988e-07
1877,4.728291969513521e-06,6.80329748092845e-09,2.579068336672208e-07
1878,5.093367235531332e-06,9.662541877730746e-09,2.246541015438197e-07
1879,4.611318672687048e-06,3.0546627449723474e-09,2.584244498393673e-07
1880,5.3864982874074485e-06,2.5671385017744797e-09,2.734002464421792e-07
1881,5.473418241308536e-06,6.972507571312292e-10,2.726250443174649e-07
1882,5.0354642553429585e-06,2.6621540527571597e-09,2.7686402859217196e-07
1883,4.708539563580416e-06,3.791603475633565e-09,3.2291822549268545e-07
1884,4.579597316478612e-06,1.9805090900604227e-09,2.5944669346245064e-07
1885,4.602828539645998e-06,4.511945039809007e-09,2.977883752919297e-07
1886,4.85623149870662e-06,7.098810428374236e-09,2.187724277291636e-07
1887,4.238577730575344e-06,3.264462256069578e-09,3.19264415793441e-07
1888,4.462524429982295e-06,8.242799331981132e-09,2.865957924313989e-07
1889,4.4413554860511795e-06,5.012109394186837e-09,2.41834271719199e-07
1890,4.39274981545168e-06,3.9326319978272295e-09,2.7593966933636693e-07
1891,4.268815246177837e-06,2.5496880162734215e-09,2.906644454014895e-07
1892,4.369152975414181e-06,1.8805537127519756e-09,2.827099194746552e-07
1893,4.421127414389048e-06,3.079208221734575e-09,3.4979805718649004e-07
1894,4.438804353412706e-06,4.411077725308132e-09,2.457600203342736e-07
1895,4.769150109495968e-06,1.8055843487019274e-09,2.431520158552303e-07
1896,4.258834451320581e-06,2.948514543632541e-09,2.594692887214478e-07
1897,4.213879037706647e-06,6.992056267307589e-09,2.656981337167963e-07
1898,4.4621788219956215e-06,2.8291773368493978e-09,2.789568895877892e-07
1899,4.5851261347706895e-06,3.924580482816964e-08,3.1562473168378347e-07
1900,4.556187377602328e-06,6.748368974740515e-09,2.9069897777844744e-07
1901,4.168081431998871e-06,7.265360757457984e-09,3.1241049214258965e-07
1902,3.540805664670188e-06,2.455141867585553e-09,2.4256803499156376e-07
1903,4.3217964957875665e-06,4.320176216765503e-09,3.0673251671942126e-07
1904,4.254015948390588e-06,5.374625189347171e-09,3.0205393386495416e-07
1905,4.725707185571082e-06,1.0321518084666081e-09,2.62166565789812e-07
1906,4.554146471491549e-06,2.0576738091193647e-09,2.8241572636034107e-07
1907,4.409988378029084e-06,2.057137349353866e-09,3.32227671151486e-07
1908,4.851961421081796e-06,1.4734167219643268e-09,3.054884132325242e-07
1909,4.589470790961059e-06,7.151278680339601e-09,2.899018340940529e-07
