year,entraînant_VERB en_ADP,entraînant_VERB dans_ADP
1800,6.288328968651058e-09,8.803660600520402e-08
1801,2.8574191901498125e-08,1.5477687043130572e-07
1802,2.2378401354217203e-09,8.056224487518193e-08
1803,5.851017448321727e-09,5.0708818033484704e-08
1804,2.4718509461507665e-09,9.640218490147845e-08
1805,5.685755422035754e-09,1.5635827899096455e-07
1806,0.0,6.627838899930794e-08
1807,5.693910232196231e-09,1.3095993267597805e-07
1808,1.3596443970698147e-08,1.1103762576070153e-07
1809,0.0,9.262025457701384e-08
1810,2.3401267590372754e-09,3.042164786748458e-08
1811,3.760615285841595e-08,1.1532553179094407e-07
1812,3.200649700829672e-08,5.067695596494559e-08
1813,2.0130190847567064e-08,1.2940837246233627e-07
1814,0.0,9.44003133440674e-08
1815,0.0,1.456500693386431e-07
1816,9.270415546325239e-09,8.343373991692715e-08
1817,0.0,8.56280379935015e-08
1818,2.384235386898581e-08,1.4305413498227892e-07
1819,1.035105001712111e-09,9.522966060160343e-08
1820,1.0679833017945839e-08,1.1035827096605999e-07
1821,9.86148829262845e-10,1.262270509228003e-07
1822,2.105379337535851e-08,1.0727409005539812e-07
1823,3.9530747564242574e-09,1.0969782104908177e-07
1824,1.0105335235266466e-08,1.212640228231976e-07
1825,2.641632912414593e-09,1.9283920327239912e-07
1826,8.807984341885344e-10,1.233117803423056e-07
1827,3.6869092223668076e-09,9.309445658800541e-08
1828,9.172301251858528e-10,1.1098484498095473e-07
1829,0.0,1.388854569128739e-07
1830,3.1310507520032616e-09,1.273293961379096e-07
1831,4.053713453799901e-08,1.9177183729901515e-07
1832,4.058990921151917e-09,7.847382044179341e-08
1833,1.1583628278799551e-08,1.621707945709261e-07
1834,2.42697808516823e-08,2.128273099977207e-07
1835,2.2689263801112247e-09,1.9890921265641737e-07
1836,2.688300027031687e-09,1.4113574620111535e-07
1837,1.87863058442872e-08,1.760346357571052e-07
1838,6.943378316748294e-09,1.565416187787605e-07
1839,2.3771015378315496e-08,1.4612183651951938e-07
1840,1.7198159341091923e-08,2.0892579327691507e-07
1841,8.346713542550788e-09,2.0802577482825768e-07
1842,1.2745703159566801e-08,2.012479534130307e-07
1843,8.269675610961258e-09,2.0260704802765872e-07
1844,1.0428266250528395e-08,2.2228673396407217e-07
1845,1.1160455892778032e-09,2.0423634605748475e-07
1846,2.6930706553685013e-08,1.9612579582606315e-07
1847,1.4561703842730367e-08,2.0224589203365895e-07
1848,1.528592186161859e-08,1.971079259255326e-07
1849,1.75967720394965e-08,1.9021272024133395e-07
1850,2.1724787302446202e-08,2.02312079089495e-07
1851,1.483370937194195e-08,2.2186068671103953e-07
1852,3.6459056218518526e-08,1.7578473121560023e-07
1853,1.970737528722566e-08,2.2753060591185204e-07
1854,2.4939190268469247e-08,2.171787798488367e-07
1855,2.0166361025530932e-08,2.0590916349760846e-07
1856,2.5885945831305435e-08,2.215836922836445e-07
1857,1.8549734193129552e-08,1.918433039094225e-07
1858,1.1255455234504552e-08,2.3196024345750743e-07
1859,2.2405561850291633e-08,1.8535510415418344e-07
1860,1.4189270203246451e-08,2.2794375165169356e-07
1861,1.9335450573976232e-08,2.3957096040305714e-07
1862,2.1234535907410645e-08,2.426158762780517e-07
1863,2.0477944673302773e-08,2.6471491532120695e-07
1864,1.821996598039277e-08,1.86035451488209e-07
1865,1.7415324293779122e-08,1.8733240825241637e-07
1866,1.897589108068587e-08,2.374419048045695e-07
1867,1.747012134956094e-08,2.3050854203177096e-07
1868,1.7289560005906424e-08,2.2229433227494155e-07
1869,1.4162205630441349e-08,2.9398785461598465e-07
1870,1.6628741050794815e-08,2.0011830192956381e-07
1871,1.911811864374613e-08,3.409397857367935e-07
1872,8.4662747923403e-09,2.564071754918018e-07
1873,1.3767810003173508e-08,1.9095354342191229e-07
1874,2.2106053876314036e-08,2.0074686801763164e-07
1875,1.4875970677508121e-08,2.397319938118869e-07
1876,3.627608791134662e-08,1.9165867382042734e-07
1877,2.4739264858908427e-08,2.1585008369573444e-07
