year,ont_VERB écrit_VERB,ont_VERB ecrit_VERB,ont_VERB décrit_VERB
1800,6.194004072312964e-06,4.087413785214267e-08,1.3425582210402354e-06
1801,5.99819895796827e-06,3.333655484993869e-08,9.90571948022989e-07
1802,7.3065480137302075e-06,1.7902721083373763e-08,1.0540227322053397e-06
1803,7.984688636497594e-06,2.145373123596528e-08,1.277472165384097e-06
1804,7.1362337621394545e-06,6.179627121127851e-08,1.2458128821890568e-06
1805,7.80085611040704e-06,2.55858996212055e-08,7.533625989708526e-07
1806,7.074497716530459e-06,6.916005901302924e-08,6.454938556998968e-07
1807,6.476822818513028e-06,1.9928686256776018e-08,6.633405291722738e-07
1808,8.52950233820593e-06,1.5862518409903714e-08,9.222920880347374e-07
1809,6.643808774242643e-06,3.840352036377226e-08,7.319258656934835e-07
1810,6.559375378856203e-06,2.3401266702194334e-08,6.528953804263438e-07
1811,7.548808298452059e-06,2.5070768572277302e-08,7.521230145357549e-07
1812,1.0783523066493217e-05,1.8670457180292033e-08,1.6243297977780458e-06
1813,8.29939017421566e-06,6.901780125190271e-08,1.0007580613091704e-06
1814,6.58284852761426e-06,1.5733386149463513e-08,9.849098887571017e-07
1815,6.43827252133633e-06,3.506390555685357e-08,7.95680932696996e-07
1816,6.551866135851014e-06,3.0128852301913867e-08,1.4345968111229013e-06
1817,7.189641564764315e-06,1.2454987263765815e-08,1.2003494020973449e-06
1818,6.886863957333844e-06,9.536941902865692e-09,8.845513548294548e-07
1819,7.70946189732058e-06,3.726378139390363e-08,9.605774948795442e-07
1820,6.927651611476904e-06,2.3732962262101864e-08,6.858825827293913e-07
1821,6.928681614226662e-06,2.7612166775270452e-08,6.607197065022774e-07
1822,6.790349743823754e-06,2.4061478143266868e-08,7.789903406774101e-07
1823,5.419665285444353e-06,1.2847492847356534e-08,6.403981274161197e-07
1824,6.186149221321102e-06,2.189489212156559e-08,6.012674589328526e-07
1825,5.802786745334743e-06,6.163809906922779e-09,6.797802143410081e-07
1826,6.2695230553799774e-06,1.9377566218281572e-08,8.341161219505011e-07
1827,5.69996154808905e-06,2.2121454890111636e-08,7.880768180257292e-07
1828,6.114255938882707e-06,2.384798314380987e-08,8.649479923406034e-07
1829,6.422166279662633e-06,2.5719527840806222e-08,7.192894599938882e-07
1830,6.151471097837202e-06,2.5048405349892278e-08,8.631263312963711e-07
1831,5.640898507408565e-06,2.338680871183385e-08,7.6864648690389e-07
1832,6.210255833138945e-06,1.2176972319366541e-08,7.279123792613973e-07
1833,4.998335498385131e-06,2.2008893596492385e-08,8.317045399053313e-07
1834,5.555912593990797e-06,1.7735608537350345e-08,6.664855050075857e-07
1835,5.338783921615686e-06,1.663879345414898e-08,7.827795798220905e-07
1836,5.607121693174122e-06,1.68018754465038e-08,6.841723347861262e-07
1837,5.4981255743769e-06,1.530736071231331e-08,7.68151153351937e-07
1838,5.788883754576091e-06,1.009945904684173e-08,6.653018544966471e-07
1839,5.16809859618661e-06,1.6779539757649786e-08,7.222193971756496e-07
1840,4.9390564527129754e-06,1.5287252519424754e-08,6.433385806303704e-07
