year,pouvaient_VERB écrire_VERB,pouvaient_VERB décrire_VERB
1800,6.288328968651058e-09,6.288328968651058e-09
1801,0.0,0.0
1802,3.1329761895904085e-08,0.0
1803,1.755305234496518e-08,0.0
1804,0.0,0.0
1805,8.528632911009026e-09,0.0
1806,1.729001475325731e-08,0.0
1807,5.693910232196231e-09,0.0
1808,4.5321479902327155e-09,6.798221985349073e-09
1809,2.4849335034105025e-08,0.0
1810,1.6380887757350138e-08,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,1.1502966579257645e-08,0.0
1814,6.293354282149721e-09,0.0
1815,1.0788894222457657e-08,0.0
1816,0.0,0.0
1817,1.2454987263765815e-08,0.0
1818,8.344824387052086e-09,0.0
1819,9.315945348475907e-09,0.0
1820,5.933240565525466e-09,0.0
1821,1.4792232327920374e-08,0.0
1822,4.010246357211145e-09,0.0
1823,2.569498569471307e-08,0.0
1824,8.421112696055388e-10,0.0
1825,1.584979791857677e-08,0.0
1826,4.403992281964975e-09,3.5231937367541377e-09
1827,8.295545583791863e-09,9.217273055917019e-10
1828,2.384798314380987e-08,0.0
1829,1.628903412154159e-08,0.0
1830,7.305785310052215e-09,4.174734336004349e-09
1831,7.795603274018958e-09,0.0
1832,1.7588959622116818e-08,0.0
1833,8.108539617524002e-09,0.0
1834,1.4001796166951408e-08,0.0
1835,1.5882484660778573e-08,0.0
1836,2.6210924986003192e-08,2.016224964762614e-09
1837,7.653680356156656e-09,1.3915781860163179e-09
1838,2.4617431648721322e-08,3.1560809521380406e-09
1839,1.677954131196202e-08,0.0
1840,1.6561189752906103e-08,0.0
1841,4.494383976094696e-09,7.704658244733764e-09
1842,1.0062397137744483e-08,6.708265054555795e-10
1843,1.2995204023980023e-08,5.906911071384968e-10
1844,2.305195678786731e-08,4.9397050894128824e-09
1845,2.399498022498392e-08,4.464182357111213e-09
1846,1.4050803187615202e-08,5.269050973311096e-09
1847,2.480882876909618e-08,1.6179670936367074e-09
1848,1.930853166243196e-08,1.6090443422100975e-09
1849,2.1786478399121734e-08,0.0
1850,2.3761487000228954e-08,0.0
1851,3.0957306051959677e-08,0.0
1852,1.3021090872200602e-08,0.0
1853,3.58315901394235e-08,1.1943863675867306e-09
1854,1.7665259477439577e-08,1.0391328908454511e-09
1855,1.0083180512765466e-08,0.0
1856,2.019103817474388e-08,5.177189232874468e-10
1857,1.9037885934380938e-08,0.0
1858,1.8106600663259087e-08,4.893676019968041e-10
1859,2.7497735644033128e-08,0.0
1860,1.7393299245327398e-08,3.204028820036342e-09
1861,2.0750240636857598e-08,8.488735048217677e-09
1862,1.1294965851504912e-08,9.035972525772706e-10
1863,3.0467187883687075e-08,3.496234635136375e-09
1864,1.582260189536555e-08,5.753673537611803e-09
1865,1.7415324293779122e-08,4.706844358715045e-10
1866,2.7247432754506917e-08,9.731225825149181e-10
1867,1.649955905236311e-08,6.79393608038481e-09
1868,8.397785578040384e-09,0.0
1869,1.5138908793232986e-08,2.9301114867763545e-09
1870,1.2614907340946502e-08,1.7202146374017957e-09
1871,9.559059321873065e-09,1.0621177271019633e-09
1872,1.9956219787786722e-08,1.8142017887967654e-09
1873,2.573981916498269e-08,5.986004469882289e-10
1874,1.0754296120296658e-08,5.974609140757536e-10
1875,1.3159512590732447e-08,5.149374260327022e-09
1876,7.859819461941697e-09,1.209202959984168e-09
1877,1.2988113695655557e-08,0.0
1878,2.4760263173106978e-08,0.0
1879,2.3826368433788048e-08,6.10932526790009e-10
1880,2.6954953824542827e-08,0.0
1881,2.3009274485730202e-08,6.2752567586699115e-09
1882,1.0648616211028639e-08,0.0
1883,1.3270612164717477e-08,1.2638677882037541e-09
1884,2.1125430293977843e-08,0.0
1885,1.740321664556177e-08,6.445635691854079e-10
1886,1.4197620856748472e-08,3.2267319927115068e-09
1887,4.1785117588233334e-08,3.264462256069578e-09
1888,1.4583413587843097e-08,1.268122939990235e-09
1889,2.380751951136517e-08,2.5060546970934183e-09
1890,1.6385966361553983e-08,5.243509182406569e-09
1891,2.2309770031370135e-08,1.2748440081367107e-09
1892,1.6298132621272998e-08,0.0
1893,9.853466487186324e-09,6.158416554491453e-10
1894,4.4740929183717526e-08,0.0
1895,3.069493459406658e-08,0.0
1896,6.486732040400511e-09,1.179405795248556e-09
1897,1.981082675683865e-08,5.826713556089658e-10
1898,2.2067583316243145e-08,1.13167097914868e-09
1899,1.9346524382513053e-08,0.0
1900,9.34389543516545e-09,0.0
1901,1.3412973842719111e-08,0.0
1902,2.1605249145295602e-08,0.0
1903,1.674068350610014e-08,2.1600881083827517e-09
1904,2.2573425795258117e-08,5.374625189347171e-10
1905,1.5482276793932215e-08,0.0
1906,1.6461390472954918e-08,0.0
1907,2.674278576364486e-08,0.0
1908,2.4556944921982904e-08,4.911389073214423e-10
1909,1.980354014108343e-08,1.1001967115120692e-09
1910,1.2825961626106164e-08,3.206490406526541e-09
1911,2.128149745317387e-08,1.5961122423746588e-09
1912,2.5526164293410147e-08,0.0
1913,1.590896836489719e-08,0.0
1914,3.750176347239176e-08,1.3393487430235496e-09
1915,3.7698438148936475e-08,0.0
1916,2.966614687238689e-08,0.0
1917,1.7546279096336548e-08,6.57985488317081e-09
1918,2.1824114071478107e-08,0.0
1919,2.762354434082681e-08,9.207848372660976e-10
1920,3.48322650722821e-08,7.572231730534895e-10
1921,1.741731914250977e-08,0.0
1922,2.1396012073182646e-08,2.2133805899215986e-09
1923,1.3800733000834953e-08,0.0
1924,2.707241186783449e-08,3.867487219366694e-09
1925,2.3096173862313663e-08,0.0
1926,1.3375366592072169e-08,2.229227691330493e-09
1927,2.4528294062520217e-08,1.1149224876660924e-09
1928,2.9707706517001498e-08,2.2852082448565625e-09
1929,1.5596569369336066e-08,1.1140406375176326e-09
1930,2.10072066408884e-08,1.0503603542488804e-09
1931,2.5091784650044247e-08,0.0
1932,2.1919072779041926e-08,1.0959536611565568e-09
1933,1.3764794637438627e-08,1.1470662197865522e-09
1934,2.995395220750652e-08,2.3963160344919743e-09
1935,2.393656828303392e-08,4.787313656606784e-09
1936,2.5461901032031165e-08,0.0
1937,2.5182236740306507e-08,5.0364472592434595e-09
1938,2.852347158466273e-08,3.8895642262559704e-09
1939,1.988226472349197e-08,1.5294050470515685e-09
1940,2.2822046474857416e-08,0.0
1941,2.066051862925633e-08,2.9515025978810172e-09
1942,2.1239483061208375e-08,0.0
1943,8.709705845433291e-09,0.0
1944,4.177142187700156e-08,0.0
1945,3.0499055725385915e-08,4.357008087652048e-09
1946,4.037120149291695e-08,0.0
1947,3.2186353138285995e-08,1.1920870957027319e-09
1948,2.5005341797168512e-08,2.174377566888097e-09
1949,3.043272656100271e-08,9.817008539414473e-09
1950,1.914365022059883e-08,3.190608444114673e-09
1951,3.1984203729962246e-08,3.1984206394497505e-09
1952,2.5307528517259925e-08,1.0544803918932644e-09
1953,9.69644453618912e-09,0.0
1954,2.34540866728139e-08,9.772536113672459e-10
1955,1.783265446420046e-08,5.631364707880948e-09
1956,2.441919733087161e-08,2.616342476002842e-09
