year,furent_VERB en_ADP,furent_VERB dans_ADP
1800,2.1160226424399298e-06,7.577436349492928e-07
1801,1.9787628389167367e-06,8.04839714874106e-07
1802,2.2512672330776695e-06,9.108009635383496e-07
1803,2.3384566247841576e-06,8.757023124417174e-07
1804,1.6981615544864326e-06,7.16836780156882e-07
1805,2.422131728962995e-06,1.1200937706234981e-06
1806,1.8990199350810144e-06,1.0431642749608727e-06
1807,1.9957155927841086e-06,8.056882734308601e-07
1808,2.560663688200293e-06,6.775561018912413e-07
1809,2.3945724478835473e-06,5.64757613119582e-07
1810,1.984427399293054e-06,7.558609240732039e-07
1811,2.466963451297488e-06,8.749697713028581e-07
1812,2.0990928533137776e-06,6.988085488046636e-07
1813,1.782959770935122e-06,4.6299439304675616e-07
1814,2.583421974122757e-06,1.1453904562586104e-06
1815,2.200934432039503e-06,8.307448524647043e-07
1816,1.944469659065362e-06,9.108183007811022e-07
1817,2.476985628163675e-06,7.083773994054354e-07
1818,2.564245278335875e-06,7.605711402902671e-07
1819,2.4697606022527907e-06,8.746637263357115e-07
1820,2.7518369734025327e-06,7.713212539783854e-07
1821,2.6399204671179177e-06,7.889190669629897e-07
1822,2.410158003840479e-06,8.59195267821633e-07
1823,3.1930960631143535e-06,7.145182507883874e-07
1824,4.164240181125933e-06,8.934800348470162e-07
1825,3.6137537335889647e-06,8.849470418681449e-07
1826,4.632999662135262e-06,8.261889092864294e-07
1827,2.9744139737886144e-06,9.171186547973775e-07
1828,3.0571279694413533e-06,7.576321081614878e-07
1829,2.637108991621062e-06,9.241883844879339e-07
1830,2.7125336146127665e-06,6.888311645525391e-07
1831,2.0861034499830566e-06,5.301010332914302e-07
1832,2.317683765795664e-06,7.184413561844849e-07
1833,2.3155673716246383e-06,6.24357596734626e-07
1834,2.6799439183378126e-06,7.14091640929837e-07
1835,3.200698756700149e-06,7.026108619356819e-07
1836,3.7286720271367813e-06,8.790740935182839e-07
1837,3.351615987412515e-06,7.451901069543965e-07
1838,3.945101070712553e-06,8.218434572881961e-07
1839,3.094426801908412e-06,7.431938229274238e-07
1840,3.0402522952499567e-06,7.223226816677197e-07
1841,2.796791022774414e-06,5.817016699438682e-07
1842,2.544444896557252e-06,5.467235837386397e-07
1843,2.619124416014529e-06,6.781133947697526e-07
1844,2.4451539957226487e-06,5.609309710052912e-07
1845,2.4843175197020173e-06,5.46862338524079e-07
1846,2.299062771271565e-06,6.516060011563241e-07
1847,2.3492882519349223e-06,5.73299701045471e-07
1848,2.168187165807467e-06,5.189168064134719e-07
1849,1.955755351445987e-06,4.834922151530918e-07
1850,2.082864057229017e-06,5.682389883077121e-07
1851,2.1515327262022765e-06,5.572314876189921e-07
1852,2.296920456501539e-06,5.058693659520941e-07
1853,2.276500481457333e-06,5.613616167465807e-07
1854,2.4372861844312865e-06,5.091750949759444e-07
1855,2.069705487883766e-06,4.6701046585440054e-07
1856,2.0563795715133892e-06,5.487820544658462e-07
1857,2.3655793484067544e-06,5.657669248648745e-07
1858,2.520732550692628e-06,6.195393780217273e-07
1859,2.3021716515359003e-06,4.903762942376488e-07
1860,2.1759931314591086e-06,5.561278726418095e-07
1861,2.0038130514876684e-06,4.664088066874683e-07
1862,2.0782736100954935e-06,5.033036813983927e-07
1863,2.144690142813488e-06,5.643921667797258e-07
1864,1.944741597981192e-06,4.185797592981544e-07
1865,2.079483920169878e-06,4.852756774198497e-07
1866,2.0761569885507924e-06,5.240265181782888e-07
1867,2.1949265374132665e-06,5.080893856757029e-07
1868,2.1276036932249554e-06,3.66538642992964e-07
1869,2.161933934985427e-06,5.32791943896882e-07
1870,2.207035322498996e-06,4.678983884787158e-07
1871,2.0647569272114197e-06,4.1953649088100065e-07
1872,2.171599589928519e-06,4.4810784061155573e-07
1873,1.8532670083004632e-06,3.4180084185209125e-07
1874,2.1317405298759695e-06,4.0268866996484576e-07
1875,1.920716613312834e-06,4.085170246526104e-07
1876,1.7412522765880567e-06,5.181434516998706e-07
1877,2.0502664028754225e-06,4.638611983409646e-07
1878,1.9494177649903577e-06,4.613863779923122e-07
1879,1.925048309203703e-06,5.174598527446506e-07
1880,1.70201280980109e-06,3.273101469858375e-07
1881,1.6162272231667885e-06,3.50717130004341e-07
1882,1.7004508663376328e-06,3.713705041263893e-07
1883,1.5817305438758922e-06,3.045921346256364e-07
1884,1.5962903034960618e-06,4.2250860587955685e-07
1885,1.626878429306089e-06,3.7384685924735095e-07
1886,1.7753478687154711e-06,3.2525457527299295e-07
1887,1.4252642586143338e-06,3.055536694773764e-07
1888,1.5712042795712478e-06,3.5697661360245547e-07
1889,1.500500275142258e-06,2.7942510882894567e-07
1890,1.2905586572742322e-06,2.7266247570878477e-07
1891,1.4456730923484429e-06,3.5440663737063005e-07
1892,1.473100383009296e-06,3.0903765946277417e-07
1893,1.4644714383393875e-06,3.325544923882262e-07
1894,1.65856511102902e-06,2.8672002372331917e-07
1895,1.4637270169259864e-06,3.2500517477274116e-07
1896,1.452438255000743e-06,3.4261739756402676e-07
1897,1.3453881138048018e-06,2.9075300744807464e-07
1898,1.4372221812664066e-06,3.400671175768366e-07
1899,1.5880732462392189e-06,3.1507195785707154e-07
1900,1.3745908518103533e-06,3.2963188800749776e-07
1901,1.4055677866053884e-06,3.453840520251106e-07
1902,1.2580147767948802e-06,2.4404110376963217e-07
1903,1.4964010688345297e-06,3.8125554624457436e-07
1904,1.3689170828001807e-06,3.214025809938903e-07
1905,1.5219078477457515e-06,3.07581245806432e-07
1906,1.432140948054439e-06,3.5957850741397124e-07
1907,1.3330250112630893e-06,3.841703914986283e-07
1908,1.3354066368265194e-06,3.658984724097536e-07
1909,1.4616113048759871e-06,3.3060911164284335e-07
1910,1.4113901443124632e-06,3.382847353350371e-07
1911,1.5312036794057349e-06,3.559330252755899e-07
1912,1.3518448440663633e-06,3.3392390719200193e-07
1913,1.4265042409533635e-06,3.1287638080357283e-07
1914,1.4130129102341016e-06,3.355068542987283e-07
1915,1.4054448911338113e-06,3.4164210660492245e-07
1916,1.537145976726606e-06,3.186364097018668e-07
1917,1.3784795100946212e-06,3.311860155008617e-07
1918,1.5001207884779433e-06,3.3195627224813506e-07
1919,1.4529985037370352e-06,3.7291786725290876e-07
1920,1.4561401258106343e-06,3.7331102475945954e-07
1921,1.338861693511717e-06,3.6424916061150725e-07
1922,1.4453376024903264e-06,3.401228241273202e-07
1923,1.5584212178509915e-06,3.407719475490012e-07
1924,1.5753564639453543e-06,3.0553150054402067e-07
1925,1.4781551271880744e-06,3.651394990811241e-07
1926,1.4679463902211864e-06,3.934586914056126e-07
1927,1.3724695691053057e-06,3.924527050003235e-07
1928,1.4156864835968008e-06,3.302126003745798e-07
1929,1.5362620615633205e-06,3.587210812838748e-07
1930,1.4442455267271725e-06,3.4031674545076385e-07
1931,1.4530423868563958e-06,3.512849957587605e-07
1932,1.4926888525224058e-06,3.2878608635655837e-07
